Eco_code,A_org,A_new,A_annual,A_permanent,A_pasture,A_urban,A_ext_forest,A_int_forest,p_annual,p_permanent,p_pasture,p_urban,p_ext_forest,p_int_forest
AA0101,2164784105.37,0.00,6850056.60,16062201.67,206210324.40,0.00,1869498211.51,66163311.19,0.00316431397440197,0.00741977069859773,0.09525676204313920,0.00000000000000000,0.86359568461040600,0.03056346867345470
AA0102,6879617695.33,203664517.97,1285110703.33,1061274263.67,180752259.62,41581505.74,3798382528.62,308851916.38,0.19249845964902300,0.15896969847965300,0.02707512392881680,0.00622854963707870,0.56896482460435300,0.04626334370107570
AA0103,2679037013.16,0.00,22063656.11,0.00,0.00,237608604.25,2237435659.07,181929093.73,0.00823566677191044,0.00000000000000000,0.00000000000000000,0.08869179600088240,0.83516414595211300,0.06790839127509450
AA0104,8534391903.94,233365593.51,231459359.94,191144514.76,207907528.73,343683874.00,6775874949.09,550956083.91,0.02788322206062310,0.02302661232562720,0.02504600286240750,0.04140257615712990,0.81626954254762200,0.06637204404658990
AA0105,172301879375.10,25907823885.00,902453446.05,938164634.75,51935300675.30,2057011631.00,86085656598.44,4475468504.56,0.00616454980382234,0.00640848859338549,0.35476372658323000,0.01405119643767990,0.58804065718545400,0.03057138139642890
AA0106,26058875069.86,6881314899.50,760376531.90,627936598.70,98437850.33,1608949691.43,14872551095.63,1209308402.37,0.03964928411877840,0.03274329962322000,0.00513297048506417,0.08389751757456210,0.77551841649873900,0.06305851169963630
AA0107,16758195417.42,3699905409.20,66217213.75,155267949.47,3616742398.00,0.00,8904909279.10,315153167.90,0.00507089471167380,0.01189037380668340,0.27696906683212800,0.00000000000000000,0.68193532794050900,0.02413433670900570
AA0108,10447141167.37,95892043.86,37647004.33,31089770.47,8119425448.00,58553548.91,1946278650.86,158254700.94,0.00363695278500684,0.00300348007288693,0.78439088375904000,0.00565666502770297,0.18802355422401300,0.01528846413134980
AA0109,689064952.30,0.00,0.00,0.00,689064952.30,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0110,1500328615.40,0.00,0.00,0.00,199421507.10,0.00,1256440490.13,44466618.17,0.00000000000000000,0.00000000000000000,0.13291855201124200,0.00000000000000000,0.83744352886036600,0.02963791912839160
AA0111,33759091052.45,11797267201.60,60889391.96,142775125.97,54310538.12,449759143.80,20527598510.31,726491140.69,0.00277251071550221,0.00650105960876380,0.00247295208671378,0.02047913446781390,0.93469461597159400,0.03307972714961200
AA0112,12622108498.42,7761315337.40,0.00,0.00,1186345817.00,0.00,3548850177.25,125597166.77,0.00000000000000000,0.00000000000000000,0.24406424583412100,0.00000000000000000,0.73009693268008200,0.02583882148579710
AA0113,14541646579.48,4227735951.00,0.00,0.00,1976394426.10,61099355.38,8073563492.91,202853354.09,0.00000000000000000,0.00000000000000000,0.19162415666493600,0.00592397564618072,0.78278392975533200,0.01966793793355110
AA0114,29701075.53,0.00,0.00,0.00,29701075.53,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0115,134995074622.07,8718538572.40,203200402.37,198188418.40,590627102.00,284281722.90,118292972911.46,6707265492.54,0.00160916991171771,0.00156947937125056,0.00467725137604092,0.00225126323379808,0.93677714492364400,0.05311569118354870
AA0116,23261882356.80,1177859795.50,179654256.25,263316070.25,2012884319.00,52613333.80,18270921168.51,1304633413.49,0.00813503317836214,0.01192337444508690,0.09114663388034090,0.00238241623118967,0.82733664656386500,0.05907589570115500
AA0117,32818839860.90,11669976877.00,408821548.35,3599100.45,9695279655.90,607599145.20,10295931507.51,137632026.49,0.01933066324461130,0.00017017938290795,0.45843030253119200,0.02872963646615650,0.48683144409938500,0.00650777427574744
AA0118,19225930493.12,280038712.15,443862828.80,366552232.10,644937640.20,460790971.87,15749161277.86,1280586830.14,0.02342791956852670,0.01934732005962390,0.03404102840109120,0.02432141897552890,0.83127051816473400,0.06759179483049560
AA0119,34891974933.64,3974852508.70,48382681.30,180739901.40,137473549.60,35641290.64,29706971769.10,807913232.90,0.00156491540943901,0.00584594836859400,0.00444651826617292,0.00115280103206659,0.96085823773624200,0.02613157918748510
AA0120,79352787800.00,19596769636.20,20550169.79,48186605.01,8788123949.00,504918284.00,48671701569.59,1722537586.41,0.00034390125743044,0.00080638915535413,0.14706675945024400,0.00844966414288089,0.81450710849190800,0.02882617750218270
AA0121,100121477016.50,58303211270.00,3500241846.80,2890581005.20,650029253.10,243548819.40,32378580580.74,2155284241.26,0.08370126748006390,0.06912245052729710,0.01554414659470680,0.00582398181876741,0.77426885124825500,0.05153930233090980
AA0122,124078364540.16,94431599545.96,1627651964.79,1344152792.41,1298361302.30,256277851.70,23470222495.09,1650098587.91,0.05490150325361500,0.04533893639574960,0.04379436685769960,0.00864437829051964,0.79166217628394400,0.05565863891847190
AA0123,114318591120.89,5212963057.00,17644360807.27,14571122919.69,1558033562.23,8351093837.70,61944242017.32,5036774919.68,0.16171815441945200,0.13355060759249400,0.01428004760043890,0.07654136625115180,0.56774561602856700,0.04616420810789710
AA0124,76829044982.38,7235182000.00,7734367889.41,6387220622.71,2040888190.10,3364707557.16,46301812149.82,3764866573.18,0.11113577487957900,0.09177850386502470,0.02932569198834060,0.04834776247454580,0.66531458616604600,0.05409768062646450
AA0125,4265923049.13,168871829.45,0.00,0.00,633905812.10,370839143.08,2986607401.72,105698862.78,0.00000000000000000,0.00000000000000000,0.15472245234692400,0.09051367024644470,0.72896511212166700,0.02579876528496440
AA0126,13932350231.48,1015776783.20,135299266.47,597892998.13,1950936361.58,317377207.10,9915067615.00,0.00,0.01047485751617130,0.04628882424012120,0.15104132449621500,0.02457131594310240,0.76762367780439100,0.00000000000000000
AA0127,22072142130.87,2679037013.20,304894257.28,251788758.40,5476029725.40,56856344.59,12303149359.88,1000386672.12,0.01572178645104800,0.01298341636728660,0.28236992952771300,0.00293178138544690,0.63440842945083200,0.05158465681767370
AA0128,76400500892.32,18818601457.00,906316770.89,748457437.31,373384949.54,980135492.58,50469830664.69,4103774120.31,0.01573961227011740,0.01299813734265330,0.00648441529721342,0.01702159015579090,0.87648777062980200,0.07126847430442330
AA0201,39424359060.47,898669685.40,9799375793.87,8092552107.07,1405285173.73,2088409911.40,15851183949.50,1288882439.50,0.25435951835845700,0.21005599739654200,0.03647657437219960,0.05420824248122110,0.41144452459192100,0.03345514279965930
AA0202,4352480468.50,77222796.39,0.00,0.00,2345536364.90,74676989.91,1809577544.82,45466772.48,0.00000000000000000,0.00000000000000000,0.54863040892278900,0.01746724890926730,0.42326748084029800,0.01063486132764570
AA0203,10907083537.64,0.00,5569897529.52,4599750732.78,437030111.40,0.00,277815581.63,22589582.31,0.51066790772220200,0.42172141772899400,0.04006846650544330,0.00000000000000000,0.02547111523155740,0.00207109281180373
AA0204,33506207609.01,355564304.30,8999028368.28,7431606616.09,1118457644.24,1856741522.10,12711240044.59,1033569109.41,0.27145863462022200,0.22417684470803400,0.03373864072438950,0.05600921541803670,0.38343871422813600,0.03117795030118120
AA0401,1235564742.05,0.00,0.00,0.00,1235564742.05,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0402,221765201966.00,57583596639.30,21780262407.78,191744668.52,90273448972.40,11307623756.00,40092583388.46,535942133.54,0.13265957757228100,0.00116788155493701,0.54983899562175400,0.06887265923304440,0.24419656092827000,0.00326432508971331
AA0403,18889884038.56,2152903674.60,763099782.63,115203451.05,15824733043.96,0.00,23902178.66,10041907.66,0.04559363553229440,0.00688316820293993,0.94549510723186600,0.00000000000000000,0.00142810579573798,0.00059998323716143
AA0404,14828474109.72,6149819840.00,70042975.21,10574229.81,7670514906.00,0.00,653127031.91,274395126.79,0.00807071845896044,0.00121841814154629,0.88383690231359700,0.00000000000000000,0.07525671741444400,0.03161724367145200
AA0405,83406560310.24,6554603069.00,20542498688.31,3101254640.69,48248972900.26,2326018515.60,1854211509.70,779000986.68,0.26729961637578500,0.04035361950447340,0.62781709968435700,0.03026622351722880,0.02412705643755200,0.01013638448060380
AA0406,29634035961.43,287676131.53,7706939156.42,1163499201.68,18589478874.50,1365400872.30,366898442.44,154143282.56,0.26261993654724500,0.03964713880777770,0.63345092823266700,0.04652709502010670,0.01250234933952230,0.00525255205268130
AA0407,1416317001.75,759498931.40,70780269.68,10685537.49,509161294.85,0.00,46609248.39,19581719.94,0.10776236659374800,0.01626864115028200,0.77519379845423900,0.00000000000000000,0.07096218952928400,0.02981300427244670
AA0408,12818984200.64,2645092926.70,2251697329.62,339933661.38,7337862861.40,193481292.06,35853267.99,15062861.49,0.22132115126805700,0.03341235444950020,0.72124447409769700,0.01901743264699460,0.00352404670209350,0.00148054083565811
AA0409,272383472089.80,48657150539.00,157732774759.52,1388615896.58,36713923765.70,6408643498.00,21198983822.11,283379808.89,0.70502555830786800,0.00620676139917826,0.16410194165447600,0.02864501348601860,0.09475408917094510,0.00126663598151370
AA0410,11771809136.46,37338494.95,6353266498.94,959138297.26,4289683908.66,132381936.65,0.00,0.00,0.54141909703760100,0.08173681852051520,0.36556262653088900,0.01128145791099490,0.00000000000000000,0.00000000000000000
AA0411,19609498668.94,1221138505.38,8738350297.23,76928920.77,8016744587.66,560926026.50,982279598.01,13130733.39,0.47521096060228000,0.00418356613030002,0.43596843418093100,0.03050440721796710,0.05341855332777090,0.00071407854075083
AA0412,26066512490.37,2890338951.00,7198960516.50,63376752.40,15136516693.70,117955699.97,650666025.27,8697851.53,0.31061902881707600,0.00273456497455115,0.65310680678098900,0.00508952436732601,0.02807478223977730,0.00037529282028039
AA0413,31270989524.45,2136780234.40,9187549282.46,80883487.94,18729498230.00,214696345.97,909425101.00,12156842.68,0.31535262175804100,0.00277623762258383,0.64286962599656200,0.00736921822152639,0.03121502601787620,0.00041727038341108
AA0414,5218054670.33,731495060.26,6788817.26,0.00,4216704123.80,0.00,185241884.64,77824784.37,0.00151314545086096,0.00000000000000000,0.93985246832159000,0.00000000000000000,0.04128818086521120,0.01734620536233770
AA0701,153088565197.04,781562587.60,0.00,0.00,152150011210.20,156991399.24,0.00,0.00,0.00000000000000000,0.00000000000000000,0.99896924372123200,0.00103075627876791,0.00000000000000000,0.00000000000000000
AA0702,342229346797.28,4880311010.80,28578813342.16,251596376.04,307672569716.64,694156565.30,149896034.18,2003752.16,0.08471585897831850,0.00074580434313170,0.91203038123214500,0.00205768059683845,0.00044433514930730,0.00000593970025872
AA0703,115266580279.33,4623184557.07,852973353.92,7509234.28,109591129046.30,0.00,189254210.74,2529877.02,0.00770921163758831,0.00006786879801226,0.99048956633072400,0.00000000000000000,0.00171048809106201,0.00002286514261333
AA0704,357833446521.22,28003871.22,5046338412.65,44425933.35,352714678304.00,0.00,0.00,0.00,0.01410358203405390,0.00012416226266918,0.98577225570327700,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0705,128468392306.12,969103664.50,225440689.26,1984689.14,127053772508.60,0.00,215213859.07,2876895.55,0.00176817213384785,0.00001556627616992,0.99650573632397100,0.00000000000000000,0.00168796125344269,0.00002256401256894
AA0706,345859789272.62,975043879.60,0.00,0.00,344792247757.80,84860215.80,7637419.42,0.00,0.00000000000000000,0.00000000000000000,0.99973180131491000,0.00024605383953209,0.00002214484555789,0.00000000000000000
AA0707,461850620883.42,0.00,25011298554.81,220189410.99,436542758723.40,76374194.22,0.00,0.00,0.05415451971672910,0.00047675460642245,0.94520336010026000,0.00016536557658819,0.00000000000000000,0.00000000000000000
AA0708,26719936151.09,5629626716.90,737896153.63,667389020.16,1597917863.60,756104522.80,16534675770.18,796326103.82,0.03498745032323690,0.03164434463335390,0.07576550114573370,0.03585080271862970,0.78399398651670000,0.03775791466234570
AA0709,226217242152.46,71282581.28,0.00,0.00,226145959571.18,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0801,52790691650.60,0.00,22264818582.84,3361269386.06,26301575287.00,863028394.70,0.00,0.00,0.42175652348346700,0.06367162999685890,0.49822372968854800,0.01634811683112680,0.00000000000000000,0.00000000000000000
AA0802,254211085429.00,0.00,29574790118.08,260364554.92,224375930756.00,0.00,0.00,0.00,0.11633949820942600,0.00102420614143284,0.88263629564914100,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA0803,323659931508.11,3203473147.05,120794990789.24,1063430505.76,197981103297.10,510858499.20,104676001.50,1399268.26,0.37694665729950800,0.00331848673357485,0.61780968406645000,0.00159415885019990,0.00032664656543667,0.00000436648483079
AA1001,12238540323.49,8025230609.00,135432652.85,1192294.59,3567523472.20,0.00,502444807.18,6716487.67,0.03214400602457460,0.00028298289821879,0.84672708961617900,0.00000000000000000,0.11925180943887100,0.00159411202215646
AA1002,16602052620.41,1905960447.00,22774113.73,18807392.01,12952214739.07,68736774.80,1574531516.55,59027637.25,0.00154967139963611,0.00127975463072202,0.88133733690819100,0.00467721445870817,0.10713946932094100,0.00401655328180223
AA1003,40143973688.77,516798714.28,1275519443.01,192562290.11,38146364209.00,0.00,12729032.37,0.00,0.03218799835806030,0.00485934942953943,0.96263143243384700,0.00000000000000000,0.00032121977855334,0.00000000000000000
AA1101,12729032.37,0.00,0.00,0.00,12729032.37,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1201,137828737650.72,0.00,702399162.33,6183639.67,137043780654.50,76374194.22,0.00,0.00,0.00509617351436841,0.00004486466154279,0.99430483794889600,0.00055412387519317,0.00000000000000000,0.00000000000000000
AA1202,114589295209.35,36489892.80,39052552228.16,343802959.84,75125051848.70,31398279.85,0.00,0.00,0.34091310221730400,0.00300126181013211,0.65581154159518700,0.00027409437737675,0.00000000000000000,0.00000000000000000
AA1203,59950348057.82,22063656.11,43992899868.92,387295793.08,15254472393.05,293616346.66,0.00,0.00,0.73409242911128300,0.00646265443677330,0.25454545454357700,0.00489946190836763,0.00000000000000000,0.00000000000000000
AA1204,10929147193.05,217242152.45,376014880.95,3310283.75,9976166969.50,36489892.80,315702820.51,4220193.09,0.03510252186939730,0.00030902848157123,0.93131585200658300,0.00340648023499993,0.02947214518034530,0.00039397222710329
AA1205,16808262944.97,9334623.74,6030538436.56,53090434.44,9099560940.90,1533424100.00,81228577.16,1085832.17,0.35898352092706800,0.00316034650712373,0.54167508586843800,0.09128106690366090,0.00483534280304363,0.00006463699066580
AA1206,23154109881.80,303799572.60,19120398753.39,168328298.91,1495237002.00,1193983236.40,860855436.29,11507582.21,0.83676757534840900,0.00736656512030811,0.06543617928015570,0.05225238608332060,0.03767368690601010,0.00050360726179685
AA1207,198388758315.64,13577634.53,113782775917.51,1001697786.89,83038266971.81,552440004.90,0.00,0.00,0.57357364730227700,0.00504951165487688,0.41859201683750300,0.00278482420534277,0.00000000000000000,0.00000000000000000
AA1208,27380997231.79,1261871408.80,22502850288.36,198106041.54,3224688201.01,8486021.58,182554946.65,2440323.85,0.86154683892798700,0.00758471178871389,0.12346080120995600,0.00032489684523173,0.00698932069486645,0.00009343053324574
AA1209,168900681926.73,315680002.80,87380979381.95,769266991.05,80388931034.40,45824516.53,0.00,0.00,0.51832000702756600,0.00456308083321382,0.47684509367371600,0.00027181846550429,0.00000000000000000,0.00000000000000000
AA1210,46087583204.20,0.00,21333587012.97,187812318.03,24002712040.30,411572046.60,149896034.15,2003752.15,0.46289229180112800,0.00407511752570224,0.52080648130216200,0.00893021542866438,0.00325241689244677,0.00004347704989728
AA1301,89633602944.67,445516132.98,622485485.20,5480111.80,88555878203.90,0.00,4243010.79,0.00,0.00697946897902094,0.00006144443720554,0.99291151284448100,0.00000000000000000,0.00004757373929277,0.00000000000000000
AA1302,282606750542.99,0.00,0.00,0.00,282529527746.61,77222796.38,0.00,0.00,0.00000000000000000,0.00000000000000000,0.99972674822440900,0.00027325177559144,0.00000000000000000,0.00000000000000000
AA1303,156978438288.20,0.00,0.00,0.00,156978438288.20,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1304,824815661960.42,1680232273.00,0.00,0.00,823075178934.20,60250753.22,0.00,0.00,0.00000000000000000,0.00000000000000000,0.99992680335331600,0.00007319664668411,0.00000000000000000,0.00000000000000000
AA1305,425577049467.50,0.00,572013689.09,5035778.41,425000000000.00,0.00,0.00,0.00,0.00134408960681836,0.00001183282420095,0.99864407756898100,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1306,195377627960.30,0.00,119449917.38,1051589.02,195257126453.90,0.00,0.00,0.00,0.00061137970926599,0.00000538234101586,0.99938323794971800,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1307,180586539377.44,0.00,0.00,0.00,180439731204.10,146808173.34,0.00,0.00,0.00000000000000000,0.00000000000000000,0.99918704808317300,0.00081295191682675,0.00000000000000000,0.00000000000000000
AA1308,587259025977.80,8390129537.00,9246433044.91,81401876.89,569541061519.00,0.00,0.00,0.00,0.01597327668105840,0.00014062230220467,0.98388610101673700,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1309,377962899908.00,3716877452.00,8194096095.48,72137525.72,365775275714.70,204513120.10,0.00,0.00,0.02189494504632210,0.00019275428833645,0.97736583361471600,0.00054646705062589,0.00000000000000000,0.00000000000000000
AA1310,461696702371.80,0.00,0.00,0.00,461696702371.80,0.00,0.00,0.00,0.00000000000000000,0.00000000000000000,1.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
AA1401,27079743466.17,8463957925.00,279331476.59,230678420.45,857088179.63,212150539.50,15875492139.70,1161044785.30,0.01500508673013340,0.01239154909342900,0.04604093540583870,0.01139627113939430,0.85279732647292900,0.06236883115827580
AT0101,103251970376.00,1752363455.90,39359774738.41,9123412356.69,27731469923.20,5189202196.80,3232025527.28,16863722177.72,0.38778253367414700,0.08988618412951640,0.27321751053706100,0.05112534278960230,0.03184273934991570,0.16614568951975700
AT0102,189631184046.60,40995121654.00,19846749490.14,4772047717.36,57123654270.10,2201273998.00,59168391131.11,5523945785.89,0.13352580235689700,0.03210558487989000,0.38431894219060000,0.01480982449727220,0.39807560950336700,0.03716423657197410
