Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,EU,0,0,13,29,48,66,74,82,88,93,97,Wood_EP_EU
REF,MFM,AF0,EU,0,0,13,29,47,64,72,78,82,86,89,Wood_EP_EU
REF,MFM,AF25,EU,0,0,13,29,47,64,73,79,83,87,91,Wood_EP_EU
REF,MFM,AF50,EU,0,0,13,29,48,66,74,81,86,90,94,Wood_EP_EU
REF,MFM,AF75,EU,0,0,13,29,48,67,76,84,91,95,99,Wood_EP_EU
REF,MFM,AF100,EU,0,0,13,29,49,68,79,88,95,101,106,Wood_EP_EU
RCP,MFM,noAF,EU,0,0,13,35,62,93,125,161,201,249,298,Wood_EP_EU
RCP,MFM,AF0,EU,0,0,13,35,60,91,121,156,195,238,279,Wood_EP_EU
RCP,MFM,AF25,EU,0,0,13,35,61,92,124,161,205,253,295,Wood_EP_EU
RCP,MFM,AF50,EU,0,0,13,35,62,93,126,164,210,257,303,Wood_EP_EU
RCP,MFM,AF75,EU,0,0,13,35,63,95,131,171,220,272,318,Wood_EP_EU
RCP,MFM,AF100,EU,0,0,13,35,64,96,133,181,226,274,318,Wood_EP_EU
REF,SFM,noAF,EU,0,0,13,29,48,66,75,82,88,93,97,Wood_EP_EU
REF,SFM,AF0,EU,0,0,13,30,48,64,72,78,82,86,89,Wood_EP_EU
REF,SFM,AF25,EU,0,0,13,30,49,66,75,81,87,92,95,Wood_EP_EU
REF,SFM,AF50,EU,0,0,13,30,50,69,79,87,96,104,113,Wood_EP_EU
REF,SFM,AF75,EU,0,0,13,30,52,73,87,100,110,118,126,Wood_EP_EU
REF,SFM,AF100,EU,0,0,13,30,53,78,97,112,123,133,143,Wood_EP_EU
RCP,SFM,noAF,EU,0,0,13,35,62,93,125,161,201,249,298,Wood_EP_EU
RCP,SFM,AF0,EU,0,0,13,35,60,91,122,157,196,239,283,Wood_EP_EU
RCP,SFM,AF25,EU,0,0,13,35,63,93,128,166,214,263,308,Wood_EP_EU
RCP,SFM,AF50,EU,0,0,13,36,64,98,134,184,231,280,325,Wood_EP_EU
RCP,SFM,AF75,EU,0,0,13,36,69,105,152,200,251,299,343,Wood_EP_EU
RCP,SFM,AF100,EU,0,0,13,36,70,109,162,216,268,316,361,Wood_EP_EU
