Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,EU,478,537,624,652,662,665,649,635,624,613,604,Wood_forest_EU
REF,MFM,AF0,EU,478,537,626,657,674,685,677,672,670,669,667,Wood_forest_EU
REF,MFM,AF25,EU,478,537,624,655,670,680,671,665,661,657,654,Wood_forest_EU
REF,MFM,AF50,EU,478,537,628,656,669,675,661,652,645,638,631,Wood_forest_EU
REF,MFM,AF75,EU,478,537,628,654,664,666,649,634,620,608,597,Wood_forest_EU
REF,MFM,AF100,EU,478,537,626,651,657,657,634,612,592,573,557,Wood_forest_EU
RCP,MFM,noAF,EU,478,537,624,688,734,770,808,834,848,857,858,Wood_forest_EU
RCP,MFM,AF0,EU,478,537,628,694,748,794,846,889,916,938,953,Wood_forest_EU
RCP,MFM,AF25,EU,478,537,628,693,743,787,835,863,879,890,897,Wood_forest_EU
RCP,MFM,AF50,EU,478,537,624,688,738,777,814,831,836,838,832,Wood_forest_EU
RCP,MFM,AF75,EU,478,537,624,686,733,768,793,797,794,784,767,Wood_forest_EU
RCP,MFM,AF100,EU,478,537,624,684,728,756,768,763,747,725,699,Wood_forest_EU
REF,SFM,noAF,EU,478,537,624,652,662,665,649,635,624,613,604,Wood_forest_EU
REF,SFM,AF0,EU,478,537,624,656,671,683,674,669,668,666,665,Wood_forest_EU
REF,SFM,AF25,EU,478,537,625,653,663,668,654,643,635,626,617,Wood_forest_EU
REF,SFM,AF50,EU,478,537,624,648,652,650,628,605,579,556,535,Wood_forest_EU
REF,SFM,AF75,EU,478,537,628,645,641,628,589,545,505,463,421,Wood_forest_EU
REF,SFM,AF100,EU,478,537,625,638,623,597,534,472,411,349,287,Wood_forest_EU
RCP,SFM,noAF,EU,478,537,624,688,734,770,808,834,848,857,858,Wood_forest_EU
RCP,SFM,AF0,EU,478,537,624,691,745,791,841,884,914,937,952,Wood_forest_EU
RCP,SFM,AF25,EU,478,537,624,687,735,773,806,819,825,824,817,Wood_forest_EU
RCP,SFM,AF50,EU,478,537,624,683,723,747,750,744,727,699,670,Wood_forest_EU
RCP,SFM,AF75,EU,478,537,625,678,705,706,688,659,613,566,517,Wood_forest_EU
RCP,SFM,AF100,EU,478,537,625,672,689,663,627,566,498,431,361,Wood_forest_EU
