Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,EU,64,80,98,99,110,112,112,112,113,113,113,Wood_forest_ex
REF,MFM,AF0,EU,64,80,98,99,111,114,115,115,116,116,117,Wood_forest_ex
REF,MFM,AF25,EU,64,80,98,99,111,113,114,114,114,115,115,Wood_forest_ex
REF,MFM,AF50,EU,64,80,98,99,111,112,112,113,113,113,113,Wood_forest_ex
REF,MFM,AF75,EU,64,80,98,99,110,111,111,111,111,112,112,Wood_forest_ex
REF,MFM,AF100,EU,64,80,98,99,109,111,111,111,111,111,111,Wood_forest_ex
RCP,MFM,noAF,EU,64,80,98,99,110,112,112,112,112,112,112,Wood_forest_ex
RCP,MFM,AF0,EU,64,80,98,99,111,114,115,115,115,115,115,Wood_forest_ex
RCP,MFM,AF25,EU,64,80,98,99,111,113,113,114,114,114,114,Wood_forest_ex
RCP,MFM,AF50,EU,64,80,98,99,111,112,112,113,113,113,113,Wood_forest_ex
RCP,MFM,AF75,EU,64,80,98,99,110,111,111,111,111,111,111,Wood_forest_ex
RCP,MFM,AF100,EU,64,80,98,99,110,111,111,111,111,111,111,Wood_forest_ex
REF,SFM,noAF,EU,64,80,98,99,110,112,112,113,113,113,113,Wood_forest_ex
REF,SFM,AF0,EU,64,80,98,99,111,114,114,115,115,116,116,Wood_forest_ex
REF,SFM,AF25,EU,64,80,98,99,110,111,111,112,112,112,112,Wood_forest_ex
REF,SFM,AF50,EU,64,80,98,99,109,110,110,110,110,110,110,Wood_forest_ex
REF,SFM,AF75,EU,64,80,98,99,109,109,109,109,109,109,109,Wood_forest_ex
REF,SFM,AF100,EU,64,80,98,99,109,109,109,109,109,109,109,Wood_forest_ex
RCP,SFM,noAF,EU,64,80,98,99,110,112,112,112,112,112,112,Wood_forest_ex
RCP,SFM,AF0,EU,64,80,98,99,111,114,114,115,115,115,115,Wood_forest_ex
RCP,SFM,AF25,EU,64,80,98,99,110,112,112,112,112,112,112,Wood_forest_ex
RCP,SFM,AF50,EU,64,80,98,99,109,110,110,110,110,110,110,Wood_forest_ex
RCP,SFM,AF75,EU,64,80,98,99,109,109,109,109,109,109,109,Wood_forest_ex
RCP,SFM,AF100,EU,64,80,98,98,108,109,109,109,109,109,109,Wood_forest_ex
