Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,ANZ,0.217282222,0.381786797,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.70346976,0.682939242,0.684992293,0.68684004,Wood_forest_im
REF,MFM,noAF,ArgentinaReg,0.6646,0.721435782,1.0015015,1.032444962,1.095266262,1.195952017,1.564494466,1.963481595,2.024307275,2.094839116,2.009230989,Wood_forest_im
REF,MFM,noAF,BrazilReg,3.717209837,5.031864273,5.361966728,5.490674991,5.490887028,5.490887028,5.491103885,5.492443995,5.499112695,5.500295725,5.537363367,Wood_forest_im
REF,MFM,noAF,CanadaReg,38.24744452,42.60335416,44.7524488,44.76542384,44.76542384,44.39042384,45.56217283,46.6138297,47.77798349,49.30287711,50.21815382,Wood_forest_im
REF,MFM,noAF,ChinaReg,0.02599,2.530644092,3.935674713,3.935674713,3.935674713,3.935674713,4.354374887,7.919061277,12.30476658,20.40891447,29.44981004,Wood_forest_im
REF,MFM,noAF,CongoBasin,5.267845,5.4457578,5.4457578,5.453163196,5.453163196,5.453163196,5.512767625,5.512767625,6.061426827,6.061426827,6.061426827,Wood_forest_im
REF,MFM,noAF,Former_USSR,24.49108388,27.03862361,30.7935236,31.61805452,31.61920003,33.11206165,37.48253892,43.43303803,50.1885995,57.17334612,63.47923048,Wood_forest_im
REF,MFM,noAF,IndiaReg,0.01434,0.096599182,0.096673245,0.096673245,0.096673245,0.096673245,0.318241656,0.318241656,2.596520169,2.596520169,2.596520169,Wood_forest_im
REF,MFM,noAF,IndonesiaReg,3.806978884,3.839425276,3.847350709,4.003580425,3.979173914,4.862403251,4.8634572,4.770084218,4.872835957,4.965680414,5.039356275,Wood_forest_im
REF,MFM,noAF,JapanReg,0.511811244,2.189771866,2.189771866,2.189771866,4.046042207,7.294984543,10.05723233,13.80840275,16.82250847,17.78129503,18.04070384,Wood_forest_im
REF,MFM,noAF,MalaysiaReg,1.619251667,1.711051828,1.66895722,1.891625892,1.881727143,1.784452593,1.799828638,1.78177444,1.828842861,1.80788724,1.790543157,Wood_forest_im
REF,MFM,noAF,MexicoReg,0,0.433184029,1.153056845,1.187473432,3.235352036,6.928265462,10.20747139,12.65083077,13.80619007,13.80884807,13.81124027,Wood_forest_im
REF,MFM,noAF,MidEastNorthAfr,0,0.123429808,0.817269808,0.817269808,0.817269808,0.817269808,0.824708035,0.859986941,0.867260456,0.867260456,0.871797007,Wood_forest_im
REF,MFM,noAF,Pacific_Islands,0.00075,0.05674293,0.084165027,0.084165027,0.088559297,0.09088906,0.137219996,0.181066396,0.181178513,0.181178513,0.181282839,Wood_forest_im
REF,MFM,noAF,RCAM,0,0.042832618,0.870189193,1.000148008,3.846220144,4.891668855,4.895586747,4.903013701,4.903891254,4.903891254,4.903891254,Wood_forest_im
REF,MFM,noAF,RCEU,0.085855,0.411786462,0.495126705,0.497369422,0.481049422,0.482681422,0.478899498,0.480746491,0.466090329,0.48185977,0.468794272,Wood_forest_im
REF,MFM,noAF,ROWE,5.645542737,5.715061985,6.846072483,6.846072483,6.846072483,6.846072483,6.846072483,6.846072483,6.846072483,6.846072483,6.846072483,Wood_forest_im
