Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
AA0101,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0102,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0103,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0104,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0105,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0106,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0107,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0108,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0110,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0111,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0112,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0113,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0115,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0116,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0117,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0118,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0119,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0120,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0121,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0122,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0123,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0124,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0125,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0126,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0127,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0128,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0202,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0203,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0204,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0402,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0403,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0404,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0405,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0406,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0407,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0408,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0409,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0410,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0411,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0412,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0413,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0414,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0701,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0702,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0703,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0704,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0705,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0706,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0707,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0708,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0709,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0801,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0802,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA0803,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1001,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1002,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1003,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1202,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1203,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1204,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1205,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1206,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1207,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1208,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1209,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1210,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1301,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1302,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1303,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1304,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1305,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1306,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1307,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1308,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1309,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1310,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AA1401,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0101,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0102,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0103,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0104,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0105,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0106,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0107,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0108,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0109,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0110,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0111,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0112,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0114,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0115,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0116,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0117,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0118,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0119,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0120,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0121,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0122,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0123,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0124,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0125,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0126,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0127,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0128,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0129,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0130,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0201,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0202,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0203,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0701,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0702,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0704,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0705,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0706,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0707,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0708,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0709,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0710,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0711,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0712,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0713,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
AT0714,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
