Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
RCP2.6,MFM,noAFM,Clear_cut_EU,318.945219,379.6918629,465.5432065,535.4703198,593.9391281,648.9426357,715.6102032,773.7680315,805.8025095,832.5020567,842.7430182
RCP2.6,MFM,AFMfree,Clear_cut_EU,318.945219,379.6918629,469.1336808,521.4755546,561.1398727,596.9207658,649.0943634,693.6414847,711.7239893,717.6016419,707.3736542
RCP2.6,MFM,AFM25,Clear_cut_EU,318.945219,379.6918629,469.1352646,516.3185703,549.3508864,580.2124746,626.0231616,647.1191693,645.0410369,637.0935349,613.73394
RCP2.6,MFM,AFM50,Clear_cut_EU,318.945219,379.6918629,465.5523508,508.5038261,538.5600478,559.3872916,586.521515,589.1591199,573.8792595,553.3797591,516.2065616
RCP2.6,MFM,AFM75,Clear_cut_EU,318.945219,379.6918629,465.5523508,503.3806101,528.9936638,545.632076,556.3986532,544.1526066,521.084351,481.8077652,430.2695089
RCP2.6,MFM,AFM100,Clear_cut_EU,318.945219,379.6918629,465.5507467,499.747084,520.238561,530.5886244,529.5237324,512.6827942,473.0098546,418.1746935,359.8684378
RCP2.6,SFM,noAFM,Clear_cut_EU,318.945219,379.6918629,465.5432065,535.4591324,593.9456649,648.9404666,715.5706393,773.738354,805.8161532,832.5715602,842.8156405
RCP2.6,SFM,AFMfree,Clear_cut_EU,318.945219,379.6918629,465.5523508,521.4989231,565.7311172,605.7749483,657.3532112,701.003415,718.9220413,723.3053935,710.9922483
RCP2.6,SFM,AFM25,Clear_cut_EU,318.945219,379.6918629,465.5523508,523.0859126,569.017531,606.6847883,646.9159428,669.7792305,673.32213,665.8081188,642.7739666
RCP2.6,SFM,AFM50,Clear_cut_EU,318.945219,379.6918629,465.5507467,526.4902591,573.353709,608.8392179,629.6354933,640.9238675,631.1647205,593.2134253,552.048479
RCP2.6,SFM,AFM75,Clear_cut_EU,318.945219,379.6918629,466.9422932,530.8712789,577.5351648,602.02495,612.7093492,608.5590073,565.4929582,513.7264304,459.5605526
RCP2.6,SFM,AFM100,Clear_cut_EU,318.945219,379.6918629,466.5243322,533.462784,586.4927227,593.4136431,596.3098292,555.6859767,492.2182451,426.6671522,357.5288249
REF,MFM,noAFM,Clear_cut_EU,318.9147149,379.6621063,465.5225765,498.5214146,514.5018262,524.0473818,515.2827359,507.0975146,499.2389212,491.0742336,484.082581
