Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.184774666,0.186827718,0.188675465,Wood_Byproducts
REF,MFM,noAF,ArgentinaReg,0,0.0046,0.0046,0.016450133,0.066602363,0.157593115,0.519235346,0.915917943,0.975967613,1.046499455,0.960891328,Wood_Byproducts
REF,MFM,noAF,CanadaReg,0,3.262925,3.75,3.75,3.75,3.375,3.0375,4.089156872,5.253310662,6.778204284,7.693480997,Wood_Byproducts
REF,MFM,noAF,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,4.01370988,6.732247441,9.387151293,11.82098823,13.35958979,Wood_Byproducts
REF,MFM,noAF,IndonesiaReg,0,0.0282,0.0282,0.182100118,0.157693607,1.040922945,1.041976894,0.948603911,1.020089035,1.084425645,1.142328595,Wood_Byproducts
REF,MFM,noAF,MalaysiaReg,0,0.091775,0.049680392,0.272349064,0.262440491,0.165165941,0.180541986,0.162487788,0.209556209,0.188600588,0.171256505,Wood_Byproducts
REF,MFM,noAF,MexicoReg,0,0.002325,0.002325,0.006222996,0.006427549,0.006427549,0,0.116114606,0.294803482,0.29746148,0.299853679,Wood_Byproducts
REF,MFM,noAF,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.017688227,0.052967133,0.060240648,0.060240648,0.064777199,Wood_Byproducts
REF,MFM,noAF,RCEU,0,0.1632,0.1632,0.1632,0.14688,0.148512,0.144730077,0.146577069,0.131919362,0.134910851,0.121419766,Wood_Byproducts
REF,MFM,noAF,RSAM,0,0.00245,0.006211515,0.020912126,0.045418905,0.126575967,0.527484067,1.435687944,1.484450212,1.878248851,1.952628697,Wood_Byproducts
REF,MFM,noAF,RSEA_PAC,0,0.069075,0.514648855,1.792379015,2.317597194,2.402286631,2.903082675,2.671326923,2.404194231,2.480329902,2.636006246,Wood_Byproducts
REF,MFM,noAF,SouthAfrReg,0,0.14575,0.14575,0.014648394,0.012846023,0.304598677,0.352174511,0.394992761,0.433529186,0.467709306,0.495416932,Wood_Byproducts
REF,MFM,noAF,UkraineReg,0,0.493975,0.493975,1.668136387,1.46177837,1.27878036,1.295878954,1.338471804,1.281893031,1.272477023,1.186744124,Wood_Byproducts
REF,MFM,noAF,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,noAF,ROWE,0,0.00755,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,Wood_Byproducts
REF,MFM,AF0,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.184774666,0.186827718,0.188675465,0.190338437,0.191835112,0.1726516,Wood_Byproducts
REF,MFM,AF0,ArgentinaReg,0,0.0046,0.0046,0.022619715,0.017717453,0.115859523,0.167889447,0.298091378,0.237476891,0.308429628,0.353947892,Wood_Byproducts
REF,MFM,AF0,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,3.375,4.181481807,4.060133467,4.701783079,5.062513693,Wood_Byproducts
REF,MFM,AF0,Former_USSR,0,2.034825,2.034825,2.034825,2.034825,2.034825,2.189486637,5.314346225,7.26878385,5.663022132,4.581213668,Wood_Byproducts
REF,MFM,AF0,IndonesiaReg,0,0.0282,0.0282,0.023102847,0.065752154,0.69359174,1.155257545,1.03973179,1.061398302,1.080898162,1.098448036,Wood_Byproducts
REF,MFM,AF0,MalaysiaReg,0,0.091775,0.109293123,0.503185514,0.528904875,0.334055867,0.689640019,0.620676017,0.626552733,0.565363,0.51026668,Wood_Byproducts
REF,MFM,AF0,MexicoReg,0,0.002325,0.002325,0.008841885,0.008841885,0.008841885,0,0,0,0,0,Wood_Byproducts
REF,MFM,AF0,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.009225,0.009225,0.022182946,0.056240693,0.056240693,0.056240693,0.056240693,Wood_Byproducts
REF,MFM,AF0,RCEU,0,0.1632,0.1632,0.1632,0.1632,0.1632,0.1632,0.157770727,0.158313655,0.158802289,0.15924206,Wood_Byproducts
REF,MFM,AF0,RSAM,0,0.00245,0.006211515,0.026803572,0.046254408,0.117269366,0.245616761,0.502203989,0.683208186,0.778294077,0.831250871,Wood_Byproducts
REF,MFM,AF0,RSEA_PAC,0,0.069075,0.514648855,2.220783148,2.263404739,2.366228946,2.930472633,2.629965614,2.365328748,2.206586113,2.381032612,Wood_Byproducts
REF,MFM,AF0,SouthAfrReg,0,0.14575,0.14575,0.013287838,0.011688915,0.005686862,0.005161291,0.10262142,0.186647641,0.265959135,0.239363221,Wood_Byproducts
REF,MFM,AF0,UkraineReg,0,0.493975,0.493975,2.15749875,1.921179481,1.430231494,1.576373597,1.418736237,1.332273343,1.233812633,1.180935574,Wood_Byproducts
REF,MFM,AF0,USAReg,0,3.32115,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,13.28385878,Wood_Byproducts
REF,MFM,AF0,ROWE,0,0.00755,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,0.056251884,Wood_Byproducts
REF,MFM,AF25,ANZ,0,0.0628,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.205305185,0.184774666,0.186827718,0.188675465,Wood_Byproducts
REF,MFM,AF25,ArgentinaReg,0,0.0046,0.0046,0.015486685,0.014512419,0.038114747,0.20981114,0.416312659,0.419911605,0.386583062,0.448357031,Wood_Byproducts
REF,MFM,AF25,CanadaReg,0,3.262925,3.75,3.75,3.75,3.75,3.375,3.296478043,4.101169361,5.431799621,5.826158356,Wood_Byproducts
REF,MFM,AF25,Former_USSR,0,2.034825,2.034825,1.8313425,1.85169075,1.870004175,2.390126477,2.348001827,4.427444187,5.983549516,6.718234653,Wood_Byproducts
REF,MFM,AF25,IndonesiaReg,0,0.0282,0,0.147330853,0.207293577,0.161959742,0.697902247,0.787655965,0.708890368,0.638001331,0.733745141,Wood_Byproducts
REF,MFM,AF25,MalaysiaReg,0,0.091775,0.109293123,0.131755235,0.122028021,0.077395853,0.378859224,0.592424883,0.594932853,0.716985938,0.64672339,Wood_Byproducts
REF,MFM,AF25,MexicoReg,0,0.002325,0.002325,0.005894601,0.005894601,0.005894601,0,0,0,0,0.008910502,Wood_Byproducts
REF,MFM,AF25,MidEastNorthAfr,0,0.01025,0.01025,0.01025,0.01025,0.01025,0.020218213,0.051259484,0.057119586,0.057119586,0.063649629,Wood_Byproducts
