Mitigation_scenario,Forest_use,Management_scenario,Region,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,ANZ,0,0,0,0,0,0,0,0,0.020530518,0.018477467,0.01662972,Wood_EP_im
REF,MFM,noAF,ArgentinaReg,0,0,0,0,0,0.112062739,0.202514006,0.345307853,0.476049514,0.405517673,0.4911258,Wood_EP_im
REF,MFM,noAF,CanadaReg,0,0,0,0,0,0.375,0.7125,0.710275376,0.689802104,0.66458857,0.615348095,Wood_EP_im
REF,MFM,noAF,Former_USSR,0,0,0,0,0,0,0,0,0.194936014,0.167013913,0.637107907,Wood_EP_im
REF,MFM,noAF,IndonesiaReg,0,0,0,0,0.101491642,0.077498342,0.549885335,0.714851232,0.643366108,0.579029498,0.521126548,Wood_EP_im
REF,MFM,noAF,MalaysiaReg,0,0,0.059612731,0.074462231,1.688871056,4.782018088,6.411045624,6.429099823,6.382031402,6.402987023,6.420331105,Wood_EP_im
REF,MFM,noAF,MexicoReg,0,0,0,0,0,0,0.036133288,0.030179791,0.026579983,0.023921985,0.021529786,Wood_EP_im
REF,MFM,noAF,RCEU,0,0,0,0,0.01632,0.014688,0.018469923,0.016622931,0.031280638,0.028289149,0.041780234,Wood_EP_im
REF,MFM,noAF,RSAM,0,0,0,0,0,0.001927193,0.344873789,0.417379795,0.693929703,0.581359453,0.506979607,Wood_EP_im
REF,MFM,noAF,RSEA_PAC,0,0,0,0,4.729373382,12.54686975,14.23334896,15.23580399,15.50293668,15.42680101,15.27112467,Wood_EP_im
REF,MFM,noAF,SouthAfrReg,0,0,0,0.476043863,0.477846234,0.475758334,0.428182501,0.385364251,0.346827826,0.312647705,0.284940079,Wood_EP_im
REF,MFM,noAF,UkraineReg,0,0,0,0,0.833559484,2.090954648,2.511819056,2.660323286,2.716902059,2.726318067,2.812050966,Wood_EP_im
REF,MFM,AF0,ANZ,0,0,0,0,0,0.020530518,0.018477467,0.01662972,0.014966748,0.013470073,0.032653584,Wood_EP_im
REF,MFM,AF0,ArgentinaReg,0,0,0,0,0.058435679,0.173747886,0.487372215,0.566243669,0.626858157,0.555905419,0.510387156,Wood_EP_im
REF,MFM,AF0,CanadaReg,0,0,0,0,0,0,0.375,0.36567586,1.557198905,1.35146309,1.229993851,Wood_EP_im
REF,MFM,AF0,Former_USSR,0,0,0,0,0,0,1.321971646,1.274364223,1.023518087,2.929549169,4.011357634,Wood_EP_im
REF,MFM,AF0,IndonesiaReg,0,0,0,0.160239579,0.129377157,0.096436702,0.10113936,0.216665115,0.194998603,0.175498743,0.157948869,Wood_EP_im
REF,MFM,AF0,MalaysiaReg,0,0,0,0,1.655566295,4.184195798,6.224107694,6.293071696,6.287194979,6.348384713,6.403481033,Wood_EP_im
REF,MFM,AF0,MexicoReg,0,0,0,0,0,0,0.025016238,0.084221437,0.084221437,0.084221437,0.084221437,Wood_EP_im
REF,MFM,AF0,MidEastNorthAfr,0,0,0,0,0.001025,0.001025,0.002464772,0.006248966,0.006248966,0.006248966,0.006248966,Wood_EP_im
REF,MFM,AF0,RCEU,0,0,0,0,0,0,0,0.005429273,0.004886345,0.004397711,0.00395794,Wood_EP_im
REF,MFM,AF0,RSAM,0,0,0,0,0,0,0.512265043,0.805658032,0.624653835,0.529567945,0.47661115,Wood_EP_im
REF,MFM,AF0,RSEA_PAC,0,0,0,0,4.783632258,12.93918335,14.74515347,15.26449185,15.52912871,15.68787135,15.51342485,Wood_EP_im
REF,MFM,AF0,SouthAfrReg,0,0,0,0.657745131,0.659344055,0.952304111,0.974601289,0.87714116,0.793114939,0.713803445,0.740399358,Wood_EP_im
REF,MFM,AF0,UkraineReg,0,0,0,0,0.363820526,1.522641112,1.816274431,1.973911791,2.060374684,2.158835395,2.211712454,Wood_EP_im
REF,MFM,AF25,ANZ,0,0,0,0,0,0,0,0,0.020530518,0.018477467,0.01662972,Wood_EP_im
REF,MFM,AF25,ArgentinaReg,0,0,0,0,0.048189191,0.232451634,0.408099155,0.433925309,0.430326363,0.463654906,0.401880937,Wood_EP_im
REF,MFM,AF25,CanadaReg,0,0,0,0,0,0,0.375,1.266600766,1.20476894,1.16151483,1.056413856,Wood_EP_im
REF,MFM,AF25,Former_USSR,0,0,0,0.2034825,0.18313425,0.164820825,0.90719573,3.912333502,4.030545368,3.438996374,2.872009372,Wood_EP_im
REF,MFM,AF25,IndonesiaReg,0,0,0.0282,0.022638238,0.019171852,0.880687047,0.897537181,0.807783463,0.88654906,0.957438097,0.861694287,Wood_EP_im
REF,MFM,AF25,MalaysiaReg,0,0,0,0.19552139,1.598575286,4.450597263,6.065886864,5.852321205,5.849813235,5.72776015,5.798022699,Wood_EP_im
REF,MFM,AF25,MexicoReg,0,0,0,0,0,0,0.017272283,0.060425928,0.089105024,0.089105024,0.080194521,Wood_EP_im
REF,MFM,AF25,RCEU,0,0,0,0,0,0.01632,0.020307459,0.018276713,0.016449042,0.014804137,0.017942266,Wood_EP_im
REF,MFM,AF25,RSAM,0,0,0,0,0,0,0.022956254,0.213893389,0.170204296,0.144385495,0.129946945,Wood_EP_im
REF,MFM,AF25,RSEA_PAC,0,0,0,0,4.65222759,12.39193991,14.06790022,14.6939927,14.93606387,14.74413773,14.96424209,Wood_EP_im
REF,MFM,AF25,SouthAfrReg,0,0,0,0.447573829,0.388875405,0.54754245,0.500044547,0.536106152,0.568561597,0.597771497,0.537994347,Wood_EP_im
REF,MFM,AF25,UkraineReg,0,0,0,0,0.678698537,1.86515944,2.21872639,2.258358472,2.313488868,2.273215892,2.396352509,Wood_EP_im
REF,MFM,AF50,ANZ,0,0,0,0,0,0,0,0,0,0,0.020530518,Wood_EP_im
REF,MFM,AF50,ArgentinaReg,0,0,0.0046,0.003668145,0.003002204,0.152197944,0.372001761,0.570412899,0.626450829,0.624861329,0.659728966,Wood_EP_im
REF,MFM,AF50,CanadaReg,0,0,0,0,0,0.375,0.598831705,1.465386241,2.431981889,3.842346744,3.547387401,Wood_EP_im
REF,MFM,AF50,Former_USSR,0,0,0,0,0,0,0,2.612453897,2.261147752,1.888102,1.582939927,Wood_EP_im
REF,MFM,AF50,IndonesiaReg,0,0,0,0,0.051410521,0.751451285,0.782660973,0.704394876,0.633955388,0.57055985,0.513503865,Wood_EP_im
REF,MFM,AF50,MalaysiaReg,0,0,0,0,1.749473096,4.813904577,7.480317587,7.461535741,7.44574891,7.450669037,7.491674981,Wood_EP_im
REF,MFM,AF50,MexicoReg,0,0,0,0,0,0,0,0.055773839,0.089214525,0.089859745,0.08087377,Wood_EP_im
REF,MFM,AF50,RCEU,0,0,0,0,0,0,0,0,0,0.003476667,0.003129,Wood_EP_im
REF,MFM,AF50,RSAM,0,0,0,0,0,0,0.294703902,0.311682067,0.250380803,0.305582813,0.275024532,Wood_EP_im
