Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,AF0,Lake,0,0,0,2.324784511,4.824188247,7.462810182,10.10143212,12.74005405,15.37867598,18.01729792,20.65591985,Timber_plant_EU
REF,MFM,AF0,PA0401,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0402,0,0,0,205.1432077,405.617578,600.494504,791.7933734,972.2695319,1152.677698,1330.09851,1482.876884,Timber_plant_EU
REF,MFM,AF0,PA0404,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0405,0,0,0,29.72395823,115.495876,227.3899513,320.7940719,368.1216272,422.3035145,473.3378274,559.5756929,Timber_plant_EU
REF,MFM,AF0,PA0406,0,0,0,23.22931908,45.12377778,77.38918067,108.099133,137.2459917,171.5802925,204.5686855,223.6274758,Timber_plant_EU
REF,MFM,AF0,PA0409,0,0,0,16.56829359,29.27746327,41.98663295,54.69580264,67.40497233,80.11414201,92.8233117,105.5324814,Timber_plant_EU
REF,MFM,AF0,PA0412,0,0,0,120.188387,414.9709766,693.2232406,830.6254831,1173.18035,1510.609566,1933.176886,2044.384695,Timber_plant_EU
REF,MFM,AF0,PA0418,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0419,0,0,0,2.784680997,2.784680997,2.784680997,2.784680997,5.506300266,5.506300266,5.506300266,5.506300266,Timber_plant_EU
REF,MFM,AF0,PA0421,0,0,0,1.968967932,3.937935862,5.906903791,7.875871722,9.844839654,11.81380758,13.78277552,15.75174345,Timber_plant_EU
REF,MFM,AF0,PA0422,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0429,0,0,0,0.743680639,1.078085319,1.412489998,1.746894677,2.081299356,2.415704036,2.750108716,3.084513393,Timber_plant_EU
REF,MFM,AF0,PA0431,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0432,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0433,0,0,0,7.350991428,14.15314037,20.7221141,27.29108783,68.91552176,100.3927256,111.9706791,97.767491,Timber_plant_EU
REF,MFM,AF0,PA0435,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0436,0,0,0,568.2228044,1125.828313,1791.410129,2460.64433,3205.533109,3952.338495,4623.823174,5290.828059,Timber_plant_EU
REF,MFM,AF0,PA0445,0,0,0,430.5646933,743.2126678,918.6251473,1172.547331,1439.211432,1637.057411,1786.470418,1855.022605,Timber_plant_EU
REF,MFM,AF0,PA0501,0,0,0,14.79923931,66.48125803,66.48125803,66.48125803,92.36753735,94.39691412,107.9323574,107.9323574,Timber_plant_EU
REF,MFM,AF0,PA0503,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA0504,0,0,0,3.039471419,63.46000654,74.10071255,177.2429019,211.8612668,213.4820521,213.4820521,265.0253993,Timber_plant_EU
REF,MFM,AF0,PA0608,0,0,0,821.2521355,1958.298657,3333.638779,4905.144621,6678.628115,7992.070905,9305.513697,10378.85075,Timber_plant_EU
REF,MFM,AF0,PA0814,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1110,0,0,0,36.28622027,50.8719998,65.45777933,98.97147022,156.7969502,171.3827297,185.9685092,185.9685092,Timber_plant_EU
REF,MFM,AF0,PA1201,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1204,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1205,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1206,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1208,0,0,0,0,0,0,0,0.275778574,1.676454102,1.955863119,0.772543884,Timber_plant_EU
REF,MFM,AF0,PA1209,0,0,0,5.669067569,11.04610973,20.76642894,30.08704524,93.98075341,153.1738597,173.2636087,137.8998941,Timber_plant_EU
REF,MFM,AF0,PA1210,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1211,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1214,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1215,0,0,0,16.72121028,51.14498654,51.14498654,51.14498654,157.6571805,218.7976837,239.2763868,190.7418749,Timber_plant_EU
REF,MFM,AF0,PA1216,0,0,0,6.295995279,13.85904579,23.0629353,33.41429477,42.91827762,55.23445109,66.82098766,71.35046937,Timber_plant_EU
REF,MFM,AF0,PA1217,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1218,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1219,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF0,PA1221,0,0,0,17.66169594,29.7606062,37.33030958,54.99200552,73.8932464,86.81269701,86.81269701,86.81269701,Timber_plant_EU
REF,MFM,AF0,PA1222,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,Lake,0,0,0,1.806831683,3.543309718,5.483843732,7.462810182,9.441776632,11.45917552,13.43814197,15.41710842,Timber_plant_EU
REF,MFM,AF25,PA0401,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0402,0,0,0,148.0084581,299.2719986,447.0423512,585.9791665,716.5957932,846.9579604,972.5461444,1089.339127,Timber_plant_EU
REF,MFM,AF25,PA0404,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0405,0,0,0,8.276417684,184.8392163,283.6312069,315.5747706,380.6601545,431.187693,473.492093,555.333115,Timber_plant_EU
REF,MFM,AF25,PA0406,0,0,0,21.7962057,40.40514725,72.60835408,103.5494487,132.7572043,171.7959734,197.6378499,206.6808415,Timber_plant_EU
REF,MFM,AF25,PA0409,0,0,0,13.39100116,22.92287843,32.45475569,41.98663295,51.51851022,61.05038749,70.58226474,80.11414201,Timber_plant_EU
REF,MFM,AF25,PA0412,0,0,0,64.18548682,198.1435942,336.0785403,544.6196632,860.9074741,1261.429696,1774.627835,1959.723699,Timber_plant_EU
REF,MFM,AF25,PA0418,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
REF,MFM,AF25,PA0419,0,0,0,0,0,0,0,0,0,0,0,Timber_plant_EU
