Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,PA0401,104.487186,104.487186,150.897353,150.897353,153.3875885,166.4945823,200.8208202,261.9537303,268.8200111,277.5481531,277.5481531,Clear_cut_EU
REF,MFM,noAF,PA0402,4433.91781,4442.894116,4548.41209,4649.826848,4714.868975,4787.185671,4788.694047,4788.694047,4788.694047,4788.694047,4788.694047,Clear_cut_EU
REF,MFM,noAF,PA0404,1114.627496,1347.793699,1558.544463,1622.896578,1653.614971,1653.614971,1661.256754,1661.256754,1661.256754,1665.298158,1696.965958,Clear_cut_EU
REF,MFM,noAF,PA0405,853.483999,1623.774747,1693.362939,1870.867646,2103.071412,2233.235588,2237.408978,2237.408978,2237.408978,2237.408978,2237.408978,Clear_cut_EU
REF,MFM,noAF,PA0406,3192.984994,3193.730135,3375.043655,3376.224269,3453.430502,3461.847072,3461.847072,3461.847072,3461.847072,3461.847072,3461.847072,Clear_cut_EU
REF,MFM,noAF,PA0409,1345.367628,1345.432695,1381.642157,1477.99998,1619.753561,1798.214895,1849.247752,1852.353371,1853.666774,1853.666774,1853.666774,Clear_cut_EU
REF,MFM,noAF,PA0412,4870.757788,6313.838478,7365.219649,7619.803296,7990.812013,8258.114409,8273.374834,8281.626217,8281.626217,8281.626217,8281.626217,Clear_cut_EU
REF,MFM,noAF,PA0418,174.3089982,230.8389518,372.5809796,401.8761121,402.2344591,402.4715365,402.663086,402.663086,402.663086,405.5825243,405.5825243,Clear_cut_EU
REF,MFM,noAF,PA0419,79.18991318,118.7491698,149.2496951,149.2496951,149.2496951,149.2496951,149.2496951,149.2496951,149.2496951,149.2496951,149.2496951,Clear_cut_EU
REF,MFM,noAF,PA0421,135.0589623,135.0589623,137.2571699,174.560046,179.1616197,179.1616197,179.1616197,179.1616197,179.1616197,179.1616197,179.1616197,Clear_cut_EU
REF,MFM,noAF,PA0422,1.865208745,2.701080092,2.701080092,2.701080092,2.701080092,2.701080092,2.805326292,2.805326292,2.805326292,2.860457537,3.292457208,Clear_cut_EU
REF,MFM,noAF,PA0429,161.6818961,161.6818961,243.3389134,321.705404,418.0723926,426.1155303,427.4444927,427.5866591,428.4407253,428.4407253,428.4407253,Clear_cut_EU
REF,MFM,noAF,PA0431,2826.021126,3649.369561,4596.036616,4805.112036,4916.858231,5021.21273,5036.070601,5061.202595,5093.573325,5093.906903,5093.906903,Clear_cut_EU
REF,MFM,noAF,PA0432,53.53209346,53.55482754,120.9387952,120.9592066,120.9592066,122.1165974,170.7760052,171.0563643,177.1875771,192.2769662,192.2769662,Clear_cut_EU
REF,MFM,noAF,PA0433,469.9414809,469.9414809,488.5164456,512.0328698,519.6925684,545.2612235,545.2612235,545.2612235,545.2612235,545.2612235,545.2612235,Clear_cut_EU
REF,MFM,noAF,PA0435,158.5990537,248.4044912,349.6521487,398.1214356,420.8354905,420.8354905,421.3844704,421.3844704,421.3844704,421.6748018,423.9497924,Clear_cut_EU
REF,MFM,noAF,PA0436,10383.69554,10822.31753,10952.2933,11015.38595,11123.62565,11331.57908,11400.05787,11442.62674,11446.39335,11446.50896,11446.50896,Clear_cut_EU
REF,MFM,noAF,PA0445,10755.51087,12131.75562,12512.65855,13248.06909,13511.25339,13571.28824,13742.44098,13863.32844,13919.0142,13921.46059,13921.46059,Clear_cut_EU
REF,MFM,noAF,PA0501,2266.339457,2329.768545,2474.731154,2538.506818,2538.506818,2539.415873,2569.135131,2578.405194,2590.459212,2605.099649,2605.099649,Clear_cut_EU
REF,MFM,noAF,PA0503,123.9603861,123.9603861,193.4073263,259.1501702,328.2391489,328.4986944,355.5639412,357.5255012,357.5255012,357.5255012,357.5255012,Clear_cut_EU
REF,MFM,noAF,PA0504,1114.054479,1737.720858,1995.62517,2244.07086,2315.943744,2403.126076,2419.573897,2447.800732,2483.478979,2483.844141,2483.844141,Clear_cut_EU
REF,MFM,noAF,PA0608,27156.90371,27156.90371,27156.90371,27203.68682,27232.62127,27232.62127,27275.70767,27317.79095,27317.79095,27317.79095,27317.79095,Clear_cut_EU
REF,MFM,noAF,PA0814,124.3965487,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,159.4306955,Clear_cut_EU
REF,MFM,noAF,PA1110,1694.815319,1694.815319,1694.815319,1696.183644,1697.029926,1697.029926,1700.116059,1703.130343,1703.130343,1703.130343,1703.130343,Clear_cut_EU
REF,MFM,noAF,PA1201,1250.765794,1251.299881,1252.052849,1252.949557,1255.344886,1262.755413,1265.069937,1266.898855,1266.898855,1266.898855,1266.898855,Clear_cut_EU
REF,MFM,noAF,PA1204,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,59.16124936,Clear_cut_EU
REF,MFM,noAF,PA1205,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,1.819607883,Clear_cut_EU
REF,MFM,noAF,PA1206,0,0,0,0,0,0,0,0,0,0,0,Clear_cut_EU
REF,MFM,noAF,PA1208,411.929854,412.0371497,448.2339244,452.7973407,457.8811419,460.8075399,461.0045477,464.5752811,466.8841545,466.8841545,466.8841545,Clear_cut_EU
REF,MFM,noAF,PA1209,4004.598835,4022.897094,4243.16251,4328.062602,4437.566901,4583.482748,4653.640334,4679.899087,4696.87827,4696.87827,4696.87827,Clear_cut_EU
REF,MFM,noAF,PA1210,118.6765045,151.5083704,282.8565675,292.448308,292.7803777,293.0000704,302.0615581,309.0816086,309.0816086,310.7784391,310.7784391,Clear_cut_EU
REF,MFM,noAF,PA1211,937.6959921,937.6959921,1329.670837,1329.670837,1359.329071,1398.015578,1527.351856,1672.24122,1740.701194,1846.868442,1846.868442,Clear_cut_EU
REF,MFM,noAF,PA1214,0,0,0,0,0,0,0,0,0,0,0,Clear_cut_EU
REF,MFM,noAF,PA1215,1502.743997,1502.743997,1662.983898,1725.464119,1739.786609,1899.775605,1899.77707,1899.77707,1900.10162,1901.453349,1901.453349,Clear_cut_EU
REF,MFM,noAF,PA1216,1539.493937,1565.852877,1612.163704,1616.404997,1622.007054,1624.672009,1631.203848,1631.203848,1631.203848,1631.203848,1631.203848,Clear_cut_EU
REF,MFM,noAF,PA1217,250.2976379,250.2976379,250.2976379,250.2976379,250.2976379,250.2976379,254.8679083,258.479298,258.479298,258.479298,258.479298,Clear_cut_EU
REF,MFM,noAF,PA1218,13.87061363,13.87061363,125.4037402,125.4037402,125.4037402,125.4037402,138.1564774,170.1299091,178.1741185,178.1741185,178.1741185,Clear_cut_EU
REF,MFM,noAF,PA1219,25.49035262,25.49035262,28.65881932,31.22613287,32.06038611,32.08836673,32.14593772,33.18940216,33.86411714,33.86411714,33.86411714,Clear_cut_EU
REF,MFM,noAF,PA1221,1174.170399,1174.170399,1221.591451,1221.591451,1234.941286,1235.131284,1237.000245,1252.61732,1262.715483,1262.715483,1262.715483,Clear_cut_EU
REF,MFM,noAF,PA1222,198.073323,203.5806115,539.8810385,539.9377313,540.0234771,540.6149945,573.2981042,612.1905078,655.6407872,655.6407872,655.6407872,Clear_cut_EU
REF,MFM,noAF,Lake,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,2.00917001,Selection_EU
REF,MFM,noAF,PA0401,400.1831971,400.1831971,353.7730302,353.7730302,351.2827946,338.1758008,303.8495629,242.7166528,235.850372,227.12223,227.12223,Selection_EU
REF,MFM,noAF,PA0402,916.4619817,907.5346966,802.016722,700.6019644,635.5598378,563.243141,561.7347652,561.7347652,561.7347652,561.7347652,561.7347652,Selection_EU
REF,MFM,noAF,PA0404,1246.131068,1012.964866,802.214102,737.861987,707.1435934,707.1435934,699.5018103,699.5018103,699.5018103,695.4604063,663.792607,Selection_EU
REF,MFM,noAF,PA0405,1619.514113,849.3431918,779.7549998,602.2502933,370.0465274,239.882351,235.708961,235.708961,235.708961,235.708961,235.708961,Selection_EU
REF,MFM,noAF,PA0406,1392.203939,1391.458798,1210.145278,1208.964664,1131.758431,1123.341861,1123.341861,1123.341861,1123.341861,1123.341861,1123.341861,Selection_EU
REF,MFM,noAF,PA0409,1004.77277,1004.707703,968.4982405,872.1404172,730.3868368,551.9255027,500.8926459,497.7870269,496.4736237,496.4736237,496.4736237,Selection_EU
REF,MFM,noAF,PA0412,3871.317355,2428.569721,1377.18855,1122.604903,751.5961859,484.2937901,469.033365,460.7819827,460.7819827,460.7819827,460.7819827,Selection_EU
REF,MFM,noAF,PA0418,481.3581033,424.82815,283.0861222,253.7909896,253.4326425,253.1955651,253.0040157,253.0040157,253.0040157,250.0845774,250.0845774,Selection_EU
REF,MFM,noAF,PA0419,222.0285371,182.4692805,151.9687552,151.9687552,151.9687552,151.9687552,151.9687552,151.9687552,151.9687552,151.9687552,151.9687552,Selection_EU
REF,MFM,noAF,PA0421,46.62129921,46.62129921,44.4230916,7.120215511,2.518641761,2.518641761,2.518641761,2.518641761,2.518641761,2.518641761,2.518641761,Selection_EU
REF,MFM,noAF,PA0422,1.959084523,1.123213176,1.123213176,1.123213176,1.123213176,1.123213176,1.018966976,1.018966976,1.018966976,0.963835731,0.531836061,Selection_EU
REF,MFM,noAF,PA0429,537.3068502,537.3068502,455.6498329,377.2833422,280.9163537,272.873216,271.5442536,271.4020872,270.548021,270.548021,270.548021,Selection_EU
REF,MFM,noAF,PA0431,4064.30902,3240.960586,2294.293531,2085.21811,1973.471915,1869.117416,1854.259546,1829.127551,1796.756822,1796.423243,1796.423243,Selection_EU
REF,MFM,noAF,PA0432,1164.564727,1164.541993,1097.158025,1097.137613,1097.137613,1095.980223,1047.320815,1047.040456,1040.909243,1025.819854,1025.819854,Selection_EU
REF,MFM,noAF,PA0433,494.8273569,494.8273569,476.2523922,452.735968,445.0762694,419.5076143,419.5076143,419.5076143,419.5076143,419.5076143,419.5076143,Selection_EU
REF,MFM,noAF,PA0435,570.5652401,480.7598026,379.5121452,331.0428582,308.3288034,308.3288034,307.7798235,307.7798235,307.7798235,307.4894921,305.2145014,Selection_EU
