Ecoregion,Globiom_Reg,Share
NT0402,ArgentinaReg,0.17922055
NT0805,ArgentinaReg,0.930176505
NT0210,ArgentinaReg,0.621646719
NT0150,ArgentinaReg,0.046672639
NT1001,ArgentinaReg,0.117609648
NT1002,ArgentinaReg,0.411717653
NT0165,ArgentinaReg,0.630975029
NT0708,ArgentinaReg,0.555546875
NT1010,ArgentinaReg,1
NT0101,ArgentinaReg,0.021433027
NT1008,ArgentinaReg,0.756302343
NT0908,ArgentinaReg,0.998175618
NT0909,ArgentinaReg,0.995401451
NT0710,ArgentinaReg,0.000739364
NT0801,ArgentinaReg,0.999547327
NT0802,ArgentinaReg,1
NT0803,ArgentinaReg,0.999730255
NT0404,ArgentinaReg,0.179496528
Rock and Ice,ArgentinaReg,0.001013661
NT0907,RSAM,0.200536722
NT0165,RSAM,0.369024971
NT0206,RSAM,1
NT0702,RSAM,0.999991652
NT0704,RSAM,0.007388785
NT0157,RSAM,2.88E-05
NT0166,RSAM,0.575892287
NT0210,RSAM,0.378206948
NT0128,RSAM,0.728300241
NT0141,RSAM,4.08E-06
NT0212,RSAM,0.714240307
NT1003,RSAM,1
NT1002,RSAM,0.588282347
NT0105,RSAM,1
Lake,RSAM,0.010017641
NT1001,RSAM,0.882390352
NT0404,RSAM,0.820503472
NT0402,RSAM,0.82077945
NT1303,RSAM,1
NT0805,RSAM,0.069823495
Rock and Ice,RSAM,0.007885823
NT1315,RSAM,1
NT1201,RSAM,1
NT1008,RSAM,0.243697657
NT0403,RSAM,1
NT0401,RSAM,1
OC0111,RSAM,1
OC0115,Pacific_Island,1
OC0113,Pacific_Island,1
OC0108,Pacific_Island,1
OC0116,Pacific_Island,1
NT0150,RSAM,0.178038111
NT0708,RSAM,0.440378151
NT0908,RSAM,0.001824382
NT0909,RSAM,0.001645131
OC0112,Pacific_Island,1
NT0710,RSAM,0.504564874
NT0801,RSAM,0.000452673
NT0803,RSAM,0.000269745
NT0102,RSAM,0.000378284
AT0724,SouthernAf,1
AT0203,SouthernAf,1
AT1002,SouthernAf,1
AT1001,SouthernAf,1
AT0907,SouthernAf,0.776891405
AT0726,SouthernAf,1
AT1401,SouthernAf,0.040371552
AT0701,SouthernAf,0.956253535
