Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,Lake,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0401,0,0,0,1.471112556,10.71598066,20.28922535,20.28922535,20.28922535,20.28922535,20.28922535,20.28922535,EP_CrpLnd_EU
REF,MFM,noAF,PA0402,0,0,0,51.50079106,116.1298472,179.2762449,205.320054,217.9777487,217.9777487,217.9777487,217.9777487,EP_CrpLnd_EU
REF,MFM,noAF,PA0404,0,0,0.530753469,0.596700778,9.790281482,9.790281482,24.00720154,38.70258716,52.2925248,65.22277646,78.68963243,EP_CrpLnd_EU
REF,MFM,noAF,PA0405,0,0,0,23.05486094,45.87917327,68.47524248,68.47524248,68.47524248,68.47524248,68.47524248,68.47524248,EP_CrpLnd_EU
REF,MFM,noAF,PA0406,0,0,49.13746309,108.293181,156.1718524,172.6133895,178.1791759,183.8585481,186.6753923,189.4873549,192.1651766,EP_CrpLnd_EU
REF,MFM,noAF,PA0409,0,0,12.00803817,25.21688016,36.42125915,47.23611536,47.23611536,47.23611536,47.23611536,47.23611536,47.23611536,EP_CrpLnd_EU
REF,MFM,noAF,PA0412,0,0,0,0,0.013231713,11.73717772,14.62236594,18.54382149,20.88131012,24.20855233,25.74813368,EP_CrpLnd_EU
REF,MFM,noAF,PA0418,0,0,5.048728933,9.102908953,12.78646158,15.43861947,18.01121263,20.50662799,22.70492424,24.78762332,26.67374066,EP_CrpLnd_EU
REF,MFM,noAF,PA0419,0,0,0,0,0,0,1.262155234,2.983633098,4.442542025,5.674623226,5.674623226,EP_CrpLnd_EU
REF,MFM,noAF,PA0421,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0422,0,0,0,0,0.000138241,0.000138241,0.000138241,0.000138241,0.000138241,0.002147758,0.00796895,EP_CrpLnd_EU
REF,MFM,noAF,PA0429,0,0,1.273501831,2.674353845,3.888214754,5.036262984,5.036262984,5.036262984,5.036262984,5.036262984,5.036262984,EP_CrpLnd_EU
REF,MFM,noAF,PA0431,0,0,73.97920307,130.5257915,210.3356543,285.0402169,353.7299912,412.5117107,468.0390562,524.0315724,573.4306999,EP_CrpLnd_EU
REF,MFM,noAF,PA0432,0,0,0.003547862,1.711856221,2.032465614,2.034329349,2.036137171,2.037890759,2.039435555,2.040899117,2.042224537,EP_CrpLnd_EU
REF,MFM,noAF,PA0433,0,0,0,0.003376692,0.160221376,1.776468511,1.776468511,1.776468511,1.776468511,1.776468511,1.776468511,EP_CrpLnd_EU
REF,MFM,noAF,PA0435,0,0,0.043405008,0.057368587,5.498685843,5.498685843,7.788104822,8.887080765,11.19854793,14.25060321,18.08312415,EP_CrpLnd_EU
REF,MFM,noAF,PA0436,0,0,48.243883,96.00532716,143.2891569,190.1001483,236.4430298,282.3224825,327.7431407,352.2399554,352.2399554,EP_CrpLnd_EU
REF,MFM,noAF,PA0445,0,0,0,4.548453452,4.584591594,30.65355032,38.26397299,48.71951515,55.52620862,64.928201,69.6819054,EP_CrpLnd_EU
REF,MFM,noAF,PA0501,0,0,6.905547816,15.12111383,18.19519512,23.56721917,28.17004819,35.09960697,46.02096542,52.4280013,56.25163575,EP_CrpLnd_EU
REF,MFM,noAF,PA0503,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0504,0,0,8.58323619,10.82874487,11.46528475,16.69068682,17.44369969,17.44369969,17.44369969,17.44369969,17.4605765,EP_CrpLnd_EU
REF,MFM,noAF,PA0608,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0814,0,0,0,0,0,0,0.251221095,0.593866392,0.88424961,1.129484729,1.129484729,EP_CrpLnd_EU
