Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,MFM,noAFM,Clear_cut_EU_ex,63.53020839,84.91882096,103.5638055,110.3332942,116.7040812,117.1031364,117.4089142,117.681256,117.8941355,118.1579408,118.4246558
REF,MFM,AFMfree,Clear_cut_EU_ex,63.53020839,84.91882096,103.5658318,99.70828638,94.1786886,84.56352541,75.99427712,67.47087854,59.4652428,52.10311234,45.36113068
REF,MFM,AFM25,Clear_cut_EU_ex,63.53020839,84.91882096,103.5636741,98.68288651,92.12296389,82.13372859,71.62601271,62.39142858,53.12375872,45.19501751,38.49561173
REF,MFM,AFM50,Clear_cut_EU_ex,63.53020839,84.91882096,103.5654657,98.36958893,91.92006133,81.44877485,70.71830557,60.94622336,51.96712816,43.53707824,35.54837454
REF,MFM,AFM75,Clear_cut_EU_ex,63.53020839,84.91882096,103.5663901,98.12668301,91.90612466,81.34830824,71.73358757,62.26088643,53.01913928,44.26777616,35.904209
REF,MFM,AFM100,Clear_cut_EU_ex,63.53020839,84.91882096,103.5645632,98.51869261,92.76425694,82.70793062,73.60081354,63.96411548,54.65533027,45.81633183,37.32594604
REF,SFM,noAFM,Clear_cut_EU_ex,63.53020839,84.91695382,103.5287971,110.3524413,116.6605726,117.0845874,117.3985625,117.7579539,117.9742812,118.2229805,118.5027603
REF,SFM,AFMfree,Clear_cut_EU_ex,63.53020839,84.91695382,103.5287111,99.80134945,94.48089816,84.68186661,75.82559022,67.17082341,59.04378353,51.85767642,45.33100433
REF,SFM,AFM25,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,101.6317269,97.52230938,87.53528113,78.31934252,68.94595898,60.09785548,51.46122843,43.09978578
REF,SFM,AFM50,Clear_cut_EU_ex,63.53020839,84.91695382,103.5309293,103.8700211,101.7205512,94.39542342,86.78317017,79.33903434,71.67246212,63.61226295,54.93952121
REF,SFM,AFM75,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,106.7003795,107.8644517,103.697374,99.30586631,94.65610878,89.229732,82.78560454,75.43908465
REF,SFM,AFM100,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,110.0481418,114.9552514,115.3939753,115.509872,115.6017181,115.729665,115.7427725,115.7439402
RCP2.6,MFM,noAFM,Clear_cut_EU_ex,63.53020839,84.91882096,103.5669506,110.753942,117.6406417,118.9668173,120.2716358,121.2739042,122.3390169,123.1062187,123.7604543
RCP2.6,MFM,AFMfree,Clear_cut_EU_ex,63.53020839,84.91882096,103.5667539,99.71979935,95.14190653,85.54735754,75.81807854,66.06442592,58.21410249,50.63525943,43.32704954
RCP2.6,MFM,AFM25,Clear_cut_EU_ex,63.53020839,84.91882096,103.5645987,98.20223333,92.76420257,83.22120056,72.95280072,64.28903666,56.26907732,48.58328397,40.97050037
RCP2.6,MFM,AFM50,Clear_cut_EU_ex,63.53020839,84.91882096,103.5645953,98.12183697,92.3100828,82.69131086,74.1523989,65.89653459,58.22400861,50.17854818,41.85203875
RCP2.6,MFM,AFM75,Clear_cut_EU_ex,63.53020839,84.91882096,103.5649287,98.15336227,92.98644897,84.20657887,76.14609643,68.26007322,59.85415163,51.56926024,43.10380388
RCP2.6,MFM,AFM100,Clear_cut_EU_ex,63.53020839,84.91882096,103.5645989,98.66928444,94.35780891,86.2567823,78.50559099,70.12289566,61.8755462,53.30132351,44.76304266
RCP2.6,SFM,noAFM,Clear_cut_EU_ex,63.53020839,84.91695382,103.5303098,110.6738937,117.7515799,118.9417711,120.096606,120.962297,121.9031582,122.5651514,123.1177494
RCP2.6,SFM,AFMfree,Clear_cut_EU_ex,63.53020839,84.91695382,103.5287942,100.0142779,95.22926978,85.46299964,75.63387703,65.90808355,57.97088819,50.3292638,43.13217397
RCP2.6,SFM,AFM25,Clear_cut_EU_ex,63.53020839,84.91695382,103.5291705,101.6793137,97.97962218,88.88306753,81.16532405,73.36974296,65.59142629,57.2051856,48.72097717
RCP2.6,SFM,AFM50,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,104.0134243,102.9291603,96.82076405,90.41782034,83.94798176,76.2999055,68.58164675,60.56218123
RCP2.6,SFM,AFM75,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,107.0975824,108.9951662,105.9611699,102.6947316,98.29810061,93.17701542,87.53553942,80.36359542
RCP2.6,SFM,AFM100,Clear_cut_EU_ex,63.53020839,84.91695382,103.5286996,110.4570769,116.1563212,117.0532711,117.3787848,117.4570192,117.4788278,117.4795601,117.4795695
REF,MFM,noAFM,Selection_ex,0.110782989,0.069445246,0.065906269,0.054196074,0.020163552,0.004511258,0.006392892,0.00289271,0.002880016,0.002871089,0.002866201
REF,MFM,AFMfree,Selection_ex,0.110782989,0.069445246,0.065989381,10.66786605,22.48172458,32.92186903,42.21445493,51.46194575,59.92537038,67.57648891,74.63353056
REF,MFM,AFM25,Selection_ex,0.110782989,0.069445246,0.065988532,11.66086498,24.43990718,35.04727741,46.0852823,55.91456364,65.4290393,73.6449053,80.66060809
REF,MFM,AFM50,Selection_ex,0.110782989,0.069445246,0.065995983,11.99937255,24.68995972,35.68886945,46.8278332,57.02210225,66.22971807,74.95630658,83.28639946
REF,MFM,AFM75,Selection_ex,0.110782989,0.069445246,0.065071583,12.13905399,24.38497515,35.2929527,45.37378557,55.31940488,64.92024088,74.00057604,82.73584388
REF,MFM,AFM100,Selection_ex,0.110782989,0.069445246,0.065906751,11.72768101,23.2346059,33.61543494,43.33444067,53.34394902,62.93221587,72.14081789,81.05829502
REF,SFM,noAFM,Selection_ex,0.110782989,0.069443719,0.064835758,0.049617763,0.019125528,0.003784002,0.006398139,0.002888838,0.002875161,0.002866531,0.002862141
REF,SFM,AFMfree,Selection_ex,0.110782989,0.069443719,0.064899728,10.58093344,22.14623033,32.75841933,42.32583698,51.7396618,60.35425501,67.82975292,74.6771779
REF,SFM,AFM25,Selection_ex,0.110782989,0.069443719,0.064911153,8.557237841,18.73111777,29.10659506,38.66200796,48.19287034,57.41466763,66.26132072,74.86110132
REF,SFM,AFM50,Selection_ex,0.110782989,0.069443719,0.064840027,6.293273663,14.10054048,21.58784775,29.3999899,37.09367184,44.9049448,53.13435837,61.96078372
REF,SFM,AFM75,Selection_ex,0.110782989,0.069443719,0.064911153,3.425849082,7.577371949,11.83282691,16.35684697,21.11988139,26.65229867,33.23292182,40.68270852
REF,SFM,AFM100,Selection_ex,0.110782989,0.069443719,0.064911153,0.115765393,0.033595626,0.004651234,0.003502797,0.000916941,0.000282884,0,0
RCP2.6,MFM,noAFM,Selection_ex,0.110782989,0.069445246,0.065069826,0.050064225,0.019161032,0.004336513,0.006282916,0.002755149,0.003162889,0.002729954,0.002700186
RCP2.6,MFM,AFMfree,Selection_ex,0.110782989,0.069445246,0.065067182,11.10616414,22.40587303,33.4163233,44.30369462,55.16066897,64.07109743,72.99747804,81.49711634
RCP2.6,MFM,AFM25,Selection_ex,0.110782989,0.069445246,0.065063892,12.51377529,24.7209907,35.73627834,47.36152893,57.05679287,66.07531362,75.04308047,83.77673001
RCP2.6,MFM,AFM50,Selection_ex,0.110782989,0.069445246,0.065067341,12.47580114,25.09169081,35.98481219,46.06311606,55.59477458,64.67773373,73.83249626,83.20369223
RCP2.6,MFM,AFM75,Selection_ex,0.110782989,0.069445246,0.064982414,12.42182826,24.46030205,34.53982979,44.35392016,53.74140766,63.35705324,72.74459253,82.16051852
RCP2.6,MFM,AFM100,Selection_ex,0.110782989,0.069445246,0.065063719,12.11862742,23.14133463,32.75778079,42.32893374,52.05521828,61.71805533,71.50163932,81.60939365
RCP2.6,SFM,noAFM,Selection_ex,0.110782989,0.069443719,0.06490073,0.046855245,0.019191937,0.004428928,0.00627858,0.002745039,0.003137659,0.002704203,0.002671705
RCP2.6,SFM,AFMfree,Selection_ex,0.110782989,0.069443719,0.06483869,10.77819192,22.09821867,33.28048797,44.2955185,55.13535311,64.0814715,72.99652307,81.36762701
RCP2.6,SFM,AFM25,Selection_ex,0.110782989,0.069443719,0.064838925,8.838789884,19.26655067,29.50279455,38.43831483,47.07011653,55.43730363,64.13380153,72.7629929
RCP2.6,SFM,AFM50,Selection_ex,0.110782989,0.069443719,0.064911153,6.502693948,14.06031814,21.24326609,28.74136439,35.7391016,43.50707793,51.32540411,59.41250984
RCP2.6,SFM,AFM75,Selection_ex,0.110782989,0.069443719,0.064911153,3.408036587,7.603731091,11.68616691,15.87443712,20.39500293,25.54262663,31.19523111,38.39744788
RCP2.6,SFM,AFM100,Selection_ex,0.110782989,0.069443719,0.064911153,0.101611268,0.036803617,0.002425394,0.001273822,0.000848485,0.000269796,0,0
