Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,Lake,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0401,0,0,0,0,8.589151069,8.589151069,8.589151069,8.589151069,8.589151069,8.589151069,8.589151069,EP_CrpLnd_EU
REF,MFM,noAF,PA0402,0,0,0,46.56789781,97.32630258,139.3666068,139.3666068,139.3666068,139.3666068,139.3666068,139.3666068,EP_CrpLnd_EU
REF,MFM,noAF,PA0404,0,0,0.530753469,0.53668594,0.605943396,0.709058736,0.709058736,9.489978592,9.675350902,24.01332801,37.77770733,EP_CrpLnd_EU
REF,MFM,noAF,PA0405,0,0,0,11.01308496,33.95781505,33.95781505,33.95781505,33.95781505,33.95781505,33.95781505,33.95781505,EP_CrpLnd_EU
REF,MFM,noAF,PA0406,0,0,51.22098253,104.1955081,132.4276097,142.6152923,145.8201405,148.7347155,151.7241424,154.5108506,156.8931569,EP_CrpLnd_EU
REF,MFM,noAF,PA0409,0,0,12.00803817,25.21688016,35.6727581,46.6158434,46.6158434,46.6158434,46.6158434,46.6158434,46.6158434,EP_CrpLnd_EU
REF,MFM,noAF,PA0412,0,0,0,0,0.013231713,1.402376709,2.050915532,2.932769319,2.932769319,2.932769319,2.932769319,EP_CrpLnd_EU
REF,MFM,noAF,PA0418,0,0,5.048728933,9.845021419,15.92280649,18.57467661,20.28955262,21.57769593,22.61466831,23.61600703,24.41876846,EP_CrpLnd_EU
REF,MFM,noAF,PA0419,0,0,0,0,0,0,0,0,0,1.326000101,3.026816075,EP_CrpLnd_EU
REF,MFM,noAF,PA0421,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0422,0,0,0,0,0,0,0,0,0.000138241,0.000138241,0.000138241,EP_CrpLnd_EU
REF,MFM,noAF,PA0429,0,0,1.273501831,2.674353845,3.80883314,4.969392338,4.969392338,4.969392338,4.969392338,4.969392338,4.969392338,EP_CrpLnd_EU
REF,MFM,noAF,PA0431,0,0,84.99650838,137.1471439,216.9900281,260.5536919,291.5534194,320.8731346,339.7783237,356.0465997,368.9931643,EP_CrpLnd_EU
REF,MFM,noAF,PA0432,0,0,0.003547862,0.006918332,2.030698711,2.032562244,2.033767328,2.034672537,2.035401242,2.036104907,2.036669027,EP_CrpLnd_EU
REF,MFM,noAF,PA0433,0,0,0,0.003376692,0.007650317,0.007650317,0.007650317,0.007650317,0.007650317,0.007650317,0.007650317,EP_CrpLnd_EU
REF,MFM,noAF,PA0435,0,0,0.043405008,0.045117874,0.060037182,0.060037182,0.060037182,5.365391722,5.476629446,7.573299724,9.600730028,EP_CrpLnd_EU
REF,MFM,noAF,PA0436,0,0,48.243883,80.08666834,109.485152,138.5896509,167.4031048,198.9367636,198.9367636,198.9367636,198.9367636,EP_CrpLnd_EU
REF,MFM,noAF,PA0445,0,0,0,5.143469723,5.179607865,8.97360786,10.74488177,13.15338,13.15338,13.15338,13.15338,EP_CrpLnd_EU
REF,MFM,noAF,PA0501,0,0,6.905547816,14.89280953,18.13211764,22.50318214,24.92738102,27.34687011,28.16651792,28.95800003,29.59252189,EP_CrpLnd_EU
REF,MFM,noAF,PA0503,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0504,0,0,8.58323619,10.82874487,11.46528475,16.65696916,17.40998203,17.40998203,17.40998203,17.40998203,17.40998203,EP_CrpLnd_EU
REF,MFM,noAF,PA0608,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA0814,0,0,0,0,0,0,0,0,0,0.263928865,0.602461591,EP_CrpLnd_EU
REF,MFM,noAF,PA1110,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA1201,0,0,36.67838339,52.98129695,79.35685829,83.1220334,83.77638779,84.42944935,84.87578436,86.62174786,88.4933183,EP_CrpLnd_EU
REF,MFM,noAF,PA1204,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA1205,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA1206,0,0,1.9713,1.9713,1.9713,1.9713,1.9713,1.9713,1.9713,1.9713,1.9713,EP_CrpLnd_EU
REF,MFM,noAF,PA1208,0,0,0.060651504,0.076128919,0.076128919,0.076128919,0.076128919,0.076128919,0.076128919,0.076128919,0.076128919,EP_CrpLnd_EU
REF,MFM,noAF,PA1209,0,0,4.164340264,9.284253467,13.2250393,18.381686,20.40953157,22.30945759,24.22281296,26.03938638,27.5923421,EP_CrpLnd_EU
REF,MFM,noAF,PA1210,0,0,2.688432676,7.429585219,14.05546163,16.41640637,19.4807309,21.77374236,23.82055402,24.50113487,24.75985086,EP_CrpLnd_EU
REF,MFM,noAF,PA1211,0,0,0,0,71.97750963,71.97750963,71.97750963,71.97750963,71.97750963,71.97750963,71.97750963,EP_CrpLnd_EU
REF,MFM,noAF,PA1214,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA1215,0,0,0,0,0.022135851,0.022135851,0.022135851,0.022135851,0.022135851,0.022135851,0.022135851,EP_CrpLnd_EU
REF,MFM,noAF,PA1216,0,0,12.47252001,26.89936223,37.34674562,43.88666148,48.18992075,52.41206955,56.54685868,60.5837755,64.03486259,EP_CrpLnd_EU
REF,MFM,noAF,PA1217,0,0,11.73147461,15.28150639,21.44161467,24.04037828,25.33246964,26.29851732,27.17955299,27.54974029,27.7592678,EP_CrpLnd_EU
REF,MFM,noAF,PA1218,0,0,0,0,1.553133182,1.553133182,1.553133182,1.553133182,1.553133182,1.553133182,1.553133182,EP_CrpLnd_EU
REF,MFM,noAF,PA1219,0,0,0,0,0,0,0,0,0,0,0,EP_CrpLnd_EU
REF,MFM,noAF,PA1221,0,0,1.689213691,5.989136108,13.43550521,15.89564672,22.10239699,28.49359655,34.57531743,40.7520255,47.88624466,EP_CrpLnd_EU
REF,MFM,noAF,PA1222,0,0,0,0,7.786957548,7.786957548,7.786957548,7.786957548,7.786957548,7.786957548,7.786957548,EP_CrpLnd_EU
REF,MFM,noAF,Lake,0,0,0,0,0.001220156,0.016928422,0.016928422,0.016928422,0.016928422,0.016928422,0.016928422,EP_GrsLnd_EU
REF,MFM,noAF,PA0401,0,0,4.849387618,9.858006322,12.83626102,13.87600283,14.36478629,14.36478629,14.4842739,15.03276668,15.0842717,EP_GrsLnd_EU
REF,MFM,noAF,PA0402,0,0,0,21.83398026,52.60471837,78.0885678,80.82121073,80.82121073,80.82121073,80.82121073,80.82121073,EP_GrsLnd_EU
REF,MFM,noAF,PA0404,0,0,0.453368542,1.251284436,1.948637473,3.423588859,4.027350149,4.760178133,4.763377173,4.949977274,4.949977274,EP_GrsLnd_EU
REF,MFM,noAF,PA0405,0,0,0,5.588827744,16.03203866,20.78769173,20.78769173,20.78769173,20.78769173,20.78769173,20.78769173,EP_GrsLnd_EU
REF,MFM,noAF,PA0406,0,0,3.834423365,7.097992484,7.62874294,7.886467444,7.887945096,7.887945096,7.887945096,7.887945096,7.887945096,EP_GrsLnd_EU
REF,MFM,noAF,PA0409,0,0,0,8.2520379,8.2520379,16.67324463,16.67324463,16.67324463,16.67324463,16.67324463,16.67324463,EP_GrsLnd_EU
REF,MFM,noAF,PA0412,0,0,2.883461416,5.916960731,26.3054388,55.41485567,59.78168447,63.59967779,65.4153294,65.4153294,66.62519614,EP_GrsLnd_EU
REF,MFM,noAF,PA0418,0,0,2.053018267,3.899554186,5.608280273,6.467692334,6.467692334,6.467692334,6.467692334,6.46954966,6.470069989,EP_GrsLnd_EU
REF,MFM,noAF,PA0419,0,0,0.175514506,0.419945241,0.638119513,0.751787529,1.084580675,1.144656587,1.145253629,1.145604211,1.145604211,EP_GrsLnd_EU
