Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,Lake,0.00331303,0.004428423,0.005400739,0.00575376,0.006085989,0.0061068,0.006122746,0.006136948,0.006148049,0.006161807,0.006175715,Clear_cut
REF,MFM,noAF,PA0401,0.054264382,0.072533483,0.088459113,0.094241277,0.099682891,0.100023744,0.100284924,0.100517545,0.100699376,0.100924706,0.101152521,Clear_cut
REF,MFM,noAF,PA0402,0.58475469,0.781623106,0.953238192,1.015546979,1.074185974,1.077859021,1.080673509,1.08318024,1.085139658,1.087567817,1.090022757,Clear_cut
REF,MFM,noAF,PA0404,0.382493528,0.511267007,0.623522044,0.664278806,0.702635123,0.705037697,0.70687868,0.708518357,0.709800031,0.711388312,0.712994111,Clear_cut
REF,MFM,noAF,PA0405,0.284031829,0.379656366,0.463014649,0.493279782,0.521762394,0.523546497,0.524913573,0.526131163,0.527082908,0.528262333,0.529454766,Clear_cut
REF,MFM,noAF,PA0406,0.559130238,0.747371712,0.911466477,0.97104484,1.027114224,1.030626314,1.033317469,1.035714353,1.037587908,1.039909663,1.042257025,Clear_cut
REF,MFM,noAF,PA0409,0.228512715,0.305445721,0.372510133,0.396859403,0.419774578,0.421209945,0.422309802,0.423289392,0.424055101,0.425003986,0.425963337,Clear_cut
REF,MFM,noAF,PA0412,1.030964636,1.378057834,1.680627591,1.790482471,1.893867242,1.900343088,1.905305233,1.909724781,1.913179377,1.917460395,1.921788631,Clear_cut
REF,MFM,noAF,PA0418,0.070416848,0.094123975,0.114790065,0.122293363,0.129354739,0.129797052,0.130135976,0.13043784,0.130673795,0.130966197,0.131261823,Clear_cut
REF,MFM,noAF,PA0419,0.045877117,0.061322492,0.074786608,0.079675064,0.084275605,0.084563776,0.084784587,0.084981254,0.08513498,0.085325482,0.085518085,Clear_cut
