Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,Lake,29.0154783,29.0154783,29.0154783,29.0154783,29.0154783,29.0154783,29.1021098,29.36567473,29.70959235,29.70959235,29.70959235,Clear_cut_EU
REF,MFM,noAF,PA0401,143.3668438,143.3668438,195.6566271,197.1036121,199.6035051,206.4142436,238.375091,245.2113064,257.3418063,317.7153366,326.6698698,Clear_cut_EU
REF,MFM,noAF,PA0402,4723.900194,4743.302669,4841.99936,4892.5578,4955.339634,4969.27228,4969.804057,4970.920633,4983.831729,4984.559857,4984.851858,Clear_cut_EU
REF,MFM,noAF,PA0404,1367.570582,1603.291366,1779.122918,1951.094174,2012.862601,2343.648899,2438.169376,2457.468234,2482.820675,2489.991392,2523.121331,Clear_cut_EU
REF,MFM,noAF,PA0405,943.128684,1036.947041,1870.675732,1940.457112,2360.449769,2384.75599,2386.127446,2388.265424,2390.290505,2392.277416,2392.277416,Clear_cut_EU
REF,MFM,noAF,PA0406,3398.936536,3398.936536,3665.409729,3665.409729,3665.409729,3665.409729,3860.433968,3983.581561,4010.664073,4107.34683,4210.296393,Clear_cut_EU
REF,MFM,noAF,PA0409,1390.456393,1390.456393,1393.275831,1491.185845,1575.469675,1634.231456,1776.251871,1822.951998,1863.86438,1907.133718,1956.403877,Clear_cut_EU
REF,MFM,noAF,PA0412,5442.23143,6742.191823,7408.75998,8329.552595,8757.177406,9112.859472,9155.915494,9177.692635,9220.945927,9284.629158,9308.261454,Clear_cut_EU
REF,MFM,noAF,PA0418,221.3895158,272.8107207,405.7790944,414.5495584,443.6759711,443.8893407,443.9744912,444.0768624,444.0768624,444.7037777,445.8434677,Clear_cut_EU
REF,MFM,noAF,PA0419,122.5049838,122.5049838,174.7194216,180.9660128,210.3233793,225.2417796,225.2417796,225.2417796,225.2417796,225.2417796,225.2417796,Clear_cut_EU
REF,MFM,noAF,PA0421,169.861601,169.861601,170.5412796,175.0516989,175.9495464,179.2377045,179.2377045,179.2377045,179.2377045,179.2377045,179.2377045,Clear_cut_EU
REF,MFM,noAF,PA0422,0.646169834,3.073566872,3.073566872,3.399583201,3.437049688,3.522991527,3.612025098,3.875292523,4.221140558,4.318960668,4.770906267,Clear_cut_EU
REF,MFM,noAF,PA0429,173.6513079,173.6513079,173.6513079,235.0631658,385.5596666,425.1059136,425.1059136,427.7569434,427.8658563,427.8658563,427.8658563,Clear_cut_EU
REF,MFM,noAF,PA0431,3142.594486,3991.827332,4855.478239,5265.673746,5516.992127,5574.725926,5636.664997,5668.374103,5701.967648,5732.944646,5763.300364,Clear_cut_EU
REF,MFM,noAF,PA0432,105.1433265,105.1637872,204.6462659,204.6522717,204.6725129,204.6725129,239.0622256,243.9293466,260.0465975,260.0470381,260.047839,Clear_cut_EU
REF,MFM,noAF,PA0433,454.5985645,454.5985645,474.7570739,480.1942893,480.1942893,480.1942893,480.1942893,490.3088036,497.6832682,507.2495569,507.2495569,Clear_cut_EU
REF,MFM,noAF,PA0435,166.7728449,235.5055834,345.5017551,368.0442066,378.8280266,615.9234753,662.4549442,663.8413595,665.6626596,666.1777985,668.5578282,Clear_cut_EU
REF,MFM,noAF,PA0436,11739.35848,12190.33558,12383.89962,12574.87298,12672.24604,12742.91156,12904.32536,13137.00809,13276.52927,13404.24408,13496.75958,Clear_cut_EU
REF,MFM,noAF,PA0445,11614.08738,13146.93668,13399.55635,13583.01435,13681.94309,13763.88251,13821.01512,13906.59588,13970.34052,13974.10218,13992.61801,Clear_cut_EU
REF,MFM,noAF,PA0501,2211.253095,2246.310286,2321.278976,2456.165426,2642.845913,2809.881128,2811.59022,2811.59022,2843.155611,2845.275051,2847.210435,Clear_cut_EU
REF,MFM,noAF,PA0503,128.158219,128.158219,128.158219,174.0306819,294.6062055,328.2391489,328.2391489,332.6536901,357.9719295,371.0775027,382.6111954,Clear_cut_EU
REF,MFM,noAF,PA0504,1216.329127,1796.522645,1944.746881,2381.355134,2580.682533,2703.940175,2725.662422,2734.343165,2744.910845,2772.293062,2784.357029,Clear_cut_EU
REF,MFM,noAF,PA0608,27480.50267,29526.79165,30222.48288,30295.13242,31037.49651,32003.11967,33635.37388,34229.20321,34229.20321,34229.20321,34229.20321,Clear_cut_EU
REF,MFM,noAF,PA0814,185.2076422,185.2076422,237.325856,237.325856,237.325856,237.325856,237.325856,237.325856,237.325856,237.325856,237.325856,Clear_cut_EU
REF,MFM,noAF,PA1110,1097.41122,1880.035064,2146.109189,2173.894738,2456.393715,2730.018902,2777.759499,2795.127975,2795.127975,2795.127975,2795.127975,Clear_cut_EU
REF,MFM,noAF,PA1201,1325.430283,1326.554191,1327.425578,1327.425578,1327.425578,1340.67027,1341.195526,1341.195526,1341.195526,1341.195526,1341.195526,Clear_cut_EU
REF,MFM,noAF,PA1204,13.61995691,13.61995691,13.61995691,13.61995691,13.61995691,13.61995691,28.85866193,63.74222211,63.74222211,63.74222211,63.74222211,Clear_cut_EU
REF,MFM,noAF,PA1205,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,2.052101805,Clear_cut_EU
REF,MFM,noAF,PA1206,26.88182056,26.88182056,26.88182056,26.88182056,101.1050403,172.7,172.7,172.7,172.7,172.7,172.7,Clear_cut_EU
REF,MFM,noAF,PA1208,472.8280654,472.8280654,483.7788111,489.3231453,489.3231453,490.2032025,492.2650871,507.2929242,531.6383908,545.4018273,555.0490665,Clear_cut_EU
REF,MFM,noAF,PA1209,4414.179463,4414.179463,4661.046431,4740.483616,4740.483616,4746.955453,4761.074314,4900.570931,5151.571911,5385.092214,5499.319386,Clear_cut_EU
