Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,SFM,AF100,AA0101,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0102,0.003530138,0.003560809,0.003568158,0.003717415,0.003799906,0.003740368,0.004615109,0.006243462,0.007603308,0.008108643,0.009483457,Plantation
REF,SFM,AF100,AA0103,0.000369945,0.000373159,0.00037393,0.000389571,0.000398216,0.000391977,0.000483646,0.000654291,0.000796798,0.000849755,0.000993831,Plantation
REF,SFM,AF100,AA0104,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0105,0.034000115,0.035605872,0.036330263,0.037774552,0.038687334,0.038304743,0.050796769,0.0713137,0.087859543,0.094269207,0.108313931,Plantation
REF,SFM,AF100,AA0106,0.00423528,0.004272077,0.004280894,0.004459965,0.004558935,0.004487504,0.005536973,0.007490589,0.009122063,0.009728338,0.011377769,Plantation
REF,SFM,AF100,AA0107,1.38525E-06,0.000105232,0.000157029,0.000157621,0.000167026,0.000182125,0.000504751,0.000888417,0.001162228,0.001284664,0.001348864,Plantation
REF,SFM,AF100,AA0108,0.000778421,0.000785184,0.000786804,0.000819716,0.000837906,0.000824778,0.001017664,0.001376728,0.001676584,0.001788014,0.00209117,Plantation
REF,SFM,AF100,AA0110,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0111,7.63715E-06,0.000580167,0.000865729,0.000868996,0.000920845,0.00100409,0.00278279,0.004898014,0.00640759,0.007082602,0.00743655,Plantation
REF,SFM,AF100,AA0112,8.53915E-07,6.48689E-05,9.67978E-05,9.7163E-05,0.00010296,0.000112268,0.000311146,0.000547651,0.000716437,0.000791911,0.000831486,Plantation
REF,SFM,AF100,AA0113,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0115,0.048962309,0.050952765,0.051835351,0.053913562,0.055198968,0.054601125,0.071591206,0.09994932,0.122929091,0.131780418,0.151808329,Plantation
REF,SFM,AF100,AA0116,0.012042474,0.012279805,0.012371068,0.012880915,0.0131743,0.012990523,0.016386435,0.022430803,0.027418942,0.02929903,0.034070334,Plantation
REF,SFM,AF100,AA0117,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0118,0.009092733,0.009171734,0.009190663,0.009575111,0.009787589,0.009634234,0.011887342,0.016081565,0.01958418,0.020885795,0.024426963,Plantation
REF,SFM,AF100,AA0119,2.72357E-05,0.002068995,0.00308737,0.003099019,0.003283923,0.003580795,0.009924006,0.017467337,0.022850795,0.025258031,0.026520283,Plantation
REF,SFM,AF100,AA0120,2.60238E-06,0.000197693,0.000295,0.000296113,0.00031378,0.000342147,0.000948243,0.001669012,0.002183404,0.002413417,0.002534026,Plantation
REF,SFM,AF100,AA0121,0.028366012,0.030241929,0.031113765,0.03232148,0.033131408,0.032890315,0.044976708,0.06407192,0.079287297,0.085266111,0.097312277,Plantation
REF,SFM,AF100,AA0122,0.036424595,0.038587825,0.039584825,0.04113438,0.042152234,0.041806875,0.056564565,0.080178538,0.099070055,0.106458254,0.121776061,Plantation
REF,SFM,AF100,AA0123,0.016325828,0.016467672,0.01650166,0.017191928,0.017573428,0.017298082,0.021343494,0.028874141,0.03516302,0.037500045,0.043858143,Plantation
REF,SFM,AF100,AA0124,0.002462251,0.002483644,0.00248877,0.002592876,0.002650414,0.002608886,0.003219013,0.00435478,0.005303265,0.005655734,0.006614658,Plantation
REF,SFM,AF100,AA0125,5.64568E-07,4.28882E-05,6.39981E-05,6.42396E-05,6.80724E-05,7.42263E-05,0.000205715,0.00036208,0.000473674,0.000523574,0.000549739,Plantation
REF,SFM,AF100,AA0126,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0127,0.002513435,0.002535272,0.002540505,0.002646775,0.002705509,0.002663118,0.003285927,0.004445304,0.005413506,0.005773301,0.006752159,Plantation
REF,SFM,AF100,AA0128,0.018854479,0.019018293,0.019057545,0.019854726,0.020295315,0.019977322,0.024649314,0.033346357,0.040609299,0.043308297,0.050651179,Plantation
REF,SFM,AF100,AA0201,7.00078E-05,7.06161E-05,7.07618E-05,7.37218E-05,7.53578E-05,7.4177E-05,9.15244E-05,0.000123817,0.000150785,0.000160806,0.000188071,Plantation
REF,SFM,AF100,AA0202,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0203,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0204,0.000139374,0.000140584,0.000140875,0.000146767,0.000150024,0.000147674,0.000182209,0.000246498,0.000300187,0.000320138,0.000374417,Plantation
REF,SFM,AF100,AA0401,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0402,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0403,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0404,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0405,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0406,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0407,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0408,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0409,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0410,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0411,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0412,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0413,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0414,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0701,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0702,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0703,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0704,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0705,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0706,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0707,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0708,0.003315787,0.003901777,0.004186604,0.004329663,0.004457437,0.004482663,0.007033665,0.010618475,0.013362165,0.014492745,0.016125684,Plantation
REF,SFM,AF100,AA0709,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0801,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0802,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0803,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1001,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1002,0.002978802,0.003032183,0.003052101,0.003178188,0.003250279,0.003204045,0.004027523,0.005503002,0.006722844,0.00718163,0.008358585,Plantation
REF,SFM,AF100,AA1003,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1201,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1202,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1203,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1204,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1205,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1206,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1207,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1208,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1209,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1210,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1301,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1302,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1303,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1304,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1305,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1306,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1307,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1308,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1309,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1310,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1401,0.004662713,0.00474245,0.004771723,0.004969067,0.005081566,0.005008639,0.006285771,0.008581246,0.010480607,0.011194247,0.013034191,Plantation
REF,SFM,AF100,AT0101,0.000600792,0.000879107,0.006543581,0.006525551,0.010405039,0.013245271,0.013961475,0.024920951,0.026595265,0.033631456,0.041126929,Plantation
REF,SFM,AF100,AT0102,0.000227468,0.000293731,0.000321445,0.000354812,0.00037353,0.000384808,0.000418606,0.000467372,0.000617702,0.000669647,0.00073273,Plantation
REF,SFM,AF100,AT0103,0.001682579,0.001859559,0.001861253,0.00187202,0.001959964,0.00246781,0.002498365,0.003032064,0.003505228,0.003625846,0.003917474,Plantation
REF,SFM,AF100,AT0104,0.033340868,0.043053231,0.047115297,0.05200613,0.054749711,0.056402681,0.061356617,0.068504443,0.090538896,0.098152522,0.107398841,Plantation
REF,SFM,AF100,AT0105,0,0,0,0,0,0,0,0,0,0,0,Plantation
