Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,SFM,AF100,AA0101,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0102,0.003608993,0.003639752,0.003647265,0.003796571,0.003879063,0.003819575,0.004694315,0.006323721,0.007718855,0.008227612,0.009608581,Plantation
REF,SFM,AF100,AA0103,0.000378209,0.000381432,0.00038222,0.000397866,0.000406511,0.000400277,0.000491947,0.000662702,0.000808907,0.000862223,0.001006943,Plantation
REF,SFM,AF100,AA0104,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0105,0.034760269,0.036440554,0.037190773,0.038628054,0.039541506,0.039167733,0.051837814,0.072576611,0.089613269,0.096112806,0.110251687,Plantation
REF,SFM,AF100,AA0106,0.004329886,0.004366789,0.004375804,0.004554933,0.004653902,0.004582532,0.005632001,0.007586879,0.00926069,0.009871071,0.011527888,Plantation
REF,SFM,AF100,AA0107,1.46919E-06,0.000111155,0.000164873,0.000164873,0.00017433,0.00019009,0.000526825,0.00092727,0.001213056,0.001340003,0.001406969,Plantation
REF,SFM,AF100,AA0108,0.000795809,0.000802591,0.000804248,0.000837171,0.000855361,0.000842244,0.00103513,0.001394426,0.001702063,0.001814247,0.002118761,Plantation
REF,SFM,AF100,AA0110,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0111,8.09993E-06,0.000612818,0.000908975,0.000908975,0.000961116,0.001048002,0.002904489,0.005112219,0.006687812,0.007387696,0.007756891,Plantation
REF,SFM,AF100,AA0112,9.05659E-07,6.85197E-05,0.000101633,0.000101633,0.000107463,0.000117178,0.000324753,0.000571601,0.000747769,0.000826024,0.000867304,Plantation
REF,SFM,AF100,AA0113,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0115,0.050056816,0.052136492,0.053050315,0.055120272,0.056406478,0.055819287,0.073022032,0.101647627,0.125297118,0.134263885,0.154418821,Plantation
REF,SFM,AF100,AA0116,0.012311543,0.012556637,0.012650915,0.013160171,0.013453624,0.013270863,0.016684806,0.022754206,0.027878011,0.029775537,0.034571371,Plantation
REF,SFM,AF100,AA0117,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0118,0.009295844,0.009375072,0.009394424,0.009778997,0.009991475,0.00983825,0.012091358,0.01628829,0.019881799,0.021192229,0.024749252,Plantation
REF,SFM,AF100,AA0119,2.8886E-05,0.002185438,0.003241592,0.003241592,0.003427539,0.003737394,0.010358013,0.018231235,0.023850128,0.02634606,0.027662686,Plantation
REF,SFM,AF100,AA0120,2.76007E-06,0.00020882,0.000309736,0.000309736,0.000327503,0.00035711,0.000989713,0.001742003,0.002278891,0.002517379,0.002643183,Plantation
REF,SFM,AF100,AA0121,0.029000477,0.030968723,0.03187203,0.033070839,0.0338816,0.033651274,0.045959083,0.065326047,0.081012677,0.087089761,0.099228751,Plantation
REF,SFM,AF100,AA0122,0.037239181,0.039507159,0.040540026,0.042079547,0.043098344,0.04276525,0.057773882,0.081697121,0.101165478,0.108669197,0.124099662,Plantation
REF,SFM,AF100,AA0123,0.01669051,0.016832761,0.016867508,0.017558002,0.017939502,0.017664389,0.021709801,0.029245312,0.035697389,0.03805024,0.044436807,Plantation
REF,SFM,AF100,AA0124,0.002517253,0.002538707,0.002543947,0.002648087,0.002705625,0.002664132,0.003274259,0.00441076,0.005383858,0.005738714,0.006701932,Plantation
REF,SFM,AF100,AA0125,5.98778E-07,4.53019E-05,6.7195E-05,6.7195E-05,7.10495E-05,7.74724E-05,0.000214711,0.000377915,0.000494389,0.000546128,0.00057342,Plantation
REF,SFM,AF100,AA0126,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0127,0.002569579,0.00259148,0.002596829,0.002703134,0.002761867,0.002719512,0.003342322,0.004502448,0.005495774,0.005858006,0.006841247,Plantation
REF,SFM,AF100,AA0128,0.019275646,0.019439929,0.019480058,0.0202775,0.020718089,0.020400365,0.025072357,0.033775017,0.041226434,0.04394371,0.05131947,Plantation
REF,SFM,AF100,AA0201,7.15717E-05,7.21817E-05,7.23307E-05,7.52916E-05,7.69275E-05,7.57478E-05,9.30952E-05,0.000125409,0.000153076,0.000163166,0.000190552,Plantation
REF,SFM,AF100,AA0202,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0203,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0204,0.000142487,0.000143701,0.000143998,0.000149893,0.000153149,0.000150801,0.000185336,0.000249667,0.000304748,0.000324835,0.000379357,Plantation
REF,SFM,AF100,AA0401,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0402,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0403,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0404,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0405,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0406,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0407,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0408,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0409,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0410,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0411,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0412,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0413,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0414,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0701,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0702,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0703,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0704,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0705,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0706,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0707,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0708,0.003390138,0.004007541,0.004302832,0.004442758,0.004570816,0.004599633,0.007226346,0.010902177,0.013743195,0.01490119,0.016554737,Plantation
REF,SFM,AF100,AA0709,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0801,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0802,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA0803,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1001,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1002,0.003045356,0.003100357,0.003120923,0.003246894,0.003318999,0.003272982,0.004100197,0.005581008,0.006833794,0.007296662,0.008479543,Plantation
REF,SFM,AF100,AA1003,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1201,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1202,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1203,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1204,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1205,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1206,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1207,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1208,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1209,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1210,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1301,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1302,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1303,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1304,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1305,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1306,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1307,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1308,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1309,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1310,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AA1401,0.004766888,0.004848946,0.004879162,0.005076347,0.005188865,0.005116255,0.006398717,0.008701919,0.010652409,0.011372273,0.013221391,Plantation
REF,SFM,AF100,AT0101,0.000620313,0.000899325,0.006607316,0.006610444,0.010573119,0.013485937,0.014240722,0.025419359,0.027128028,0.034306405,0.041955369,Plantation
REF,SFM,AF100,AT0102,0.000623218,0.000644266,0.000644266,0.000644266,0.000644266,0.000646238,0.000702998,0.000784895,0.001037356,0.00112459,0.001230531,Plantation
REF,SFM,AF100,AT0103,0.001698378,0.00187738,0.001878147,0.001887036,0.001965395,0.002475339,0.002505997,0.003041323,0.003515936,0.003636924,0.003929444,Plantation
REF,SFM,AF100,AT0104,0.091347326,0.094432432,0.094432432,0.094432432,0.094432432,0.094721461,0.103040994,0.115044902,0.152049093,0.164835253,0.180363325,Plantation
REF,SFM,AF100,AT0105,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AT0106,0.011380359,0.012579825,0.012584964,0.012644528,0.013169606,0.016586693,0.016792096,0.020379229,0.023559441,0.024370126,0.026330222,Plantation
REF,SFM,AF100,AT0107,0.008118176,0.00897331,0.008976973,0.009019427,0.009393666,0.011829155,0.011976193,0.01453378,0.016803267,0.017382053,0.018780271,Plantation
REF,SFM,AF100,AT0108,0.000118791,0.000453951,0.009020282,0.009020904,0.014926565,0.019064339,0.020163052,0.0366861,0.039019206,0.04973188,0.061052795,Plantation
REF,SFM,AF100,AT0109,0,0.000347917,0.009585299,0.009585299,0.015947715,0.020371191,0.021553668,0.039330798,0.04181089,0.053353697,0.06553946,Plantation
REF,SFM,AF100,AT0110,0.02394652,0.024755274,0.024755274,0.024755274,0.024755274,0.024831042,0.027011992,0.030158792,0.039859367,0.043211234,0.047281887,Plantation
REF,SFM,AF100,AT0111,0.055080044,0.060885362,0.060910236,0.061198522,0.063739855,0.08027829,0.081272426,0.098633865,0.114025842,0.117949494,0.127436204,Plantation
REF,SFM,AF100,AT0112,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AT0114,0.005905124,0.006527511,0.006530178,0.006561085,0.006833541,0.008606624,0.008713205,0.010574522,0.012224694,0.012645348,0.013662417,Plantation
REF,SFM,AF100,AT0115,0.001066212,0.001171028,0.001171243,0.001325853,0.002557726,0.002502859,0.002738949,0.002906195,0.003232731,0.00361676,0.004169231,Plantation
REF,SFM,AF100,AT0116,0.013069671,0.014354587,0.014357274,0.016252401,0.031353656,0.03068117,0.033579909,0.035631341,0.039634129,0.044341669,0.051119141,Plantation
REF,SFM,AF100,AT0117,0.0022411,0.00272595,0.002906381,0.002906381,0.008610787,0.008752035,0.025573648,0.030451603,0.031488738,0.032625639,0.051857259,Plantation
REF,SFM,AF100,AT0118,0.001567959,0.001907178,0.002033415,0.002033415,0.006024434,0.006123256,0.017892296,0.021305098,0.022030717,0.022826136,0.036281309,Plantation
REF,SFM,AF100,AT0119,0.010644215,0.011713046,0.011730451,0.013246405,0.025808576,0.025282583,0.029023732,0.031077182,0.034366797,0.038228593,0.045276209,Plantation
REF,SFM,AF100,AT0120,0,0,0,0,0,0,0,0,0,0,0,Plantation
REF,SFM,AF100,AT0121,0.00019199,0.000212225,0.000212312,0.000213317,0.000222175,0.000279823,0.000283288,0.000343804,0.000397455,0.000411132,0.000444199,Plantation
REF,SFM,AF100,AT0122,0.008845183,0.009777446,0.009781441,0.009827736,0.010235843,0.012891714,0.01305136,0.015839395,0.018311159,0.01894125,0.020464699,Plantation
REF,SFM,AF100,AT0123,0.036416637,0.040254872,0.040271318,0.040461921,0.042142144,0.05307667,0.053733951,0.065212613,0.07538915,0.077983305,0.084255524,Plantation
