Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Belgium,REF,MFM,noAF,0,0,0.006418844,0.051335535,0.555269263,1.017903314,1.075282757,1.014757906,0.96780694,0.895822233,0.86915485,Wood_EP_im
Cyprus,REF,MFM,noAF,0,0,0,0,0,0.026900237,0.042883142,0.05568541,0.059180487,0.055932736,0.054267696,Wood_EP_im
CzechRep,REF,MFM,noAF,0,0,0,0,0,0,0,0,0.008870528,0.010308244,0.010001382,Wood_EP_im
Denmark,REF,MFM,noAF,0,0,0.009904168,0.10112558,1.311135856,2.580580954,3.484629963,3.288489265,3.136336968,2.90305873,2.816638706,Wood_EP_im
France,REF,MFM,noAF,0,0,0,0.049029286,1.04606825,1.956756409,4.307060473,6.728429567,7.709417337,7.514135101,7.606798946,Wood_EP_im
Greece,REF,MFM,noAF,0,0,0.000717706,0.005739947,0.062085958,0.113814157,0.120229887,0.113462461,0.108212764,0.100163985,0.097182242,Wood_EP_im
Ireland,REF,MFM,noAF,0,0,0.000369792,0.002957459,0.031989271,0.058641792,0.061947443,0.058460584,0.055755721,0.051608655,0.050072337,Wood_EP_im
Italy,REF,MFM,noAF,0,0,0.016876115,0.134968906,1.722633571,3.157881299,3.736825983,3.530239411,3.408624493,3.155093726,3.061170971,Wood_EP_im
Malta,REF,MFM,noAF,0,0,0,1.87E-05,0.000722643,0.003249378,0.004079228,0.003849619,0.003784313,0.005800298,0.005732257,Wood_EP_im
Netherlands,REF,MFM,noAF,0,0,0.008726571,0.07243178,1.262579093,2.444215349,2.581996329,2.436662515,2.323922662,2.151071151,2.087036752,Wood_EP_im
Poland,REF,MFM,noAF,0,0,0.000745278,0.005960453,0.480346827,6.560666148,7.04333101,6.718649788,6.461702404,5.981086142,5.803037519,Wood_EP_im
Slovenia,REF,MFM,noAF,0,0,0.00032499,0.002599153,0.028113662,0.051537141,0.054442301,0.051377886,0.049000727,0.045356092,0.044005904,Wood_EP_im
Sweden,REF,MFM,noAF,0,0,0.005203335,0.041614342,0.450120274,0.825147274,0.871661016,0.996940807,1.573941697,2.745700842,3.462988085,Wood_EP_im
UK,REF,MFM,noAF,0,0,0.010245968,0.081943448,0.886338827,1.624810321,2.006647679,1.893698734,1.806080807,1.67174596,1.621980406,Wood_EP_im
EU28,REF,MFM,noAF,0,0,0.059532767,0.549724572,7.837403495,20.42210377,25.39101721,26.89070395,27.67263785,27.28688389,27.59006805,Wood_EP_im
Belgium,REF,MFM,AF0,0,0,0,0.072402746,0.535097939,1.002111343,1.131435582,1.078763321,1.068427197,1.119747282,1.145425568,Wood_EP_im
Cyprus,REF,MFM,AF0,0,0,0,0,0.004158012,0.027847102,0.041925912,0.06260083,0.062505043,0.067028313,0.069477685,Wood_EP_im
Denmark,REF,MFM,AF0,0,0,0,0.13437141,1.015651104,2.048350093,3.270064467,3.117831596,3.087958227,3.236283053,3.310498194,Wood_EP_im
France,REF,MFM,AF0,0,0,0,0.122393178,1.371406172,2.568318025,5.46255549,7.547721804,8.123680142,8.683941179,9.002429157,Wood_EP_im
Greece,REF,MFM,AF0,0,0,0,0.008100557,0.059867772,0.112118118,0.126587159,0.120694087,0.119537662,0.12527945,0.128152385,Wood_EP_im
Ireland,REF,MFM,AF0,0,0,0,0.004173744,0.030846369,0.057767923,0.065222975,0.062186619,0.06159078,0.064549189,0.066029445,Wood_EP_im
Italy,REF,MFM,AF0,0,0,0,0.190511283,1.69244329,3.169544294,4.041434524,3.874983037,3.881642142,4.075222874,4.168676764,Wood_EP_im
Malta,REF,MFM,AF0,0,0,0,2.64E-05,0.000840828,0.003243299,0.004447753,0.004240694,0.004476088,0.00756462,0.007893593,Wood_EP_im
Netherlands,REF,MFM,AF0,0,0,0,0.098494476,1.152048128,2.250747895,2.541210885,2.422908682,2.399693687,2.514958896,2.572632476,Wood_EP_im
Poland,REF,MFM,AF0,0,0,0,0.008411749,0.46318516,6.116439938,6.905777314,6.584289367,6.521202283,6.834437154,6.99116594,Wood_EP_im
Slovenia,REF,MFM,AF0,0,0,0,0.003668081,0.027109227,0.050769143,0.057320991,0.054652499,0.054128849,0.056728836,0.058029754,Wood_EP_im
Sweden,REF,MFM,AF0,0,0,0,0.058728654,0.434038531,0.812851075,0.917750942,0.875026445,1.495548115,1.751237728,1.791397489,Wood_EP_im
UK,REF,MFM,AF0,0,0,0,0.115653469,0.854745657,1.600735596,1.959955959,1.868713194,1.850808199,1.939708626,1.984190442,Wood_EP_im
EU28,REF,MFM,AF0,0,0,0,0.816935712,7.641438189,19.82084384,26.52568995,27.67461218,28.73119841,30.4766872,31.29599889,Wood_EP_im
Belgium,REF,MFM,AF25,0,0,0.003036456,0.081774417,0.552119183,1.04811697,1.113671031,1.193685419,1.150659146,1.076487893,1.050503465,Wood_EP_im
Cyprus,REF,MFM,AF25,0,0,0,0,0.002874586,0.027588606,0.04481135,0.072662088,0.07004299,0.067059846,0.065457928,Wood_EP_im
Denmark,REF,MFM,AF25,0,0,0.0046852,0.157585065,1.100197279,2.245846219,3.2305779,3.462686579,3.337874385,3.122715685,3.0473391,Wood_EP_im
France,REF,MFM,AF25,0,0,0,0.078100701,1.036243663,1.96715601,4.182368247,7.129176483,7.707801319,7.233129873,7.086451379,Wood_EP_im
Greece,REF,MFM,AF25,0,0,0.000339513,0.009143389,0.061733741,0.117192416,0.12452217,0.133468766,0.128657897,0.120364636,0.117459256,Wood_EP_im
