Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Austria,REF,MFM,noAF,6.152973849,6.152973849,6.195622512,6.879309338,7.298419609,8.009175223,8.567738734,9.152987629,9.625743736,10.08276609,10.11122152,Wood_forest_im
Belgium,REF,MFM,noAF,6.777334413,9.244337761,9.396567808,9.384391545,8.860333332,8.815629446,9.028133468,9.419535801,9.875842084,10.37674381,11.00544215,Wood_forest_im
Bulgaria,REF,MFM,noAF,0.08230758,0.323452211,0.529303712,0.529303712,0.529303712,0.559422151,0.592390983,0.681447867,0.8693968,0.956501524,1.076885587,Wood_forest_im
Croatia,REF,MFM,noAF,0.628890634,0.731376193,0.74883923,0.83969168,0.83969168,0.846900957,0.850116317,0.895692973,1.062662562,1.142865625,1.262833997,Wood_forest_im
Cyprus,REF,MFM,noAF,0.226668388,0.237650033,0.237661851,0.238229151,0.238229151,0.254165824,0.269691899,0.301046909,0.324064216,0.335531871,0.353347975,Wood_forest_im
CzechRep,REF,MFM,noAF,0.068323271,0.580404372,1.243816559,1.243816559,1.949383447,3.213534256,4.567779135,5.316682901,5.708047291,5.824296081,6.165537149,Wood_forest_im
Denmark,REF,MFM,noAF,1.797252731,3.917100169,5.381320296,5.284023718,4.189826887,4.03342612,4.395619751,4.62649845,5.089658394,5.748372276,6.630295651,Wood_forest_im
Estonia,REF,MFM,noAF,0.191581572,3.100535101,4.534262235,4.399898918,3.406688005,3.14449479,3.196163338,3.048164044,3.107793781,3.177721778,3.382967526,Wood_forest_im
Finland,REF,MFM,noAF,7.17809,10.19014748,10.26421612,10.56316291,10.56316291,11.04928867,11.51888193,12.28291469,13.24011872,14.23678452,15.34078477,Wood_forest_im
France,REF,MFM,noAF,9.691371494,12.26042272,17.94735841,21.16603101,24.47975301,25.84862849,26.74980131,28.38464856,29.9864768,32.04269935,35.2202997,Wood_forest_im
Germany,REF,MFM,noAF,11.39146882,12.62271279,12.83715573,12.84388349,12.86461158,13.48742747,14.87653246,18.34797242,21.31342718,22.35970491,24.15232667,Wood_forest_im
Greece,REF,MFM,noAF,2.622045621,2.684321865,3.08311282,3.086397886,2.991523986,2.971234663,2.982295709,2.996177949,3.021214921,3.036945564,3.098558508,Wood_forest_im
Hungary,REF,MFM,noAF,1.355876175,1.394441165,1.661618256,1.683150192,1.891010066,2.495595161,2.878493495,2.923201461,2.88743307,2.820305622,2.942913214,Wood_forest_im
Ireland,REF,MFM,noAF,1.263722299,1.332511349,1.625156058,1.677020348,1.737701105,1.773520569,1.876416355,2.051728196,2.20966615,2.391659417,2.601793504,Wood_forest_im
Italy,REF,MFM,noAF,22.52589839,25.70018861,30.44895024,32.7729682,29.71996441,28.42478246,27.42505066,26.89492183,27.13930858,27.19421699,27.87053995,Wood_forest_im
Latvia,REF,MFM,noAF,0.194476167,1.386714872,6.216788422,8.416795528,5.380250114,4.103855968,3.106816873,2.397591368,2.408641591,2.248724528,2.553301564,Wood_forest_im
Lithuania,REF,MFM,noAF,0.052109214,0.16664068,0.692331389,0.692331389,0.69683249,0.80320563,1.170753025,1.319434215,1.321537954,1.223201332,1.259519149,Wood_forest_im
Luxembourg,REF,MFM,noAF,0.447024042,0.493289489,0.560366306,0.560366306,0.57763407,0.708057529,1.097648068,1.269270764,1.29043639,1.205574089,1.25161834,Wood_forest_im
Malta,REF,MFM,noAF,0.062373507,0.063214267,0.077549404,0.083682206,0.089868757,0.094456599,0.095648976,0.097803732,0.098770975,0.098803606,0.099244658,Wood_forest_im
Netherlands,REF,MFM,noAF,2.998066413,5.271250959,6.63469534,6.525232201,5.494263949,5.084128888,5.212621672,5.671097439,6.17526416,6.799158091,7.470733201,Wood_forest_im
Poland,REF,MFM,noAF,0.992893063,1.714976365,2.567279934,4.413842894,12.34262686,18.70001561,21.48192774,19.8016634,18.74698507,17.21717857,18.25852191,Wood_forest_im
Portugal,REF,MFM,noAF,0.961531151,2.011155518,2.015587697,3.367712567,8.708491078,14.49840215,17.41510003,15.88644478,15.04325555,13.66314775,14.851892,Wood_forest_im
Romania,REF,MFM,noAF,0.002033333,0.297263781,0.860695802,0.902153815,1.093548767,1.111167341,1.111167341,1.111167341,1.525987342,2.127650741,2.724520954,Wood_forest_im
Slovakia,REF,MFM,noAF,0.318702898,1.029547618,1.312673787,1.327242649,1.467320776,1.622739306,1.724941535,1.867087377,2.002693846,2.043169176,2.108811473,Wood_forest_im
Slovenia,REF,MFM,noAF,0.836287111,0.896287344,1.129431738,1.125022807,1.134912525,1.21706848,1.34319356,1.465183648,1.568698768,1.659885867,1.738171173,Wood_forest_im
Spain,REF,MFM,noAF,6.113318358,7.156303355,7.174892471,7.196608028,7.196608028,7.196608028,7.403551777,8.062339409,8.664333445,9.514673459,10.48384899,Wood_forest_im
Sweden,REF,MFM,noAF,5.142051667,6.457710064,8.472284518,8.745532491,9.863954519,14.0273297,17.17467672,18.83275253,20.48633416,21.96976259,24.46347058,Wood_forest_im
