Mitigation_scenario,Forest_use,Management_scenario,Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
REF,MFM,noAF,Lake,0.002913776,0.003681127,0.004559566,0.004610148,0.005159505,0.005268801,0.005279783,0.005288316,0.005293683,0.005296859,0.005298869,Clear_cut_EU_ex
REF,MFM,noAF,PA0401,0.055635328,0.07028703,0.08705986,0.088025669,0.098515029,0.100601912,0.100811602,0.100974531,0.101076997,0.101137638,0.101176023,Clear_cut_EU_ex
REF,MFM,noAF,PA0402,0.589836199,0.745171035,0.922993699,0.933233035,1.04443944,1.066564215,1.068787304,1.070514654,1.071600981,1.072243885,1.072650834,Clear_cut_EU_ex
REF,MFM,noAF,PA0404,0.260252198,0.328790264,0.407250588,0.411768469,0.460835839,0.470597908,0.471578797,0.472340952,0.47282027,0.473103937,0.473283494,Clear_cut_EU_ex
REF,MFM,noAF,PA0405,0.272638799,0.344438907,0.42663352,0.431366427,0.48276914,0.49299583,0.494023404,0.494821834,0.495323964,0.495621132,0.495809236,Clear_cut_EU_ex
REF,MFM,noAF,PA0406,0.50547545,0.638593672,0.790983423,0.799758287,0.895059504,0.914019905,0.915925039,0.917405337,0.918336292,0.918887246,0.919235991,Clear_cut_EU_ex
REF,MFM,noAF,PA0409,0.259081641,0.327311439,0.405418866,0.409916426,0.458763102,0.468481263,0.46945774,0.470216467,0.470693629,0.470976021,0.47115477,Clear_cut_EU_ex
REF,MFM,noAF,PA0412,0.96377113,1.217582663,1.5081385,1.524869206,1.706576471,1.742727558,1.746360006,1.749182434,1.750957452,1.752007935,1.752672874,Clear_cut_EU_ex
REF,MFM,noAF,PA0418,0.072281345,0.091316818,0.113108056,0.114362833,0.127990597,0.130701873,0.130974301,0.131185979,0.131319102,0.131397887,0.131447756,Clear_cut_EU_ex
REF,MFM,noAF,PA0419,0.033206599,0.04195164,0.051962701,0.052539155,0.058799853,0.060045434,0.060170589,0.060267836,0.060328994,0.060365188,0.060388098,Clear_cut_EU_ex
REF,MFM,noAF,PA0421,0.020028599,0.025303181,0.031341364,0.031689053,0.0354652,0.036216474,0.036291962,0.036350616,0.036387503,0.036409334,0.036423152,Clear_cut_EU_ex
REF,MFM,noAF,PA0422,0.000421594,0.000532621,0.000659723,0.000667041,0.000746528,0.000762342,0.000763931,0.000765165,0.000765942,0.000766401,0.000766692,Clear_cut_EU_ex
REF,MFM,noAF,PA0429,0.077057163,0.097350359,0.120581402,0.121919086,0.136447272,0.139337689,0.139628117,0.13985378,0.1399957,0.14007969,0.140132854,Clear_cut_EU_ex
REF,MFM,noAF,PA0431,0.75959634,0.959637932,1.188639553,1.201825861,1.345038465,1.373530949,1.376393863,1.37861836,1.380017341,1.380845279,1.381369351,Clear_cut_EU_ex
REF,MFM,noAF,PA0432,0.134284115,0.169648172,0.210131885,0.212463007,0.237780635,0.242817637,0.243323753,0.243717007,0.243964324,0.24411069,0.244203337,Clear_cut_EU_ex
REF,MFM,noAF,PA0433,0.106357005,0.134366388,0.16643069,0.168277008,0.188329321,0.192318776,0.192719635,0.193031104,0.193226986,0.193342912,0.193416291,Clear_cut_EU_ex
REF,MFM,noAF,PA0435,0.080383743,0.101553003,0.125786936,0.127182368,0.14233774,0.145352937,0.145655903,0.145891309,0.146039355,0.146126971,0.14618243,Clear_cut_EU_ex
REF,MFM,noAF,PA0436,1.384260188,1.748808564,2.166132621,2.190162859,2.451148195,2.503071841,2.50828911,2.51234295,2.514892402,2.516401205,2.517356255,Clear_cut_EU_ex
REF,MFM,noAF,PA0445,1.962151523,2.478889025,3.070434633,3.104496848,3.474436531,3.5480369,3.555432238,3.561178448,3.564792226,3.566930914,3.568284672,Clear_cut_EU_ex
REF,MFM,noAF,PA0501,0.630921933,0.797076799,0.987285911,0.998238479,1.117191097,1.140857,1.143234941,1.145082612,1.146244608,1.146932294,1.147367589,Clear_cut_EU_ex
REF,MFM,noAF,PA0503,0.059512759,0.075185593,0.093127383,0.094160502,0.105380906,0.107613231,0.107837535,0.108011819,0.108121426,0.108186293,0.108227353,Clear_cut_EU_ex
REF,MFM,noAF,PA0504,0.326063729,0.411933426,0.510234482,0.515894826,0.577370156,0.589600817,0.59082975,0.591784635,0.592385161,0.592740561,0.592965524,Clear_cut_EU_ex
REF,MFM,noAF,PA0608,3.373732519,4.2622134,5.279319689,5.33788642,5.973962445,6.100511265,6.113226843,6.123106903,6.12932045,6.13299772,6.135325377,Clear_cut_EU_ex
REF,MFM,noAF,PA0814,0.025953392,0.032788283,0.040612661,0.041063202,0.045956397,0.046929909,0.047027727,0.047103733,0.047151532,0.047179821,0.047197727,Clear_cut_EU_ex
REF,MFM,noAF,PA1110,0.226178559,0.285743247,0.353931118,0.357857493,0.400500695,0.40898466,0.409837126,0.410499496,0.410916058,0.411162586,0.411318635,Clear_cut_EU_ex
REF,MFM,noAF,PA1201,0.242799725,0.306741638,0.379940425,0.384155337,0.429932257,0.439039683,0.439954794,0.440665839,0.441113013,0.441377658,0.441545174,Clear_cut_EU_ex
REF,MFM,noAF,PA1204,0.018352869,0.023186143,0.02871913,0.029037729,0.032497938,0.033186355,0.033255527,0.033309274,0.033343075,0.033363079,0.033375741,Clear_cut_EU_ex
REF,MFM,noAF,PA1205,0.004461515,0.005636466,0.006981515,0.007058965,0.007900129,0.008067481,0.008084296,0.008097362,0.008105579,0.008110442,0.00811352,Clear_cut_EU_ex
REF,MFM,noAF,PA1206,0,0,0,0,0,0,0,0,0,0,0,Clear_cut_EU_ex
REF,MFM,noAF,PA1208,0.076896986,0.097148,0.120330753,0.121665656,0.136163643,0.139048051,0.139337875,0.13956307,0.139704695,0.13978851,0.139841564,Clear_cut_EU_ex
REF,MFM,noAF,PA1209,0.739325174,0.934028304,1.156918613,1.16975302,1.309143744,1.336875856,1.339662368,1.341827501,1.343189147,1.34399499,1.344505077,Clear_cut_EU_ex
REF,MFM,noAF,PA1210,0.078108543,0.098678623,0.122226634,0.123582569,0.13830898,0.141238834,0.141533224,0.141761967,0.141905823,0.141990959,0.142044849,Clear_cut_EU_ex
REF,MFM,noAF,PA1211,0.343412861,0.433851496,0.537382934,0.543344453,0.60809075,0.620972178,0.622266499,0.623272192,0.62390467,0.62427898,0.624515913,Clear_cut_EU_ex
REF,MFM,noAF,PA1214,0,0,0,0,0,0,0,0,0,0,0,Clear_cut_EU_ex
REF,MFM,noAF,PA1215,0.458932008,0.579792899,0.718150824,0.726117712,0.812643732,0.829858287,0.831587999,0.832931992,0.833777227,0.83427745,0.834594083,Clear_cut_EU_ex
REF,MFM,noAF,PA1216,0.22067595,0.278791512,0.345320466,0.349151318,0.390757071,0.399034633,0.399866359,0.400512614,0.400919043,0.401159573,0.401311825,Clear_cut_EU_ex
REF,MFM,noAF,PA1217,0.075777517,0.095733716,0.118578973,0.119894443,0.134181367,0.137023784,0.137309389,0.137531306,0.137670869,0.137753464,0.137805745,Clear_cut_EU_ex
REF,MFM,noAF,PA1218,0.031393212,0.039660693,0.049125057,0.049670031,0.055588837,0.056766398,0.056884719,0.056976655,0.057034473,0.05706869,0.05709035,Clear_cut_EU_ex
REF,MFM,noAF,PA1219,0.005106015,0.006450696,0.007990048,0.008078686,0.009041363,0.00923289,0.009252134,0.009267087,0.009276491,0.009282057,0.009285579,Clear_cut_EU_ex
REF,MFM,noAF,PA1221,0.160249219,0.202451251,0.250762872,0.253544739,0.28375777,0.289768723,0.290372702,0.290841996,0.291137133,0.2913118,0.291422362,Clear_cut_EU_ex
REF,MFM,noAF,PA1222,0.141359933,0.178587425,0.221204341,0.223658297,0.250309984,0.2556124,0.256145185,0.256559161,0.25681951,0.256973588,0.257071117,Clear_cut_EU_ex
REF,MFM,noAF,Lake,0.001805574,0.001706676,0.001716336,0.001519716,0.001535424,0.001452958,0.001399945,0.001360676,0.001339078,0.001331224,0.001329261,Selection_EU_ex
REF,MFM,noAF,PA0401,0.034475432,0.032587087,0.032771539,0.029017287,0.029317208,0.027742626,0.026730395,0.025980594,0.025568204,0.025418244,0.025380754,Selection_EU_ex
REF,MFM,noAF,PA0402,0.365502613,0.3454827,0.347438229,0.307636302,0.310816005,0.294122562,0.283391063,0.275441805,0.271069713,0.269479861,0.269082398,Selection_EU_ex
REF,MFM,noAF,PA0404,0.161269957,0.152436613,0.153299446,0.135737725,0.137140699,0.129775086,0.125040049,0.121532614,0.119603525,0.118902038,0.118726666,Selection_EU_ex
REF,MFM,noAF,PA0405,0.168945537,0.159691773,0.160595673,0.142198108,0.143667856,0.13595168,0.130991281,0.127316911,0.125296008,0.124561134,0.124377415,Selection_EU_ex
REF,MFM,noAF,PA0406,0.313226957,0.296070373,0.297746214,0.263636919,0.266361848,0.252055969,0.242859332,0.236047009,0.232300231,0.230937766,0.23059715,Selection_EU_ex
REF,MFM,noAF,PA0409,0.160544601,0.151750987,0.152609939,0.135127207,0.13652387,0.129191386,0.124477647,0.120985987,0.119065575,0.118367243,0.11819266,Selection_EU_ex
REF,MFM,noAF,PA0412,0.597218121,0.564506304,0.567701567,0.50266665,0.507862171,0.480585686,0.463050803,0.450062,0.442918159,0.440320399,0.439670959,Selection_EU_ex
REF,MFM,noAF,PA0418,0.044790436,0.0423371,0.04257674,0.037699222,0.038088878,0.036043184,0.034728094,0.033753954,0.033218177,0.033023349,0.032974642,Selection_EU_ex
REF,MFM,noAF,PA0419,0.020577067,0.019449986,0.019560078,0.017319309,0.01749832,0.016558513,0.015954351,0.015506823,0.015260683,0.015171178,0.015148801,Selection_EU_ex
REF,MFM,noAF,PA0421,0.012411082,0.011731282,0.011797684,0.010446162,0.010554132,0.009987286,0.009622885,0.009352959,0.009204499,0.009150514,0.009137017,Selection_EU_ex
REF,MFM,noAF,PA0422,0.000261248,0.000246939,0.000248336,0.000219887,0.00022216,0.000210228,0.000202558,0.000196876,0.000193751,0.000192614,0.00019233,Selection_EU_ex
