Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,MFM,noAFM,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,95.60496737,106.9974967,109.2640672,109.4918113,109.6687696,109.7800582,109.8459204,109.8876102
REF,MFM,AFMfree,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,86.24427313,87.26103701,79.8654783,71.59459646,62.91169179,55.15783262,47.61352565,43.4198665
REF,MFM,AFM25,Clear_cut_EU_ex,60.42571199,76.33897408,94.55254012,86.22909251,86.56710208,78.18047735,68.91052027,59.32443692,50.52964616,42.97022622,38.84828537
REF,MFM,AFM50,Clear_cut_EU_ex,60.42571199,76.33897408,94.56372347,86.27018926,86.01497004,77.60357171,68.3610777,58.99718285,49.95941442,41.8236784,36.85047778
REF,MFM,AFM75,Clear_cut_EU_ex,60.42571199,76.33897408,94.58015308,86.30074307,86.39941065,78.03393958,68.94458832,60.03368177,51.17569989,43.00882917,37.25165749
REF,MFM,AFM100,Clear_cut_EU_ex,60.42571199,76.33897408,94.55279775,86.67370284,87.12385632,79.43874725,70.74668979,61.95391222,53.24468399,44.6975578,38.55788043
REF,SFM,noAFM,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,95.55462066,106.9246667,109.2312924,109.4838333,109.6966853,109.8068029,109.8715611,109.9104604
REF,SFM,AFMfree,Clear_cut_EU_ex,60.42571199,76.33897408,94.55254012,86.17577654,86.95916322,78.72601006,69.23583434,60.35018167,52.00067016,44.37964165,41.42282008
REF,SFM,AFM25,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,87.54377062,88.82007019,81.22454692,72.80631933,64.47843634,55.94485912,47.43741643,41.9160373
REF,SFM,AFM50,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,90.05896958,93.63693693,87.88587708,81.07622518,74.27311922,66.83870598,58.67108352,50.95838311
REF,SFM,AFM75,Clear_cut_EU_ex,60.42571199,76.33897408,94.5635215,92.69614137,99.27788622,96.56293513,92.65981251,88.01342194,82.6976673,76.19721235,68.53450505
REF,SFM,AFM100,Clear_cut_EU_ex,60.42571199,76.33897408,94.5525958,95.64055682,106.1688191,107.3026101,107.5839787,107.7961995,107.9676768,108.034227,108.0548695
RCP2.6,MFM,noAFM,Clear_cut_EU_ex,60.42571199,76.33897408,94.56922468,95.90634298,107.7768069,110.4773006,111.1971494,111.755416,111.989823,112.209111,112.2929283
RCP2.6,MFM,AFMfree,Clear_cut_EU_ex,60.42571199,76.33897408,94.5635215,86.63393326,87.8509562,80.48235113,72.37675977,63.69027954,55.32711661,46.81855958,38.52106863
RCP2.6,MFM,AFM25,Clear_cut_EU_ex,60.42571199,76.33897408,94.56692579,86.53792832,87.35339565,80.06930304,72.09695902,63.98891145,55.64519918,47.63640649,39.21111837
RCP2.6,MFM,AFM50,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,86.64725787,87.73289207,80.26040236,72.81597767,64.78818357,56.67603113,48.64302304,40.02666438
RCP2.6,MFM,AFM75,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,86.69584,88.05800618,81.15150094,73.73188564,65.92479784,58.19263101,50.10835299,41.41147058
RCP2.6,MFM,AFM100,Clear_cut_EU_ex,60.42571199,76.33897408,94.55254012,87.18876704,88.92720862,82.49947011,75.56120598,68.24184795,60.4156692,51.98004035,43.00053969
RCP2.6,SFM,noAFM,Clear_cut_EU_ex,60.42571199,76.33897408,94.56922468,95.89238764,107.7770336,110.4634946,111.1830451,111.7414993,111.974024,112.1944028,112.2782731
RCP2.6,SFM,AFMfree,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,86.63227182,87.71740213,80.37669105,72.33572701,64.02428201,55.14907818,46.62571746,38.36818637
RCP2.6,SFM,AFM25,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,88.02622585,90.26931646,83.8382242,76.54585537,69.00290817,61.16971156,53.18547349,44.52671071
RCP2.6,SFM,AFM50,Clear_cut_EU_ex,60.42571199,76.33897408,94.55254012,90.32856618,94.50467877,90.02961437,84.08469481,77.95206888,71.22623874,63.20044442,54.4098065
RCP2.6,SFM,AFM75,Clear_cut_EU_ex,60.42571199,76.33897408,94.55599969,93.04872912,100.2186854,97.75855249,94.4153362,90.67541519,85.58911258,79.35915171,71.86447076
RCP2.6,SFM,AFM100,Clear_cut_EU_ex,60.42571199,76.33897408,94.55254012,95.98534112,106.7982594,107.8491438,108.4164857,108.6514122,108.7358457,108.7818707,108.7935801
REF,MFM,noAFM,Selection_ex,3.744387962,3.539294161,3.559327553,3.150608135,3.18472519,3.014385786,2.90488484,2.82334323,2.777838456,2.760527103,2.75697834
REF,MFM,AFMfree,Selection_ex,3.744387962,3.539294161,3.559327553,12.82985717,24.17620438,34.16119226,43.25441735,52.51937241,60.78496666,68.70736344,73.16039856
