Mitigation_scenario,Forest_use,Management_scenario,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REF,MFM,noAF,Clear_cut_im,63.60452578,87.04066686,111.5241862,116.4515883,119.8104012,124.689323,134.1798652,148.9255557,163.7378293,180.8503748,197.6066496
REF,MFM,noAF,Pulp_Timber_Plantation_im,15.95300318,22.44214711,26.63937788,29.36457494,34.96451538,41.16146523,45.30373575,50.3087542,54.16225929,56.6697231,57.2865644
REF,MFM,AF0,Clear_cut_im,63.60452578,87.04255156,109.4137936,114.2884446,115.6668309,116.4254138,118.1701944,125.0771629,128.7912609,133.6976903,139.7170337
REF,MFM,AF0,Pulp_Timber_Plantation_im,15.95300318,22.43918378,26.65172234,29.48599491,30.70229864,31.84587545,34.07612235,35.378821,38.16987326,39.86461524,40.77027583
REF,MFM,AF25,Clear_cut_im,63.60452578,87.04031449,111.5217045,115.9535132,117.4853487,118.4935677,120.533228,124.2282468,129.737906,138.5565297,147.9791422
REF,MFM,AF25,Pulp_Timber_Plantation_im,15.95300318,22.4416712,26.67048613,28.62593204,30.77911893,32.01247386,34.82405277,36.87034059,39.51077942,41.54519134,42.43471856
REF,MFM,AF50,Clear_cut_im,63.60452578,87.03242622,108.132219,113.6160888,115.2700789,118.1203926,122.448277,128.4841136,137.6257792,148.7083675,162.9662518
REF,MFM,AF50,Pulp_Timber_Plantation_im,15.95300318,22.4500858,26.70699708,28.92979582,32.34100667,33.33067016,36.59399318,39.24063302,41.59018268,43.83613991,45.03824703
REF,MFM,AF75,Clear_cut_im,63.60452578,87.04359133,108.2058134,114.0608162,116.2922101,119.4150914,125.4623516,136.1803888,151.3217098,167.0920386,185.3140984
REF,MFM,AF75,Pulp_Timber_Plantation_im,15.95300318,22.4375663,26.64488207,29.61591209,33.21948501,37.07711993,42.29566191,47.27477691,50.50795838,52.94362433,53.87722978
REF,MFM,AF100,Clear_cut_im,63.60452578,87.0367662,109.3744939,115.8129931,119.3676773,123.5757125,131.6157565,147.0182388,167.4507811,188.0369413,205.5479997
REF,MFM,AF100,Pulp_Timber_Plantation_im,15.95300318,22.4440368,26.62637076,29.76528737,34.60828474,38.81542524,46.67568945,53.47273004,58.12661708,62.29725438,63.01695623
REF,SFM,noAF,Clear_cut_im,63.60452578,87.02544905,111.5019845,116.4429827,119.8974238,125.2769128,135.3670432,148.5522035,159.3518995,173.548959,192.317521
REF,SFM,noAF,Pulp_Timber_Plantation_im,15.95300318,22.45517366,26.71229332,29.7836578,35.14550682,41.34557306,46.01790488,50.79138479,54.43510353,57.0062773,57.50764299
REF,SFM,AF0,Clear_cut_im,63.60452578,87.04065454,110.7917345,115.3679305,116.673253,117.3459404,120.1511482,126.8368988,130.7062032,135.9437108,143.6023059
REF,SFM,AF0,Pulp_Timber_Plantation_im,15.95300318,22.44065167,26.59359629,28.22014942,29.90099719,31.62906096,34.34153487,36.19614084,38.71637952,41.24411775,41.97343064
REF,SFM,AF25,Clear_cut_im,63.60452578,87.03510389,110.0839569,115.4891696,117.2868462,123.4759309,128.551671,139.4493567,151.1981683,162.1461947,176.8543044
REF,SFM,AF25,Pulp_Timber_Plantation_im,15.95300318,22.44549172,26.62027704,29.85270676,33.67678638,35.62385452,39.71462749,43.0700432,45.91955734,48.71463756,49.22388899
REF,SFM,AF50,Clear_cut_im,63.60452578,87.04332671,111.5247767,117.7736196,121.6205733,128.1848647,138.0989754,152.7133132,169.847564,192.976791,216.485571
REF,SFM,AF50,Pulp_Timber_Plantation_im,15.95300318,22.43869068,26.66751636,29.07040718,37.86448706,45.50327704,54.25086581,62.10873235,70.20451814,76.03973575,77.63850397
REF,SFM,AF75,Clear_cut_im,63.60452578,87.04255156,108.1391807,114.7925342,129.6407636,143.8938665,160.4116867,186.2560469,212.5654984,244.8631976,279.0500687
REF,SFM,AF75,Pulp_Timber_Plantation_im,15.95300318,22.43977551,26.64678234,33.15413006,41.44682934,49.66229823,63.88390817,77.04996982,89.84375789,98.88935789,106.0310878
REF,SFM,AF100,Clear_cut_im,63.60452578,87.03771999,110.5075697,117.5128711,135.197774,156.1882874,178.4187356,209.509239,249.6366513,289.246636,335.1617936
REF,SFM,AF100,Pulp_Timber_Plantation_im,15.95300318,22.44276186,26.68479456,38.16329767,50.56338638,62.19130645,85.82942904,104.7634788,119.2694949,131.9055944,140.3541388
RCP,MFM,noAF,Clear_cut_im,63.60452578,87.03991374,111.5166958,117.7561849,121.9670001,127.5462936,132.8360347,136.6767736,150.3497211,171.6085761,189.9944874
RCP,MFM,noAF,Pulp_Timber_Plantation_im,15.95300318,22.44348317,26.70033743,31.20922699,43.39939033,50.36215166,55.08515191,63.77537962,78.23159809,83.6655484,89.23818246
RCP,MFM,AF0,Clear_cut_im,63.60452578,87.04359133,108.0403808,114.5836288,116.3314399,117.7155973,119.3015437,114.1210687,116.0141911,126.4259644,137.9284257
RCP,MFM,AF0,Pulp_Timber_Plantation_im,15.95300318,22.4394319,26.67061135,31.66939028,40.14875323,41.74923899,45.66351259,47.75730786,56.60814307,64.42463167,70.80298552
RCP,MFM,AF25,Clear_cut_im,63.60452578,87.04045476,108.0590587,114.6238406,116.6314748,118.4724496,119.9243514,117.1791792,121.3120682,132.8162045,147.1114591
