"Mitigation_scenario","Forest_use","Management_scenario","Category","2000","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"RCP","MFM","AF0","Wood_EP_im",0,0,0,0,14.970677346,41.184509254,62.628976991,100.654857693,133.383401354,163.151610274,201.308860904
"RCP","MFM","AF100","Wood_EP_im",0,0,0.0282,0.023294779,16.809506861,47.600535655,83.37184297,136.696328354,199.089384874,261.166834204,328.635251838
"RCP","MFM","AF25","Wood_EP_im",0,0,0.059612731,0.088793951,16.235599714,40.508242654,66.050959669,106.407614595,145.653190643,184.636092457,229.662164441
"RCP","MFM","AF50","Wood_EP_im",0,0,0,0.10062055,15.168379272,43.489363479,71.391971194,114.695350794,161.426079366,209.922906179,262.380481963
"RCP","MFM","AF75","Wood_EP_im",0,0,0.0046,1.214500136,16.429943848,47.068720022,77.12568498,126.033774723,174.156657897,222.383256182,284.253934438
"RCP","MFM","noAF","Wood_EP_im",0,0,0.0046,0.223582481,14.862051245,43.494701461,75.061840904,115.388279465,150.088264342,184.262782686,227.747803041
"RCP","SFM","AF0","Wood_EP_im",0,0,0.0046,2.139494473,15.644799477,38.891517646,67.066461285,101.290567382,132.275416028,160.492324933,196.183891352
"RCP","SFM","AF100","Wood_EP_im",0,0,0.0046,1.076579566,20.560617291,63.447470286,109.431711402,185.266691299,268.879733685,358.750722062,443.716633293
"RCP","SFM","AF25","Wood_EP_im",0,0,0.0046,1.973593562,18.17729713,48.893732786,77.849020869,121.598510333,166.850584549,211.347600518,263.681136146
"RCP","SFM","AF50","Wood_EP_im",0,0,0,0.986373424,19.079574428,53.121329106,88.122386827,138.100297396,196.969756313,261.05704371,330.548853879
"RCP","SFM","AF75","Wood_EP_im",0,0,0.0282,0.845145358,21.375748835,56.805355361,96.344348199,160.746447172,238.114130314,318.096665719,399.173697673
"RCP","SFM","noAF","Wood_EP_im",0,0,0.0282,0.358860643,15.182353453,42.432444561,71.098704676,111.999333638,149.295661337,185.655654202,226.293935059
"REF","MFM","AF0","Wood_EP_im",0,0,0,0.81798471,7.65120097,19.890064477,26.603843625,27.749752792,28.807364395,30.559217456,31.382398282
"REF","MFM","AF100","Wood_EP_im",0,0,0.059612731,0.72466927,8.745685642,22.072867797,28.143783323,31.737032219,32.907248748,32.582136513,37.191793142
"REF","MFM","AF25","Wood_EP_im",0,0,0.0282,0.869215957,7.568872111,20.549518569,25.500926083,30.054017599,30.516406181,29.631261599,29.133323549
"REF","MFM","AF50","Wood_EP_im",0,0,0.0046,1.655709442,8.361701586,22.435839696,28.401282495,32.757970741,33.56029197,34.599562806,33.844379507
"REF","MFM","AF75","Wood_EP_im",0,0,0.0046,0.963346185,8.82803025,21.309596931,27.589219263,30.147828732,30.438689689,30.407687245,30.125539362
"REF","MFM","noAF","Wood_EP_im",0,0,0.059612731,0.550506094,7.847461798,20.476777094,25.448772482,26.945208328,27.725172549,27.336951513,27.640074517
"REF","SFM","AF0","Wood_EP_im",0,0,0.059612731,1.41050719,8.656097694,20.462594794,24.915100103,26.365922186,27.635674335,28.852261855,28.354156021
"REF","SFM","AF100","Wood_EP_im",0,0,0,0.916493001,10.722270108,26.393200565,38.475911102,54.000002335,63.566416055,77.90210641,87.11827876
"REF","SFM","AF25","Wood_EP_im",0,0,0.0282,0.299747557,8.584261475,21.60069278,27.209832126,28.469868733,29.009474529,32.171296383,33.531871854
"REF","SFM","AF50","Wood_EP_im",0,0,0.0282,1.077607057,8.879788732,21.673233662,27.030119361,32.800063569,38.639883683,38.034675984,37.217233105
"REF","SFM","AF75","Wood_EP_im",0,0,0.059612731,1.197146965,8.761545947,23.170440746,31.776571478,39.674436259,45.709574197,51.256348211,57.157704428
"REF","SFM","noAF","Wood_EP_im",0,0,0.0046,0.106436735,7.533217696,19.646520818,23.453316018,26.764185701,32.092941223,34.70122808,33.555909649
