Region,Category,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
ANZ,Regrowth,68.01036172,58.82101322,51.82876881,51.82876881,51.82876881,50.71532413,49.4033764,47.97982276,42.98459761,31.99698611,17.24663918
ANZ,Extensive,21.23042689,22.33371451,23.09453896,23.68042753,23.67896694,24.34853739,25.00451126,25.64733507,28.16167073,33.36632881,40.39259548
ANZ,Intensive,5.866817691,7.572253568,8.333078022,9.023980032,9.552756103,10.22232656,10.85105783,11.63208036,14.14641603,19.92936945,27.69903346
ArgentinaReg,Regrowth,6.70817915,4.549999675,0.213658615,0.213658615,0.213658615,0.213658615,0.213658615,0.213658615,0.213658615,0.213658615,0.213658615
ArgentinaReg,Extensive,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322,26.83303322
ArgentinaReg,Intensive,17.04642998,18.24526404,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.93235982,18.89464892,18.89464892
BrazilReg,Regrowth,8.502650843,0,0,0,0,0,0,0,0,0,0
BrazilReg,Extensive,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,24.59381914,27.85532354,34.24787218,43.45314221,54.98986905
BrazilReg,Intensive,24.84939588,15.06784792,9.97827992,12.77767056,12.77767056,13.48585369,14.44481719,17.70632159,24.09887023,33.27335541,44.81008225
CanadaReg,Regrowth,180.3115571,180.3115571,179.1371251,178.4069399,177.531085,176.6905246,175.7628766,174.4487857,167.746609,164.9118494,156.7071714
CanadaReg,Extensive,0,0,0,0,0,0,0,0,3.898023489,7.718086509,15.20540164
CanadaReg,Intensive,36.13149782,33.03095382,33.03095382,33.76095315,34.63844453,35.69395186,36.67593708,38.25443782,42.15246131,45.97252433,53.45983946
ChinaReg,Regrowth,102.9051734,97.41088637,92.92167461,83.62961196,76.26283357,71.33512131,68.31833821,65.35965464,59.61415398,51.35638455,40.95661111
ChinaReg,Extensive,23.04577561,24.14866655,26.24456268,30.25678648,33.88543241,36.37959941,37.93860967,39.43525496,42.30800529,46.24334039,51.44349334
ChinaReg,Intensive,58.41911414,59.86662228,61.9511859,66.96070746,70.5893534,73.08352039,74.64253065,76.13917594,79.01192627,82.87444835,88.06112837
CongoBasin,Regrowth,147.8987527,137.6772716,130.4989461,130.4860219,130.455968,128.6572622,126.2271964,122.8750107,115.5231558,107.9758268,99.49448119
CongoBasin,Extensive,82.54029392,82.56592636,82.56592636,82.56592636,82.56592636,84.79572663,86.97999595,91.26017889,97.42135452,107.073863,119.2360237
CongoBasin,Intensive,0.172633055,0.97697578,1.754055277,2.894549997,3.75970301,5.989503282,8.173772601,12.45395553,18.61513117,28.26763966,40.42980036
EU,Regrowth,0,0,0,0,0,0,0,0,0,0,0
EU,Extensive,0,0,0,0,0,0,0,0,0,0,0
EU,Intensive,0,0,0,0,0,0,0,0,0,0,0
Former_USSR,Regrowth,258.5748202,246.7169436,231.5971103,224.8204644,217.2550915,212.7660379,208.9583686,201.6897986,195.0500073,188.9682245,175.7146096
Former_USSR,Extensive,391.6159669,395.8739906,401.4887137,405.4744943,409.2523477,410.9589747,412.1575176,415.8709819,418.9244545,422.5110479,429.5407525
Former_USSR,Intensive,8.980230113,14.66311164,22.93819558,26.92397621,30.83004044,34.6579642,37.26709059,41.00158232,44.66137876,48.24797215,54.69717391
IndiaReg,Regrowth,11.0015096,6.131785858,3.930301691,0.937612053,0.076170951,0.074842153,0.073114715,0.070869046,0,0,0
IndiaReg,Extensive,1.708665656,3.616929322,4.483095559,5.125883834,4.543737543,4.142515145,4.082976155,4.073845034,4.073845034,4.073845034,4.030548946
IndiaReg,Intensive,55.43250074,57.67751682,58.56726675,59.93749533,60.41557013,59.60756772,59.00389158,58.88098412,58.86311397,58.83715112,58.61178939
IndonesiaReg,Regrowth,34.66917683,32.65310661,30.26486071,30.10356424,30.02453963,30.01437864,29.7842964,29.38227859,27.64224427,24.46398357,18.98031442
IndonesiaReg,Extensive,2.187265893,2.187265893,2.237290632,2.383192595,2.48654657,3.252249164,3.533101881,4.119949128,5.852171363,9.947141819,16.47698289
IndonesiaReg,Intensive,9.683930631,8.9184079,8.923511051,8.923787076,8.985288826,9.244187542,9.420628719,11.60829088,12.72348369,15.44000416,23.29410243
JapanReg,Regrowth,10.89329234,10.89329234,10.89329234,10.89329234,10.89329234,10.89329234,10.89293753,10.89293753,7.960150831,1.352807944,0.072863743
JapanReg,Extensive,4.716113331,4.716113331,4.716113331,4.716113331,4.716113331,4.716113331,4.716113331,4.716113331,6.357694802,9.719024614,9.730594139
JapanReg,Intensive,5.900194009,5.839950009,5.793106009,4.82260548,4.843150509,4.905729517,4.938884729,4.974390363,6.742247332,10.98257855,12.50786527
MalaysiaReg,Regrowth,10.49033144,10.40630307,8.083288184,6.772473796,6.408978696,6.408978696,6.327776895,5.018454202,4.086802664,1.879898543,0.709802397
MalaysiaReg,Extensive,0.516057057,0.516057057,1.284210348,2.016773591,2.016773591,2.016773591,2.058127333,3.367450026,4.573799474,5.176280947,6.371845161
MalaysiaReg,Intensive,6.309573991,6.305626323,7.860120932,9.006419463,9.764187837,9.96062967,10.00047773,10.00047773,10.00047773,12.27834567,12.27834567
MexicoReg,Regrowth,28.09460554,24.17691503,20.99254141,20.99254141,20.98022199,20.98022199,20.98022199,19.78134622,16.2207309,10.57238136,5.410375727
MexicoReg,Extensive,10.13337566,10.13337566,10.13337566,10.13337566,10.13337566,10.67423324,11.72942896,13.75540473,17.01722573,21.82608183,27.1025499
MexicoReg,Intensive,3.612097831,3.553948345,3.978561965,4.114798356,4.625288051,5.410403139,6.465598854,8.491574628,11.75339562,16.96298973,22.97405985
MidEastNorthAfr,Regrowth,2.008140206,1.279022039,0.67759822,0.00477835,0,0,0,0,0,0,0
MidEastNorthAfr,Extensive,0.234643189,0.449411559,0.710168611,0.294642829,0.288309566,0.288309566,0.288309566,0.288309566,0.288309566,0.288309566,0.288309566
MidEastNorthAfr,Intensive,6.045081548,6.499053493,6.827409471,5.950357118,5.631562046,5.220943133,5.17057132,5.170457917,5.168360714,5.168360714,5.168360714
Pacific_Island,Regrowth,6.515691798,4.872903908,3.464676396,3.464676396,3.464676396,3.464676396,3.464676396,2.151332933,1.405972898,0.982972048,0.561160106
Pacific_Island,Extensive,0.36731848,0.36731848,0.677697391,0.973994027,1.262652379,1.543379838,1.817592284,3.422886675,6.681634287,11.54182358,12.70684395
Pacific_Island,Intensive,0.793978616,1.034319318,1.501978418,1.969510257,2.473941105,2.844715,3.236840645,5.109684101,8.368431713,13.56670077,18.04580644
RCAM,Regrowth,17.18822113,14.06881597,12.36458924,12.3628821,12.27195429,12.27195429,11.41396583,8.229407359,3.083245587,0.178438081,0.113300431
RCAM,Extensive,4.484064264,4.484064264,4.671551375,5.09959426,5.09959426,5.408735869,6.583373112,8.968110932,12.78332955,12.83856605,12.83856605
RCAM,Intensive,3.678223635,3.891219854,4.122283563,4.550326447,4.612604584,5.020311149,6.397104752,9.122394201,13.53374073,16.97877216,17.04997601
RCEU,Regrowth,4.816467783,4.816467783,4.539650095,3.762732707,2.835839277,2.041457355,1.42864044,0.144212488,0,0,0
RCEU,Extensive,1.249772711,1.249772711,1.347249385,1.715010665,2.134898508,2.473058073,2.757603808,3.320964842,3.320964842,3.320964842,3.320964842
RCEU,Intensive,0.1473003,0.1473003,0.246390439,0.65574872,1.087431813,1.434199158,1.740419752,2.467334192,2.611605155,2.61160574,2.611605746
ROWE,Regrowth,6.634142914,6.634142914,5.440099863,5.440099863,5.314094689,5.154927516,4.853003035,4.457605537,3.655540172,1.790407732,0.214264455
ROWE,Extensive,1.44377652,1.44377652,1.974738394,1.974738394,2.029156349,2.082314251,2.237012944,2.431200889,2.815942231,3.693678811,4.410497018
ROWE,Intensive,3.451021899,3.433583899,3.948614325,3.949799257,4.021386477,4.127395748,4.274621536,4.475831089,4.893155111,5.880608764,6.740790612
RSAM,Regrowth,92.0486911,69.41485913,58.23215876,58.23215876,58.23215666,58.23214487,58.20462422,58.05539043,54.41164754,50.76844068,46.83759425
RSAM,Extensive,26.7639507,26.7639507,29.47987172,32.04060234,34.44233474,34.44233474,36.88686839,39.28251125,46.32570074,55.15076682,67.33183095
RSAM,Intensive,0.005609703,0.044798448,2.073623701,4.634354315,7.143775774,8.720564791,11.16509845,13.5607413,20.6039308,29.43139412,41.61245825
RSAS,Regrowth,2.922023851,2.63420372,2.524319474,0.954746297,0.049322041,0.00257645,0.00257645,0.00257645,0,0,0
RSAS,Extensive,1.608316307,1.63866557,1.693607693,2.067250457,2.132403099,2.115435342,2.110662886,2.096344799,2.096344799,2.096344799,2.030357912
RSAS,Intensive,10.42644544,10.33012815,10.21092746,11.13464142,11.56568555,11.37457693,10.44920856,10.32885794,10.25372718,10.25372718,10.25372718
RSEA_OPA,Regrowth,29.35241958,23.08241338,19.24263518,18.62820569,16.14359855,13.28304067,9.901491938,9.649540427,6.517320318,4.658598517,4.529494784
RSEA_OPA,Extensive,5.960927344,5.960927344,6.329367491,6.551710814,7.514634214,8.808556628,10.46259015,10.46268095,11.10984072,12.233338,12.37432841
RSEA_OPA,Intensive,8.535908189,7.39109162,7.558844136,8.110532184,9.423081326,11.02813351,12.78909675,13.06777743,15.56635323,16.39005602,16.40118299
RSEA_PAC,Regrowth,27.18884745,23.66028572,21.78066483,20.27358587,17.49359854,13.35805977,9.980182766,5.956062089,1.339996982,0,0
RSEA_PAC,Extensive,2.183877195,2.183877195,2.45337722,3.456192486,4.834771262,6.854403821,8.618811209,10.58464394,13.12691799,13.13517148,13.13517148
RSEA_PAC,Intensive,7.89645334,7.97094757,8.378455437,9.469708903,10.86584113,12.99383882,14.91864688,17.3759378,19.99185831,21.92622434,21.93575625
SouthAfrReg,Regrowth,17.59807285,17.59807285,16.11598,13.85973933,12.43863042,10.64036061,7.129041611,2.067422067,0,0,0
SouthAfrReg,Extensive,2.196584356,2.196584356,2.90050727,4.02862587,4.721612836,5.592316966,7.294774664,9.647358396,9.684946127,9.684946127,9.684946127
SouthAfrReg,Intensive,2.589302044,2.549148044,3.31190598,4.44002458,5.16814653,6.095712202,7.904573506,10.61360932,12.64344365,12.64344365,12.64344365
SouthKorea,Regrowth,0,0,0,0,0,0,0,0,0,0,0
SouthKorea,Extensive,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977,3.528184977
SouthKorea,Intensive,2.014383223,1.892778723,1.867664223,1.867664223,1.867664223,1.867664223,1.867664223,1.867664223,1.848120288,1.827391895,1.806326836
EasternAf,Regrowth,25.3928393,16.421016,12.14237164,8.451683767,4.093833117,0.758739757,0,0,0,0,0
EasternAf,Extensive,2.300226002,3.588806461,4.75094087,6.647340645,8.590956205,10.20008166,10.19328829,9.899666817,9.899431977,9.899412331,9.899391047
EasternAf,Intensive,20.92411118,22.51142758,23.81125609,25.85273803,27.86155067,29.72016797,30.47915141,30.47915141,30.47778628,30.47777318,30.47775834
SouthernAf,Regrowth,204.1507946,193.2338485,187.2963353,187.295944,187.2944206,187.2746581,185.5750208,179.7898856,172.4055963,158.4286646,142.1920076
SouthernAf,Extensive,6.226007245,6.226007245,6.226007245,6.226007245,6.285496172,6.285496172,8.234505469,12.05394501,15.71943894,22.75266268,30.84086998
SouthernAf,Intensive,5.575513724,5.914398217,6.094101663,7.055097781,7.905832552,8.804113992,10.75312329,14.57256283,18.23805676,25.2712805,33.3594878
WesternAf,Regrowth,54.62635351,40.02466378,34.47318417,28.09953997,20.99448355,13.51323166,11.4368657,7.863421448,2.24195547,0.0034958,0
WesternAf,Extensive,5.75938264,7.501209581,8.80498583,11.62559837,14.98260799,18.5257112,19.5259867,21.12217057,23.47089061,24.35137578,24.35137578
WesternAf,Intensive,30.43622109,32.29423336,33.66169784,36.69425902,40.01355207,43.92534896,42.65854077,44.62307475,47.85212689,50.03680046,50.04856325
TurkeyReg,Regrowth,0.578708014,0,0,0,0,0,0,0,0,0,0
TurkeyReg,Extensive,5.541976585,5.541976585,5.541976585,6.78574666,6.784807117,6.783687948,6.783687948,6.783687948,6.783687948,6.783687948,6.783687948
TurkeyReg,Intensive,4.12579466,4.477128673,4.414453673,5.856580322,6.582033575,6.579914308,6.579380437,6.578875844,6.578853896,6.578825362,6.578788269
UkraineReg,Regrowth,2.455462153,2.265167335,2.208866115,2.208866115,2.080655229,2.080655229,2.080655229,2.059627816,1.453303966,1.453303966,0.872801168
UkraineReg,Extensive,0.518432692,0.518432692,0.518432692,0.518432692,0.646643578,0.646643578,0.646643578,0.667670991,1.27399484,1.27399484,1.27399484
UkraineReg,Intensive,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,5.459564336,6.040067134
USAReg,Regrowth,161.2579604,161.2579604,161.2579604,161.2579604,159.3842078,154.9979916,151.0069433,146.9386952,142.3098208,133.8054309,123.6422397
USAReg,Extensive,0.338692814,0.338692814,0.338692814,0.338692814,0.338692814,2.84621298,5.303582743,7.71180511,10.07186303,14.69719577,19.13751521
USAReg,Intensive,78.31562359,78.11933559,77.95981559,77.95981559,80.31881793,82.8263381,85.28370786,87.69193023,90.05198815,94.67732089,101.3378
