Ecoregion,EU,RoW
AA0101,0,0.003169706
AA0102,0,0.012340476
AA0103,0,0.02190031
AA0104,0,0.002908719
AA0105,0,2.060413779
AA0106,0,0.009811753
AA0107,0,0.013111647
AA0108,0,0.046081563
AA0110,0,0.000122958
AA0111,0,0.066773001
AA0112,0,0.02182096
AA0113,0,0
AA0115,0,1.211643939
AA0116,0,0.253852654
AA0117,0,0
AA0118,0,0.00607614
AA0119,0,0.009299137
AA0120,0,0.299260667
AA0121,0,1.192126442
AA0122,0,1.799585522
AA0123,0,0.074428599
AA0124,0,0.039926108
AA0125,0,0.001519875
AA0126,0,0
AA0127,0,0.191636841
AA0128,0,0.790859093
AA0201,0,0.001542718
AA0202,0,0
AA0203,0,0.001117416
AA0204,0,0.002633635
AA0401,0,0
AA0402,0,0.000629954
AA0403,0,0
AA0404,0,0
AA0405,0,0
AA0406,0,0
AA0407,0,0
AA0408,0,0
AA0409,0,0.000401158
AA0410,0,0
AA0411,0,0
AA0412,0,0
AA0413,0,0
AA0414,0,0
AA0701,0,0.000278581
AA0702,0,0.000760614
AA0703,0,0
AA0704,0,0.254952627
AA0705,0,0.001236129
AA0706,0,0.004934767
AA0707,0,0.606796024
AA0708,0,0.052672694
AA0709,0,0.013486482
AA0801,0,0
AA0802,0,0.396702279
AA0803,0,0.172933751
AA1001,0,0
AA1002,0,0.258763589
AA1003,0,0
AA1201,0,0.011502512
AA1202,0,0.02557113
AA1203,0,0.012511193
AA1204,0,0.000903245
AA1205,0,0.004329968
AA1206,0,0.00371817
AA1207,0,0.174882817
AA1208,0,0.001507252
AA1209,0,0.011886853
AA1210,0,0.002484324
AA1301,0,0.039630786
AA1302,0,0.020729827
AA1303,0,0.001196663
AA1304,0,0.063677071
AA1305,0,0.021989085
AA1306,0,0.016703269
AA1307,0,0.014129868
AA1308,0,2.693739301
AA1309,0,0.437039445
AA1310,0,0.016094854
AA1401,0,0.402069548
AT0101,0,0.026600034
AT0102,0,0.054253642
AT0103,0,0.010885498
AT0104,0,4.013848966
AT0105,0,0
AT0106,0,0.094906931
AT0107,0,0.058056283
AT0108,0,0.006880605
AT0109,0,0
AT0110,0,1.854542194
AT0111,0,0.011979475
AT0112,0,0.016248016
AT0114,0,0.008929496
AT0115,0,0
AT0116,0,0
AT0117,0,0
AT0118,0,0.026715481
AT0119,0,0
AT0120,0,0
AT0121,0,0.002051392
AT0122,0,0.108590532
AT0123,0,0.102235002
AT0124,0,0.694305311
AT0125,0,0.008068169
AT0126,0,1.617377995
AT0127,0,0
AT0128,0,0.396261293
AT0129,0,4.342340646
AT0130,0,0.217929073
AT0201,0,0
AT0202,0,0.130533006
AT0203,0,0.115173519
AT0701,0,0.32321383
AT0702,0,0
AT0704,0,1.132588413
AT0705,0,0.516334744
AT0706,0,0.547600458
AT0707,0,0.686828019
AT0708,0,0.00402933
AT0709,0,0.04651604
AT0710,0,0.006386092
AT0711,0,0.004281515
AT0712,0,0.485276377
AT0713,0,1.061895118
AT0714,0,0.000232119
AT0715,0,0.019557171
AT0716,0,0.009800762
AT0717,0,6.72E-06
AT0718,0,0.146759125
AT0719,0,0.124032679
AT0721,0,0.13166107
AT0722,0,0.106837391
AT0723,0,0.008705466
AT0724,0,0.117258742
AT0725,0,0.648322555
AT0726,0,0.283098435
AT0801,0,0.00556296
AT0901,0,1.25E-06
AT0902,0,0
AT0903,0,0.019183521
AT0904,0,0.003590429
AT0905,0,2.308933128
AT0906,0,0.583014745
AT0907,0,0.664799064
AT0908,0,0
AT1001,0,0.001288694
AT1002,0,0.087275484
AT1003,0,0
AT1004,0,0.001795993
AT1005,0,5.78E-05
AT1006,0,0.001815449
AT1007,0,0.010126903
AT1008,0,0.000112196
AT1009,0,0.023487698
AT1010,0,0
AT1011,0,0
AT1012,0,0
AT1013,0,0.000155317
AT1014,0,0.0040904
AT1015,0,0
AT1201,0,0
AT1202,0,0
AT1203,0,0
AT1302,0,0.003654138
AT1303,0,6.82E-05
AT1304,0,0.001311702
AT1305,0,0.060946949
AT1306,0,0.009170815
AT1307,0,0
AT1309,0,0.004162425
AT1310,0,0.001482205
AT1311,0,0.005201408
AT1312,0,0.021846661
AT1313,0,7.16E-06
AT1314,0,0.000457052
AT1315,0,7.56E-05
AT1316,0,0.001883424
AT1318,0,0
AT1319,0,0
AT1320,0,0.013130475
AT1321,0,0.002432373
AT1322,0,0
AT1401,0,0.134312792
AT1402,0,0.185002924
AT1403,0,0.240165029
AT1404,0,0.010433444
AT1405,0,0
IM0101,0,0
IM0102,0,1.714366547
IM0103,0,0.277655288
IM0104,0,0.729575129
IM0105,0,0
IM0106,0,0.028051112
IM0107,0,0
IM0108,0,0.000480185
IM0109,0,0.001667052
IM0111,0,0.008313185
IM0112,0,0.00024859
IM0113,0,0.000557876
IM0114,0,0.002095771
IM0115,0,0
IM0116,0,0.002029115
IM0117,0,0.008684945
IM0118,0,0.398608407
IM0119,0,0
IM0120,0,0.120240045
IM0121,0,0
IM0122,0,0
IM0123,0,0.000978729
IM0124,0,0
IM0125,0,1.88E-05
IM0126,0,0
IM0127,0,0.011045307
IM0128,0,0.000234019
IM0129,0,0.006017038
IM0130,0,0.001407219
IM0131,0,0.003037
IM0132,0,0.016667915
IM0133,0,0
IM0134,0,0.006331556
IM0135,0,0.000166233
IM0136,0,0
IM0137,0,0.032865722
IM0138,0,0
IM0139,0,8.17E-06
IM0140,0,0
IM0141,0,0
IM0142,0,0.003929004
IM0143,0,0.00134507
IM0144,0,0.013994229
IM0145,0,0.010688239
IM0146,0,0.382048978
IM0147,0,0
IM0149,0,0.325485221
