"Ecoregion","A_org","Area","Share"
"AA0101",0.117209776,0.01382,0.105472209614401
"AA0102",0.469779625,0.083885063,0.151508782875458
"AA0103",0.197805441,0.011410613,0.054539853810645
"AA0104",0.835786237,0.042013277,0.0478620417645845
"AA0105",14.96133455,0.081880088,0.00544299140644888
"AA0106",2.340715617,0.202825728,0.0797414708428889
"AA0107",1.541317703,0.021358246,0.013667738352067
"AA0108",0.102668618,0.006507179,0.0596027615900986
"AA0110",0.01646733,0.120721274,0.879965758671908
"AA0111",2.745163532,0.132727378,0.0461196696298679
"AA0112",1.170059052,0.038882935,0.0321627798671203
"AA0113",1.246365809,0.079097438,0.0596753159161719
"AA0115",11.79090782,0.093363761,0.00785607770435552
"AA0116",1.997948548,0.014195305,0.00705481617471611
"AA0117",3.16579726,0.039857697,0.0124335580512073
"AA0118",1.678926353,0.080985897,0.0460170085184645
"AA0119",3.150493373,0.26223,0.0768389263761168
"AA0120",7.018949769,0.127873502,0.0178923554075946
"AA0121",8.158464953,0.210212143,0.0251189214960242
"AA0122",10.15748817,0.147270011,0.0142914572485105
"AA0123",10.45959629,0.481742717,0.0440295942472665
"AA0124",7.58253478,0.259305284,0.0330668927042274
"AA0125",0.304586701,0.033410722,0.0988490435916726
"AA0126",0.710147707,0.440840871,0.383010639224606
"AA0127",1.801009366,0.023209002,0.0127227103986709
"AA0128",5.958159549,0.179973412,0.0293205463523683
"AA0201",3.409827714,0.164885108,0.0461254137633773
"AA0202",0.354054137,0.015541692,0.0420505070147856
"AA0203",0.966497684,0.05483518,0.053689822322216
"AA0204",3.144794912,0.162432217,0.0491143216550459
"AA0401",0,0.018649004,1
"AA0402",23.96273313,0.490680405,0.0200659267589653
"AA0403",0.929943798,0.076820634,0.0763044775503154
"AA0404",1.346658297,0.081731436,0.0572192827431923
"AA0405",8.111869205,0.162899296,0.0196862662659763
"AA0406",2.571412902,0.12224442,0.0453823205355741
"AA0407",0.115403648,0.009288123,0.0744886605227542
"AA0408",1.200153249,0.028219898,0.0229733921397746
"AA0409",28.09846488,0.49198968,0.017208179707934
"AA0410",1.112425673,0.051158628,0.0439664130532129
"AA0411",1.985012076,0.094314828,0.0453583454427327
"AA0412",1.760770217,0.12446822,0.0660225346339042
"AA0413",3.241074876,0.160889188,0.0472930298419519
"AA0414",0.435272489,0.081741385,0.158102884875387
"AA0701",14.50045798,0.35256725,0.0237370666608637
"AA0702",34.58986075,0.151811173,0.00436971408101683
"AA0703",11.39930373,0.130079653,0.0112824466564102
"AA0704",35.08104039,0.159559553,0.004527719541043
