"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem","For_Selective_im","For_Agroforestry","For_TimberPlant","For_RIL","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0101",0.117213106,0.09405879551,0.00164175,0.000920027,0.01953412149,0,0,0,0,0.000752005,0,0,0,0,0,0,0.000124614095202866,6.53733832631134e-05,0.000116419521534021
"RCP_MFM_AF0","AA0102",0.469792294574,0.1080912725,0.127956944,0.050674825,0.0243663985,0.004158150574,0,0,0,0.003618165,0,0,0.000792736,0,0.00301435,0,0.11763414778418,0.00804205294495428,0.0214432522708662
"RCP_MFM_AF0","AA0103",0.198007229425,0.07150536601,0.000865468,0.005951397,0.00066404399,0.023760860425,0,0,0,0.000507281,0,0,8.31e-05,0,0.000315901,0,0.0693789478894866,0.00681183993177797,0.0181630241787354
"RCP_MFM_AF0","AA0104",0.8358504234,0.26744575433,0.000980699,0.037774772,0.02940870367,0.0343683874,0,0,0,0.001224141,0,0,0,0,0,0,0.332946005631914,0.0359214235864896,0.0957805367815964
"RCP_MFM_AF0","AA0105",14.9610992221,10.30351859444,0.06808191,0.326168099,1.18431439456,0.2057011631,0,0,0,0.1522870505,0,0,0.010163528,0,0.0319006525,0,1.61119775032214,0.357786246602755,0.709979833075107
"RCP_MFM_AF0","AA0106",2.340894321143,0.89668298705,0.002664326,0.033509816,0.01700029595,0.160894969143,0,0,0,0.003621076,0,0,0.000950701,0,0.003615006,0,0.875097803163185,0.0946045862146623,0.252252754622153
"RCP_MFM_AF0","AA0107",1.5412439305,1.09722725008,0.007540186,0.018618245,0.23970606392,0,0,0,0,0.023360649,0,0,3.59e-05,0,4.105e-05,0,0.0629216070369807,0.0330090859926325,0.0587838934703868
"RCP_MFM_AF0","AA0108",0.102725710891,0.03997332913,0.000798893,0.004705908,0.00136863487,0.005855354891,0,0,0,0.0010637575,0,0,0.000174809,0,0.0006647035,0,0.0358480286996972,0.00334724106508603,0.00892505123521673
"RCP_MFM_AF0","AA0110",0.016465954,0.01166717961,4.52e-05,0.0002064,0.00162108039,0,0,0,0,6.87e-05,0,0,0,0,0,0,0.00116208692343222,0.000609638530110998,0.00108566854645678
"RCP_MFM_AF0","AA0111",2.74520577638,2.06642605953,0.005514355,0.02298086,0.30590175547,0.04497591438,0,0,0,0.0063873485,0,0,0.000281985,0,0.0003223945,0,0.118923665610159,0.0623881460466476,0.111103292343194
"RCP_MFM_AF0","AA0112",1.170083848,0.93826599263,0.001855299,0.01038498,0.17103695937,0,0,0,0,0.00270866,0,0,2.21e-05,0,2.53e-05,0,0.0186203355172011,0.0097683518728125,0.0173958696099864
"RCP_MFM_AF0","AA0113",1.246286126538,0.42193551094,0,0.007446791,0.17685040806,0.006109935538,0,0,0,0.427437955,0,0,0,0,0,0,0.0839846977284523,0.044058931085611,0.0784618971859367
"RCP_MFM_AF0","AA0115",11.79048460229,7.24873967976,0.051593799,0.279710389,1.12455946024,0.02842817229,0,0,0,0.1525924015,0,0,0.011569566,0,0.0424424665,0,1.66269946700504,0.397627344020629,0.790521856974326
"RCP_MFM_AF0","AA0116",1.99799152738,1.13215360091,0.004731829,0.059694871,0.11076126809,0.00526133338,0,0,0,0.02271962,0,0,0.002748774,0,0.010330014,0,0.432586354523421,0.0674469597888138,0.149556902687765
"RCP_MFM_AF0","AA0117",3.16583825552,0.4385410426,0.033748074,0.028164807,1.1558418364,0.06075991452,0,0.002129278,0,0,0,0.002458003,0,0,0,0,0.854035519800696,0.411558294672506,0.178601485526798
"RCP_MFM_AF0","AA0118",1.679079048187,0.48421708759,0.021614074,0.070899284,0.04416077041,0.046079097187,0,0,0,0.007964355,0,0,0.002046212,0,0.007780647,0,0.715982238035074,0.0759153437845966,0.20241993918033
"RCP_MFM_AF0","AA0119",3.149024994064,0.50490032446,0.000454611,0.073692136,0.01413569754,0.003564129064,0,0,0,0.098602137,0,0,0.000704901,0,0.000805915,0,0.997282505239603,0.523181036065711,0.931701601694686
"RCP_MFM_AF0","AA0120",7.0192252274,5.08347781096,0.039800155,0.091375202,1.00051496504,0.0504918284,0,0,0,0.1240605815,0,0,6.9e-05,0,7.88785e-05,0,0.25609906411381,0.134224828210319,0.239032913675872
"RCP_MFM_AF0","AA0121",8.15981916494,3.96629804884,0.050497961,0.486844555,1.04521781416,0.02435488194,0,0,0,0.095630572,0,0,0.010729777,0,0.029193348,0,1.4029658335255,0.345447599270189,0.702638774204314
"RCP_MFM_AF0","AA0122",10.15973011717,6.00597479962,0.055838541,0.484988559,0.95334470638,0.02562778517,0,0,0,0.0887128655,0,0,0.013279626,0,0.0369138655,0,1.55651762638096,0.300773016020281,0.637758726598755
"RCP_MFM_AF0","AA0123",10.45893022377,2.16035034325,2.004829126,0.516238662,0.49686929475,0.83510938377,0,0,0,0.1077780875,0,0,0.003667909,0,0.0139470895,0,3.14278504852102,0.321121094839849,0.856234184639127
"RCP_MFM_AF0","AA0124",7.580149842716,1.7195633334,1.141420849,0.2739997,0.2855976536,0.336470755716,0,0,0,0.158478117,0,0,0.000553297,0,0.002103892,0,2.64557230108737,0.277218149238583,0.739171794674047
"RCP_MFM_AF0","AA0125",0.304564617308,0.15515624165,0.000117935,0.002686109,0.02151515835,0.037083914308,0,0,0,0.0005817785,0,0,0.000107848,0,0.0001233025,0,0.0354606562891177,0.0186028961697803,0.033128777541102
"RCP_MFM_AF0","AA0126",0.70999702671,0.13478512231,0,0.10293693,0.13800626469,0.03173772071,0,0,0,0.000294719,0,0,0,0,0,0,0.123113924434189,0.0644130405459376,0.114709305019873
"RCP_MFM_AF0","AA0127",1.799032205459,0.99695161546,0.004808734,0.035525782,0.00674768554,0.005685634459,0,0,0,0.0048594975,0,0,0.000563858,0,0.0021440495,0,0.537446607618492,0.0557220379016481,0.14857670347986
"RCP_MFM_AF0","AA0128",5.956844337258,3.05178680184,0.037202554,0.194382791,0.11619536116,0.098013549258,0,0,0,0.035097795,0,0,0.004233833,0,0.016098994,0,1.79841110419489,0.165127413607536,0.440294140197579
"RCP_MFM_AF0","AA0201",3.41017543014,0.68322390678,1.114284557,0.210707015,0.95866725222,0.20884099114,0,0,0,0.0066164735,0,0,1.57e-05,0,5.97805e-05,0,0.168556077798971,0.0161476740722066,0.0430560021288221
"RCP_MFM_AF0","AA0202",0.354033904991,0.12015242811,0,0.002549551,0.06014809389,0.007467698991,0,0,0,0.111546017,0,0,0,0,0,0,0.0212173083577351,0.0111307410997434,0.0198220665425214
"RCP_MFM_AF0","AA0203",0.966663169,0.16833095373,0.402247443,0.056790873,0.29378817127,0,0,0,0,0.001898374,0,0,0,0,0,0,0.0348981312946466,0.00237542157332899,0.00633380113202439
"RCP_MFM_AF0","AA0204",3.14507264278827,0.91143426307,0.49594132,0.237745927,0.97750599193,0.18567415221,0,0,0,0.012436064,0,0,3.13e-05,0,0.000119013,0,0.244960413901578,0.0307196284331471,0.0485045692435433
"RCP_MFM_AF0","AA0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCP_MFM_AF0","AA0402",23.9615173046,2.15551790027,1.301204139,0.175699566,5.34207089773,1.1307623756,0,0.011571652,0,0,0,0.013358123,0,0,0,0,8.01849162856709,4.05368684661458,1.75915417581832
"RCP_MFM_AF0","AA0403",0.929939223,0.45009066256,0.000611814,0.155020578,0.18438475244,0,0,0.001165238,0,0,0,0.001345131,0,0,0,0,0.0795871695952017,0.0402617340706037,0.0174721433341946
"RCP_MFM_AF0","AA0404",1.3466159,0.11178122256,0.002293018,0.155479797,0.34704108544,0,0,0.001834204,0,0,0,0.002117375,0,0,0,0,0.420738976617083,0.212927396004341,0.0924028253785759
"RCP_MFM_AF0","AA0405",8.11182924056,1.37711098959,0.052944714,0.966044979,2.70155954741,0.23260185156,0,0.006998496,0,0,0,0.008078947,0,0,0,0,1.60308355616338,0.81132173221318,0.352084427623441
"RCP_MFM_AF0","AA0406",2.57137627523,0.51252013981,0.030762703,0.322316569,1.01334652119,0.13654008723,0,0.001389052,0,0,0,0.001603499,0,0,0,0,0.320377096202903,0.162152332354588,0.0703682754425095
"RCP_MFM_AF0","AA0407",0.115401392,0.01445888276,0.000260887,0.00797053,0.03143510324,0,0,0.000155883,0,0,0,0.000179949,0,0,0,0,0.0353118314664027,0.017872363224002,0.00775596230959529
"RCP_MFM_AF0","AA0408",1.200116617206,0.08997528666,0.003235689,0.115668073,0.29660448534,0.019348129206,0,0.001702603,0,0,0,0.001965456,0,0,0,0,0.389191795135022,0.196954106960473,0.0854709929045058
"RCP_MFM_AF0","AA0409",28.0968122788,3.31283667134,3.349854237,0.425543831,9.89616160666,0.6408643498,0,0.005104928,0,0,0,0.005893044,0,0,0,0,6.08106789294566,3.05411133414809,1.32537438390625
"RCP_MFM_AF0","AA0410",1.112410841665,0.24022115597,0.006732355,0.099025479,0.53945898803,0.013238193665,0,0.00070348,0,0,0,0.000812085,0,0,0,0,0.123019318643122,0.0622050386859488,0.0269947476709296
"RCP_MFM_AF0","AA0411",1.98514030965,0.10381267547,0.082683613,0.010570848,0.21282770953,0.05609260265,0,0.000769845,0,0,0,0.000888696,0,0,0,0,0.881595174420617,0.44345544498131,0.192443700598073
"RCP_MFM_AF0","AA0412",1.760686213997,0.09468501261,0.106339835,0.012355089,0.22002209339,0.011795569997,0,0.001016198,0,0,0,0.001173082,0,0,0,0,0.761060641806089,0.385113357495739,0.167125334698172
"RCP_MFM_AF0","AA0413",3.242163786597,0.09345719187,0.062636495,0.012893543,0.18169901313,0.021469634597,0,0.000539812,0,0,0,0.00062315,0,0,0,0,1.67488568456462,0.832628475275629,0.361330787159748
"RCP_MFM_AF0","AA0414",0.435288231,0.06477717637,0.000554774,0.075863082,0.14049002563,0,0,0.000394484,0,0,0,0.000455385,0,0,0,0,0.0885578694948968,0.0447678144751891,0.0194276200299141
"RCP_MFM_AF0","AA0701",14.504080664924,5.30671424698,0.000548925,0.084572065,4.34666317902,0.015699139924,0,0.015881063,0,0,0,0.018332836,0,0,0,0,2.73294548218662,1.38268723759863,0.600036490214753
"RCP_MFM_AF0","AA0702",34.59009355253,9.4898723252,0.646506886,1.168167899,15.5934552388,0.06941565653,0,0.017823944,0,0,0,0.020575665,0,0,0,0,4.41948549807774,2.20702223389467,0.957768206027588
"RCP_MFM_AF0","AA0703",11.399703771,2.59424390251,0.006738973,0.000820003,2.48489682549,0,0,0.016701162,0,0,0,0.019279545,0,0,0,0,3.63722710788213,1.84090831035216,0.798887941765709
"RCP_MFM_AF0","AA0704",35.080894264,6.77196162922,0.117678319,0.006371502,24.17376593078,0,0,0.007743265,0,0,0,0.008938696,0,0,0,0,2.32115207358463,1.1668932019834,0.506389646431974
"RCP_MFM_AF0","AA0705",12.882629937,2.55473214713,0.123665657,0.050683965,6.78585990687,0,0,0.00614089,0,0,0,0.007088941,0,0,0,0,1.94617651396524,0.982090144444716,0.426191771590046
"RCP_MFM_AF0","AA0706",33.63930221858,7.04252468999,0.002344922,0.045890517,22.41176496201,0.00848602158,0,0.004721097,0,0,0,0.005449956,0,0,0,0,2.38670266042101,1.20743434805991,0.523983044519081
"RCP_MFM_AF0","AA0707",44.028582729422,4.91821278885,0.715687965,0.053878328,37.53198869915,0.007637419422,0,0.001987153,0,0,0,0.002293936,0,0,0,0,0.473909287743629,0.225240767066285,0.0977463851900864
"RCP_MFM_AF0","AA0708",2.54206583028,0.5468538086,0.016298802,0.144804864,0.5516589471,0.07561045228,0,0,0,0.1508909543,0,0,0.002633464,0,0.004986473,0,0.521999382451151,0.180607821808011,0.345720860740837
"RCP_MFM_AF0","AA0709",22.384079331,6.58475782853,0.00197403,0.00169252,14.05455437047,0,0,0.003652795,0,0,0,0.004216726,0,0,0,0,1.00572299991506,0.507340532219098,0.220167528865845
"RCP_MFM_AF0","AA0801",5.02419037647,0.84147775977,0.029687611,0.689013845,2.72344541623,0.08630283947,0,0.001670788,0,0,0,0.00192873,0,0,0,0,0.377570167245249,0.190446356359514,0.0826468633952367
"RCP_MFM_AF0","AA0802",24.07941935,6.1919192375,0.41908286,0.533896663,16.5244868195,0,0,0.000803058,0,0,0,0.000927037,0,0,0,0,0.256872446408989,0.105603228634171,0.0458279999568405
"RCP_MFM_AF0","AA0803",31.99414584692,4.62289921155,2.768045463,0.523188568,19.38897697345,0.05108584992,0,0.006810801,0,0,0,0.007862276,0,0,0,0,2.68012973923139,1.3564824214846,0.58866454328401
"RCP_MFM_AF0","AA1001",1.29183074,0.11387730144,0.02548601,0.019700927,0.23394071956,0,0,2.5e-05,0,0,0,2.88e-05,0,0,0,0,0.522779883072736,0.262204698179504,0.11378740074776
"RCP_MFM_AF0","AA1002",1.27540959748,0.85320122158,0.005179954,0.036397717,0.09188477542,0.00687367748,0,0,0,0.011566083,0,0,0.000713175,0,0.002593088,0,0.171608677488516,0.0304755112709861,0.064915717240498
"RCP_MFM_AF0","AA1003",3.596426154,0.573092,0.00996956,0.599717965,1.598509283,0,0,0.002181597,0,0,0,0.002518399,0,0,0,0,0.470114637842734,0.237330024432478,0.102992687724788
"RCP_MFM_AF0","AA1201",13.074565738422,5.5510998396,0.450323691,0.526424432,5.7628504864,0.007637419422,0,8.56e-06,0,0,0,9.89e-06,0,0,0,0,0.44977643961989,0.227645170603324,0.0987898097767854
"RCP_MFM_AF0","AA1202",11.083931400985,3.01022101812,1.115930539,0.589551369,3.77558582088,0.003139827985,0,0.000724777,0,0,0,0.000836671,0,0,0,0,1.50025128749296,0.758519800570083,0.329170289936954
"RCP_MFM_AF0","AA1203",5.722425659666,1.37194864913,1.332801032,0.41492352,2.50509811287,0.029361634666,0,0.000682387,0,0,0,0.000787736,0,0,0,0,0.0432152122193986,0.016463018395927,0.00714435738467448
"RCP_MFM_AF0","AA1204",1.03991404028,0.08070418678,0.049208645,0.000213274,0.20051992222,0.00364898928,0,0.001555385,0,0,0,0.00179551,0,0,0,0,0.406972362289453,0.205929691987485,0.0893660737230619
