"Scenario","Ecoregion","fr_Annual_EU","fr_Permanent_EU","fr_Pasture_EU","fr_Urban_EU","fr_Annual_RoW","fr_Permanent_RoW","fr_Pasture_RoW","fr_Urban_RoW","fr_For_ClearCut_EU","fr_For_ClearCut_im","fr_For_ClearCut_ex","fr_For_Retention_EU","fr_For_PlantationFuel_im","fr_For_PlantationTimber_im","fr_For_TimberPlant_EU","fr_For_TimberPlant_ex","fr_For_SelectionSystem_EU","fr_For_SelectionSystem_im","fr_For_SelectionSystem_ex","fr_For_Selective_im","fr_EP_EU","fr_EP_conv_EU","fr_EP_RoW","fr_EP_conv_im","fr_Afforested_EU","fr_Afforested_RoW","fr_Regrowth","fr_ForOther_Extensive_EU","fr_ForOther_Extensive_RoW","fr_ForOther_Intensive_EU","fr_ForOther_Intensive_RoW"
"RCP_MFM_AF0","AA0101",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0102",0,0,0,0,1,1,1,1,0,0,0,0,0.0781054260580873,1,0,0,0,0,0,1,0,0,0.921894573941913,0,0,0.541352704306049,0.458647295693951,0,1,0,1
"RCP_MFM_AF0","AA0103",0,0,0,0,1,1,1,1,0,0,0,0,0.428209763161219,1,0,0,0,0,0,1,0,0,0.188203737718301,0.38358649912048,0,0.194787153603514,0.805212846396486,0,1,0,1
"RCP_MFM_AF0","AA0104",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.285446262210117,0.714553737789883,0,1,0,1
"RCP_MFM_AF0","AA0105",0,0,0,0,1,1,1,1,0,0,0,0,0.2410559932858,1,0,0,0,0,0,1,0,0,0.675790828454598,0.0831531782596023,0,0.625815441460206,0.374184558539794,0,1,0,1
"RCP_MFM_AF0","AA0106",0,0,0,0,1,1,1,1,0,0,0,0,0.732553895845967,1,0,0,0,0,0,1,0,0,0.267446104154033,0,0,0.131287767868467,0.868712232131533,0,1,0,1
"RCP_MFM_AF0","AA0107",0,0,0,0,1,1,1,0,0,0,0,0,0.00254994260495792,1,0,0,0,0,0,1,0,0,0.997450057395042,0,0,0.947401434129508,0.0525985658704923,0,1,0,1
"RCP_MFM_AF0","AA0108",0,0,0,0,1,1,1,1,0,0,0,0,0.452938502414503,1,0,0,0,0,0,1,0,0,0.141338506029723,0.405722991555773,0,0.231382262250903,0.768617737749097,0,1,0,1
"RCP_MFM_AF0","AA0110",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0111",0,0,0,0,1,1,1,1,0,0,0,0,0.071695727151675,1,0,0,0,0,0,1,0,0,0.928304272848325,0,0,0.916725711443226,0.0832742885567742,0,1,0,1
"RCP_MFM_AF0","AA0112",0,0,0,0,1,1,1,0,0,0,0,0,0.0135107413150749,1,0,0,0,0,0,1,0,0,0.986489258684925,0,0,0.934203068052857,0.0657969319471426,0,1,0,1
"RCP_MFM_AF0","AA0113",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.98695697575648,0.0130430242435202,0,1,0,1
"RCP_MFM_AF0","AA0115",0,0,0,0,1,1,1,1,0,0,0,0,0.323584015256989,1,0,0,0,0,0,1,0,0,0.619314874315772,0.0571011104272382,0,0.651039366007507,0.348960633992493,0,1,0,1
"RCP_MFM_AF0","AA0116",0,0,0,0,1,1,1,1,0,0,0,0,0.491378652068409,1,0,0,0,0,0,1,0,0,0.452110262978504,0.0565110849530865,0,0.46899568428791,0.531004315712091,0,1,0,1
"RCP_MFM_AF0","AA0117",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.999996494887776,3.50511222443513e-06,0,0.128383152525682,0.871616847474318,0,1,0,1
"RCP_MFM_AF0","AA0118",0,0,0,0,1,1,1,1,0,0,0,0,0.581357792707904,1,0,0,0,0,0,1,0,0,0.417981103057852,0.000661104234243785,0,0.228833713371008,0.771166286628992,0,1,0,1
"RCP_MFM_AF0","AA0119",0,0,0,0,1,1,1,1,0,0,0,0,0.0118285763092985,1,0,0,0,0,0,1,0,0,0.988171423690702,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0120",0,0,0,0,1,1,1,1,0,0,0,0,0.000916446570017436,1,0,0,0,0,0,1,0,0,0.999083553429983,0,0,0.947694609992154,0.0523053900078462,0,1,0,1
"RCP_MFM_AF0","AA0121",0,0,0,0,1,1,1,1,0,0,0,0,0.21840159337298,1,0,0,0,0,0,1,0,0,0.759395218392508,0.022203188234512,0,0.662745978164116,0.337254021835884,0,1,0,1
"RCP_MFM_AF0","AA0122",0,0,0,0,1,1,1,1,0,0,0,0,0.31516214941038,1,0,0,0,0,0,1,0,0,0.617982280793363,0.066855569796257,0,0.619024896071063,0.380975103928937,0,1,0,1
