"Scenario","Ecoregion","fr_Annual_EU","fr_Permanent_EU","fr_Pasture_EU","fr_Urban_EU","fr_Annual_RoW","fr_Permanent_RoW","fr_Pasture_RoW","fr_Urban_RoW","fr_For_ClearCut_EU","fr_For_ClearCut_im","fr_For_ClearCut_ex","fr_For_Retention_EU","fr_For_PlantationFuel_im","fr_For_PlantationTimber_im","fr_For_TimberPlant_EU","fr_For_TimberPlant_ex","fr_For_SelectionSystem_EU","fr_For_SelectionSystem_im","fr_For_SelectionSystem_ex","fr_For_Selective_im","fr_EP_EU","fr_EP_conv_EU","fr_EP_RoW","fr_EP_conv_im","fr_Afforested_EU","fr_Afforested_RoW","fr_Regrowth","fr_ForOther_Extensive_EU","fr_ForOther_Extensive_RoW","fr_ForOther_Intensive_EU","fr_ForOther_Intensive_RoW"
"RCP_MFM_AF0","AA0101",0,0,0,0,1,1,1,0,0,0,0,0,0.036082573334786,1,0,0,0,0,0,1,0,0,0.963917426665214,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0102",0,0,0,0,1,1,1,1,0,0,0,0,0.741522550468496,1,0,0,0,0,0,1,0,0,0.258477449531504,0,0,0.333409669804542,0.666590330195458,0,1,0,1
"RCP_MFM_AF0","AA0103",0,0,0,0,1,1,1,1,0,0,0,0,0.193012247228519,1,0,0,0,0,0,1,0,0,0.287939606212162,0.519048146559319,0,0.182119655661007,0.817880344338993,0,1,0,1
"RCP_MFM_AF0","AA0104",0,0,0,0,1,1,1,1,0,0,0,0,0.718490034399036,1,0,0,0,0,0,1,0,0,0.281509965600964,0,0,0.246846599411545,0.753153400588454,0,1,0,1
"RCP_MFM_AF0","AA0105",0,0,0,0,1,1,1,1,0,0,0,0,0.148046943233763,1,0,0,0,0,0,1,0,0,0.764376009768316,0.0875770469979208,0,0.276944024775241,0.723055975224759,0,1,0,1
"RCP_MFM_AF0","AA0106",0,0,0,0,1,1,1,1,0,0,0,0,0.913054374873858,1,0,0,0,0,0,1,0,0,0.0869456251261419,0,0,0.0959750238015147,0.904024976198485,0,1,0,1
"RCP_MFM_AF0","AA0107",0,0,0,0,1,1,1,0,0,0,0,0,0.00706765387639662,1,0,0,0,0,0,1,0,0,0.992932346123603,0,0,1.07256472212296e-06,0.999998927435278,0,1,0,1
"RCP_MFM_AF0","AA0108",0,0,0,0,1,1,1,1,0,0,0,0,0.210596562651801,1,0,0,0,0,0,1,0,0,0.223056757111024,0.566346680237175,0,0.224194889421189,0.775805110578811,0,1,0,1
"RCP_MFM_AF0","AA0110",0,0,0,0,1,1,1,0,0,0,0,0,0.0435085276714236,1,0,0,0,0,0,1,0,0,0.956491472328576,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0111",0,0,0,0,1,1,1,1,0,0,0,0,0.102304733517176,1,0,0,0,0,0,1,0,0,0.897695266482824,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0112",0,0,0,0,1,1,1,0,0,0,0,0,0.0800871588757108,1,0,0,0,0,0,1,0,0,0.919912841124289,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0113",0,0,0,0,0,1,1,1,0,0,0,0,0.000318813618413958,1,0,0,0,0,0,1,0,0,0.999681186381586,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0115",0,0,0,0,1,1,1,1,0,0,0,0,0.162602160662958,1,0,0,0,0,0,1,0,0,0.77287252184584,0.0645253174912024,0,0.172625696212526,0.827374303787474,0,1,0,1
"RCP_MFM_AF0","AA0116",0,0,0,0,1,1,1,1,0,0,0,0,0.303656012422143,1,0,0,0,0,0,1,0,0,0.622823303119155,0.0735206844587016,0,0.199988937135623,0.800011062864377,0,1,0,1
"RCP_MFM_AF0","AA0117",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0491708026104814,0.950829197389519,0,1,0,1
"RCP_MFM_AF0","AA0118",0,0,0,0,1,1,1,1,0,0,0,0,0.977984207946366,1,0,0,0,0,0,1,0,0,0.021079903786194,0.000935888267439953,0,0.123898696940023,0.876101303059977,0,1,0,1
"RCP_MFM_AF0","AA0119",0,0,0,0,1,1,1,1,0,0,0,0,0.0144821448982377,1,0,0,0,0,0,1,0,0,0.985517855101762,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0120",0,0,0,0,1,1,1,1,0,0,0,0,0.00423960201600141,1,0,0,0,0,0,1,0,0,0.995760397983999,0,0,0.00300593259912879,0.996994067400871,0,1,0,1
"RCP_MFM_AF0","AA0121",0,0,0,0,1,1,1,1,0,0,0,0,0.185655178139926,1,0,0,0,0,0,1,0,0,0.791974014190939,0.0223708076691358,0,0.125984254111519,0.874015745888481,0,1,0,1
"RCP_MFM_AF0","AA0122",0,0,0,0,1,1,1,1,0,0,0,0,0.228345138899197,1,0,0,0,0,0,1,0,0,0.698960203030033,0.0726946580707704,0,0.179888471812122,0.820111528187878,0,1,0,1
"RCP_MFM_AF0","AA0123",0,0,0,0,1,1,1,1,0,0,0,0,0.0942737507035182,1,0,0,0,0,0,1,0,0,0.903626892520118,0.00209935677636381,0,0.152757823317833,0.847242176682167,0,1,0,1
"RCP_MFM_AF0","AA0124",0,0,0,0,1,1,1,1,0,0,0,0,0.0783242812950332,1,0,0,0,0,0,1,0,0,0.918909534486421,0.00276618421854599,0,0.136732614986966,0.863267385013034,0,1,0,1
"RCP_MFM_AF0","AA0125",0,0,0,0,1,1,1,1,0,0,0,0,0.183400704075462,1,0,0,0,0,0,1,0,0,0.816599295924538,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0126",0,0,0,0,0,1,1,1,0,0,0,0,0.560037828037682,1,0,0,0,0,0,1,0,0,0.439962171962318,0,0,0.00544083760239218,0.994559162397608,0,1,0,1
"RCP_MFM_AF0","AA0127",0,0,0,0,1,1,1,1,0,0,0,0,0.683378946595401,1,0,0,0,0,0,1,0,0,0.282657320310529,0.0339637330940697,0,0.155195550413599,0.844804449586401,0,1,0,1
"RCP_MFM_AF0","AA0128",0,0,0,0,1,1,1,1,0,0,0,0,0.53798201188548,1,0,0,0,0,0,1,0,0,0.440983550594423,0.0210344375200969,0,0.269419696109625,0.730580303890375,0,1,0,1
"RCP_MFM_AF0","AA0201",0,0,0,0,1,1,1,1,0,0,0,0,0.544932029333604,1,0,0,0,0,0,1,0,0,0.414934192928787,0.0401337777376098,0,0.248094589548414,0.751905410451586,0,1,0,1
"RCP_MFM_AF0","AA0202",0,0,0,0,0,1,1,1,0,0,0,0,0.000132663065742876,1,0,0,0,0,0,1,0,0,0.999867336934257,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0203",0,0,0,0,1,1,1,0,0,0,0,0,0.414892405314387,1,0,0,0,0,0,1,0,0,0.519170753550288,0.0659368411353244,0,0.521468775460339,0.478531224539661,0,1,0,1
"RCP_MFM_AF0","AA0204",0,0,0,0,1,1,1,1,0,0,0,0,0.164484922252709,1,0,0,0,0,0,1,0,0,0.833572021946981,0.0019430558003094,0,0.680072607114973,0.319927392885027,0,1,0,1
"RCP_MFM_AF0","AA0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RCP_MFM_AF0","AA0402",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00119386964280665,0.998806130357193,0,1,0,1
"RCP_MFM_AF0","AA0403",0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000499596023775774,0.999500403976224,0,1,0,1
