"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem","For_Selective_im","For_Agroforestry","For_TimberPlant","For_ReducedImpactLogging_im","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0101",0.117213258,0.09481394289,0.000850782,0.000920027,0.02032195011,0,0,0,0,0,0,0,0,0,0,0,0.000238076022188583,1.79461208851641e-05,5.05338569262525e-05
"RCP_MFM_AF0","AA0102",0.469785222574,0.16968156937,0.050867413,0.050677369,0.08208326463,0.004158150574,0,0,0,0.0017803565,0,0,0.000789412,0,0.0017803565,0,0.0805659741215836,0.00539670572350667,0.0220046511549097
"RCP_MFM_AF0","AA0103",0.198003663425,0.08018857879,0.000846091,0.005955758,0.00687166621,0.023760860425,0,0,0,0.0001865795,0,0,8.27e-05,0,0.0001865795,0,0.0596404795518327,0.00399501304191183,0.0162893574062555
"RCP_MFM_AF0","AA0104",0.8358089544,0.28146446396,0.001940916,0.037776619,0.04400646904,0.0343683874,0,0,0,0,0,0,0,0,0,0,0.325534353706683,0.021805894225218,0.0889118510680989
"RCP_MFM_AF0","AA0105",14.9615420781,10.58570867761,0.065573508,0.326179199,1.36533718639,0.2057011631,0,0,0,0.0179480095,0,0,0.00851732,0,0.0179480095,0,1.80817613173046,0.129844178031551,0.430608695237985
"RCP_MFM_AF0","AA0106",2.340748847143,0.93224723974,0.002482622,0.033511454,0.05368688426,0.160894969143,0,0,0,0.0021351205,0,0,0.000946714,0,0.0021351205,0,0.861659882586026,0.0573221592584451,0.233726681155529
"RCP_MFM_AF0","AA0107",1.541311367,1.09188251946,0.009011354,0.018618245,0.19664993654,0,0,0,0,1.16e-05,0,0,1.31e-05,0,1.16e-05,0,0.174826166964114,0.0131783599935262,0.0371084850423601
"RCP_MFM_AF0","AA0108",0.102730917891,0.04965676703,0.000754417,0.004714703,0.00549338297,0.005855354891,0,0,0,0.000392592,0,0,0.000174076,0,0.000392592,0,0.0263388917824289,0.00176430868717042,0.00719383253040067
"RCP_MFM_AF0","AA0110",0.016467488,0.01170523509,2.86e-05,0.0002064,0.00166093791,0,0,0,0,0,0,0,0,0,0,0,0.00222602354395109,0.00016779719035008,0.000472494265698833
"RCP_MFM_AF0","AA0111",2.74524618438,2.10132360394,0.006589335,0.02298086,0.30789413206,0.04497591438,0,0,0,9.1109e-05,0,0,0.000102552,0,9.1109e-05,0,0.202849979230053,0.0152907891158059,0.0430568006541414
