"Scenario","Ecoregion","fr_Annual_EU","fr_Permanent_EU","fr_Pasture_EU","fr_Urban_EU","fr_Annual_RoW","fr_Permanent_RoW","fr_Pasture_RoW","fr_Urban_RoW","fr_For_ClearCut_EU","fr_For_ClearCut_im","fr_For_ClearCut_ex","fr_For_Retention_EU","fr_For_PlantationFuel_im","fr_For_PlantationTimber_im","fr_For_TimberPlant_EU","fr_For_TimberPlant_ex","fr_For_SelectionSystem_EU","fr_For_SelectionSystem_im","fr_For_SelectionSystem_ex","fr_For_Selective_im","fr_EP_EU","fr_EP_conv_EU","fr_EP_RoW","fr_EP_conv_im","fr_Afforested_EU","fr_Afforested_RoW","fr_Regrowth","fr_ForOther_Extensive_EU","fr_ForOther_Extensive_RoW","fr_ForOther_Intensive_EU","fr_ForOther_Intensive_RoW"
"RCP_MFM_AF0","AA0101",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0102",0,0,0,0,1,1,1,1,0,0,0,0,0.833115681567867,1,0,0,0,0,0,1,0,0,0.166884318432133,0,0,0.423678659120637,0.576321340879363,0,1,0,1
"RCP_MFM_AF0","AA0103",0,0,0,0,1,1,1,1,0,0,0,0,0.622733751116245,1,0,0,0,0,0,1,0,0,0.161251850552258,0.216014398331497,0,0.172309617883548,0.827690382116452,0,1,0,1
"RCP_MFM_AF0","AA0104",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.09048280348888,0.90951719651112,0,1,0,1
"RCP_MFM_AF0","AA0105",0,0,0,0,1,1,1,1,0,0,0,0,0.209477118345003,1,0,0,0,0,0,1,0,0,0.762423946217279,0.028098935437718,0,0.243745944234021,0.756254055765979,0,1,0,1
"RCP_MFM_AF0","AA0106",0,0,0,0,1,1,1,1,0,0,0,0,0.99832370267843,1,0,0,0,0,0,1,0,0,0.00167629732156961,0,0,0.0886466777994347,0.911353322200565,0,1,0,1
"RCP_MFM_AF0","AA0107",0,0,0,0,1,1,1,0,0,0,0,0,0.00175722857699715,1,0,0,0,0,0,1,0,0,0.998242771423003,0,0,2.30445481017005e-07,0.999999769554519,0,1,0,1
"RCP_MFM_AF0","AA0108",0,0,0,0,1,1,1,1,0,0,0,0,0.624863749491778,1,0,0,0,0,0,1,0,0,0.158259753750267,0.216876496757955,0,0.212858343311482,0.787141656688518,0,1,0,1
"RCP_MFM_AF0","AA0110",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0111",0,0,0,0,1,1,1,1,0,0,0,0,0.0504739173070015,1,0,0,0,0,0,1,0,0,0.949526082692999,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0112",0,0,0,0,1,1,1,0,0,0,0,0,0.009340411864169,1,0,0,0,0,0,1,0,0,0.990659588135831,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0113",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0115",0,0,0,0,1,1,1,1,0,0,0,0,0.2781427258683,1,0,0,0,0,0,1,0,0,0.702830736955143,0.0190265371765579,0,0.178997878393556,0.821002121606444,0,1,0,1
"RCP_MFM_AF0","AA0116",0,0,0,0,1,1,1,1,0,0,0,0,0.454673713732888,1,0,0,0,0,0,1,0,0,0.525063623423279,0.0202626628438328,0,0.201346510561937,0.798653489438063,0,1,0,1
"RCP_MFM_AF0","AA0117",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0478756188144749,0.952124381185525,0,1,0,1
"RCP_MFM_AF0","AA0118",0,0,0,0,1,1,1,1,0,0,0,0,0.976933725329923,1,0,0,0,0,0,1,0,0,0.0226353546520716,0.000430920018005225,0,0.106162648962636,0.893837351037364,0,1,0,1
"RCP_MFM_AF0","AA0119",0,0,0,0,1,1,1,1,0,0,0,0,0.008173402976043,1,0,0,0,0,0,1,0,0,0.991826597023957,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0120",0,0,0,0,1,1,1,1,0,0,0,0,0.000635806305647536,1,0,0,0,0,0,1,0,0,0.999364193694352,0,0,0.000941147523650802,0.999058852476349,0,1,0,1
"RCP_MFM_AF0","AA0121",0,0,0,0,1,1,1,1,0,0,0,0,0.3052721257382,1,0,0,0,0,0,1,0,0,0.682619717050317,0.0121081572114825,0,0.0714313068823417,0.928568693117658,0,1,0,1
"RCP_MFM_AF0","AA0122",0,0,0,0,1,1,1,1,0,0,0,0,0.416104984231402,1,0,0,0,0,0,1,0,0,0.549475115308952,0.0344199004596464,0,0.148273772868611,0.851726227131389,0,1,0,1
"RCP_MFM_AF0","AA0123",0,0,0,0,1,1,1,1,0,0,0,0,0.129405613177168,1,0,0,0,0,0,1,0,0,0.865745924467253,0.00484846235557854,0,0.138638727521325,0.861361272478675,0,1,0,1
"RCP_MFM_AF0","AA0124",0,0,0,0,1,1,1,1,0,0,0,0,0.013275599431813,1,0,0,0,0,0,1,0,0,0.983301681960292,0.00342271860789462,0,0.116649195288732,0.883350804711268,0,1,0,1
"RCP_MFM_AF0","AA0125",0,0,0,0,1,1,1,1,0,0,0,0,0.211940626888068,1,0,0,0,0,0,1,0,0,0.788059373111932,0,0,0,1,0,1,0,1
