"Scenario","Ecoregion","A_org","A_new","Annual","Permanent","Pasture","Urban","For_PlantationNonTimber","For_ClearCut","For_Retention_EU","For_PlantationFuel","For_SlashAndBurn","For_SelectionSystem_EU","For_Selective_im","For_Agroforestry","For_TimberPlant","For_RIL","Secondary","ForOther_Extensive","ForOther_Intensive"
"RCP_MFM_AF0","AA0101",0.117213258,0.09481394289,0.000850782,0.000920027,0.02032195011,0,0,0,0,0,0,0,0,0,0,0,0.000238076022188583,1.79461208851641e-05,5.05338569262525e-05
"RCP_MFM_AF0","AA0102",0.469785222574,0.16968156937,0.050867413,0.050677369,0.08208326463,0.004158150574,0,0,0,0.001819876,0,0,0,0,0.001819876,0,0.0810960594002006,0.00543221344606883,0.0221494311537305
"RCP_MFM_AF0","AA0103",0.198003663425,0.08018857879,0.000846091,0.005955758,0.00687166621,0.023760860425,0,0,0,0.000190716,0,0,0,0,0.000190716,0,0.0596960174974354,0.00399873324702539,0.0163045262555392
"RCP_MFM_AF0","AA0104",0.8358089544,0.28146446396,0.001940916,0.037776619,0.04400646904,0.0343683874,0,0,0,0,0,0,0,0,0,0,0.325534353706683,0.021805894225218,0.0889118510680989
"RCP_MFM_AF0","AA0105",14.9615420781,10.58570867761,0.065573508,0.326179199,1.36533718639,0.2057011631,0,0,0,0.0183841505,0,0,0,0,0.0183841505,0,1.81401223924514,0.130263266064078,0.431998537690779
"RCP_MFM_AF0","AA0106",2.340748847143,0.93224723974,0.002482622,0.033511454,0.05368688426,0.160894969143,0,0,0,0.0021833945,0,0,0,0,0.0021833945,0,0.86229428237456,0.0573646544806168,0.233899952144823
"RCP_MFM_AF0","AA0107",1.541311367,1.09188251946,0.009011354,0.018618245,0.19664993654,0,0,0,0,1.225e-05,0,0,0,0,1.225e-05,0,0.174835331022432,0.0131790507783304,0.0371104301992376
"RCP_MFM_AF0","AA0108",0.102730917891,0.04965676703,0.000754417,0.004714703,0.00549338297,0.005855354891,0,0,0,0.0004012955,0,0,0,0,0.0004012955,0,0.0264557992810468,0.00177213972718192,0.00722576299177133
"RCP_MFM_AF0","AA0110",0.016467488,0.01170523509,2.86e-05,0.0002064,0.00166093791,0,0,0,0,0,0,0,0,0,0,0,0.00222602354395109,0.00016779719035008,0.000472494265698833
"RCP_MFM_AF0","AA0111",2.74524618438,2.10132360394,0.006589335,0.02298086,0.30789413206,0.04497591438,0,0,0,9.6246e-05,0,0,0,0,9.6246e-05,0,0.202921643719332,0.0152961911700572,0.0430720121106108
"RCP_MFM_AF0","AA0112",1.170095821,0.93898510186,0.002978518,0.01038498,0.17180452314,0,0,0,0,7.55e-06,0,0,0,0,7.55e-06,0,0.0356680666518233,0.00268865142314364,0.00757087992503307
"RCP_MFM_AF0","AA0113",1.246390032538,0.63137886382,0,0.007446791,0.39484869018,0.006109935538,0,0,0,0,0,0,0,0,0,0,0.160453149171574,0.012094924910823,0.0340576779176033
"RCP_MFM_AF0","AA0115",11.79064442929,7.74861730298,0.056246439,0.279739442,1.24695624902,0.02842817229,0,0,0,0.0254294685,0,0,0,0,0.0254294685,0,1.81855983365783,0.129810947017869,0.431427106324302
"RCP_MFM_AF0","AA0116",1.99798207628,1.21040893603,0.00767355,0.059697224,0.15621641097,0.00526133338,0,0,0,0.0062229475,0,0,0,0,0.0062229475,0,0.41237039586198,0.0286374474924863,0.105270883545533
"RCP_MFM_AF0","AA0117",3.16549201952,0.29760373676,0.061702706,0.028164711,1.29992529224,0.06075991452,0,0.00128914,0,0,0,0,0,0,0,0,0.938759437047494,0.356436996115162,0.120850085837344
"RCP_MFM_AF0","AA0118",1.678938232187,0.52629420015,0.008498396,0.07090275,0.08854713785,0.046079097187,0,0,0,0.004687536,0,0,0,0,0.004687536,0,0.693406536153177,0.0464477847276754,0.189387258119148
"RCP_MFM_AF0","AA0119",3.150229694064,0.552900316,0.000238913,0.073692136,0.064107,0.003564129064,0,0,0,0.0002408815,0,0,0,0,0.0002408815,0,1.90678070935695,0.143732732078803,0.404731995564243
"RCP_MFM_AF0","AA0120",7.0191688754,5.21100310869,0.02655839,0.091375202,0.87028798831,0.0504918284,0,0,0,2.355e-05,0,0,0,0,2.355e-05,0,0.597531750399995,0.0450418186880991,0.126831688911906
"RCP_MFM_AF0","AA0121",8.15839014494,5.14776908714,0.039496415,0.4868648,1.12565685586,0.02435488194,0,0,0,0.0161000745,0,0,0,0,0.0161000745,0,0.99107108393099,0.070562015798856,0.240414856270154
"RCP_MFM_AF0","AA0122",10.15802358017,6.79440053095,0.046651065,0.485008877,1.09099960305,0.02562778517,0,0,0,0.020506958,0,0,0,0,0.020506958,0,1.26893470495667,0.0891897113786161,0.316197386664713
"RCP_MFM_AF0","AA0123",10.45855924377,2.57251456602,1.332593081,0.5162639,0.88177605598,0.83510938377,0,0,0,0.0084163805,0,0,0,0,0.0084163805,0,3.21540237809071,0.214295155850685,0.873771962058605
"RCP_MFM_AF0","AA0124",7.579839220716,1.95656929951,0.926209465,0.274013095,0.48335841049,0.336470755716,0,0,0,0.0012693535,0,0,0,0,0.0012693535,0,2.68693542035199,0.179962177113225,0.733781890534782
"RCP_MFM_AF0","AA0125",0.304593803308,0.19220859339,7.36e-05,0.002686109,0.02177231361,0.037083914308,0,0,0,3.685e-05,0,0,0,0,3.685e-05,0,0.0393709480891287,0.00296777385339273,0.00835685105747853
"RCP_MFM_AF0","AA0126",0.71015306271,0.13302603597,0.00252697,0.10293693,0.13617543303,0.03173772071,0,0,0,0,0,0,0,0,0,0,0.235896819216488,0.0177818530197528,0.0500713007637595
"RCP_MFM_AF0","AA0127",1.798978580459,1.08806796087,0.004492224,0.035527519,0.04258759313,0.005685634459,0,0,0,0.00129574,0,0,0,0,0.00129574,0,0.462667844279291,0.0309917707882046,0.126366553932505
"RCP_MFM_AF0","AA0128",5.956683498378,3.53474866382,0.018548719,0.194392294,0.23700068818,0.098013549258,0,0,0,0.0097199645,0,0,0,0,0.0097199645,0,1.38387040379224,0.0926984548170267,0.37797079651073
"RCP_MFM_AF0","AA0201",3.40989502414,0.84043060318,0.6544512,0.210723086,1.27594170282,0.20884099114,0,0,0,3.61e-05,0,0,0,0,3.61e-05,0,0.16374410466597,0.0109683865487401,0.0447227497852896
"RCP_MFM_AF0","AA0202",0.354061236991,0.17481020754,0,0.002549551,0.11703834246,0.007467698991,0,0,0,0,0,0,0,0,0,0,0.0405357651370543,0.00305557751946127,0.00860409434348446
"RCP_MFM_AF0","AA0203",0.966455532,0.19934767823,0.277358887,0.056798161,0.40265985577,0,0,0,0,0,0,0,0,0,0,0,0.0226033177926588,0.00151408154412425,0.00617355066321694
"RCP_MFM_AF0","AA0204",3.14480607221,1.15635258321,0.325909381,0.237762116,1.06613688579,0.18567415221,0,0,0,7.18505e-05,0,0,0,0,7.18505e-05,0,0.120316933506953,0.0173594576980516,0.0351508617949958
"RCP_MFM_AF0","AA0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCP_MFM_AF0","AA0402",23.9611403006,1.75739206384,1.228428786,0.175718935,5.76646034016,1.1307623756,0,0.007003656,0,0,0,0,0,0,0,0,9.21185387200245,3.4976431588429,1.18587711315465
"RCP_MFM_AF0","AA0403",0.929930185,0.48303507063,0.000635929,0.155020048,0.19436117337,0,0,0.000705658,0,0,0,0,0,0,0,0,0.0637571820444834,0.0242075468796255,0.00820757707589107
"RCP_MFM_AF0","AA0404",1.34660873,0.36193253997,0.002294823,0.155479265,0.32462217803,0,0,0.001110354,0,0,0,0,0,0,0,0,0.332261376979418,0.126140285827989,0.0427679071925923
"RCP_MFM_AF0","AA0405",8.11200659956,2.07229889655,0.042762226,0.966041675,2.89639728745,0.23260185156,0,0.004236776,0,0,0,0,0,0,0,0,1.25804739703133,0.477667246231539,0.16195324373713
"RCP_MFM_AF0","AA0406",2.57133937023,0.48663114978,0.030583656,0.322315467,1.07306191222,0.13654008723,0,0.000840785,0,0,0,0,0,0,0,0,0.345636629814283,0.131234560438447,0.0444951227472702
"RCP_MFM_AF0","AA0407",0.115401204,0.05579185444,0.000202076,0.007970503,0.03510491256,0,0,9.44e-05,0,0,0,0,0,0,0,0,0.0107645241357797,0.00408717558103478,0.00138575828318552
"RCP_MFM_AF0","AA0408",1.200113474206,0.37361966133,0.002900926,0.115667678,0.28684916167,0.019348129206,0,0.001030698,0,0,0,0,0,0,0,0,0.26565805613448,0.100846965581437,0.0341921982840825
"RCP_MFM_AF0","AA0409",28.0971735678,2.08661486433,3.172322954,0.425542376,11.25266516367,0.6408643498,0,0.003090359,0,0,0,0,0,0,0,0,6.97156704055203,2.6470300229047,0.897476437543271
"RCP_MFM_AF0","AA0410",1.112399338665,0.27193365987,0.005352649,0.09902514,0.61609192713,0.013238193665,0,0.000425994,0,0,0,0,0,0,0,0,0.0704930053091668,0.0267643183653876,0.00907445132544563
"RCP_MFM_AF0","AA0411",1.98538404165,0.07546842653,0.089630811,0.010570812,0.16419027447,0.05609260265,0,0.000466041,0,0,0,0,0,0,0,0,1.0533947425751,0.399962805112101,0.1356075263128
"RCP_MFM_AF0","AA0412",1.760659522997,0.07029838132,0.109213177,0.012355047,0.18541880568,0.011795569997,0,0.00061518,0,0,0,0,0,0,0,0,0.908871832002194,0.345088989647256,0.11700254035055
"RCP_MFM_AF0","AA0413",3.243645738597,0.07020992048,0.088248107,0.012893499,0.14255839152,0.021469634597,0,0.000326786,0,0,0,0,0,0,0,0,1.92780075900333,0.73196549033777,0.248173150658898
"RCP_MFM_AF0","AA0414",0.435259049,0.10480781355,0.00065862,0.075862823,0.13623944745,0,0,0.000238893,0,0,0,0,0,0,0,0,0.0778646467289289,0.029563343509935,0.0100234617611361
"RCP_MFM_AF0","AA0701",14.503729078924,5.04089233033,0.00038505,0.084571776,4.61234466967,0.015699139924,0,0.009614121,0,0,0,0,0,0,0,0,3.1428592237021,1.1929071796981,0.404455588599793
"RCP_MFM_AF0","AA0702",34.58833968353,8.1799768274,0.597220154,1.168163933,16.9526838206,0.06941565653,0,0.010787421,0,0,0,0,0,0,0,0,5.04506417327641,1.9155573282827,0.649470369440896
"RCP_MFM_AF0","AA0703",11.39947748,2.46216342557,0.00550684,0.00082,2.61739773643,0,0,0.010111594,0,0,0,0,0,0,0,0,4.17885236849706,1.58666589826299,0.537959617239948
