"Scenario","Ecoregion","fr_Annual_EU","fr_Permanent_EU","fr_Pasture_EU","fr_Urban_EU","fr_Annual_RoW","fr_Permanent_RoW","fr_Pasture_RoW","fr_Urban_RoW","fr_For_ClearCut_EU","fr_For_ClearCut_im","fr_For_ClearCut_ex","fr_For_Retention_EU","fr_For_PlantationFuel_im","fr_For_PlantationTimber_im","fr_For_TimberPlant_EU","fr_For_TimberPlant_ex","fr_For_SelectionSystem_EU","fr_For_SelectionSystem_im","fr_For_SelectionSystem_ex","fr_For_Selective_im","fr_For_ReducedImpactLogging_im","fr_EP_EU","fr_EP_conv_EU","fr_EP_RoW","fr_EP_conv_im","fr_Afforested_EU","fr_Afforested_RoW","fr_Regrowth","fr_ForOther_Extensive_EU","fr_ForOther_Extensive_RoW","fr_ForOther_Intensive_EU","fr_ForOther_Intensive_RoW"
"RCP_MFM_AF0","AA0101",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0102",0,0,0,0,1,1,1,1,0,0,0,0,0.802457877129831,1,0,0,0,0,0,1,1,0,0,0.197542122870169,0,0,0.397877480340082,0.602122519659918,0,1,0,1
"RCP_MFM_AF0","AA0103",0,0,0,0,1,1,1,1,0,0,0,0,0.331687705178504,1,0,0,0,0,0,1,1,0,0,0.238054700335661,0.430257594485834,0,0.115242551953968,0.884757448046032,0,1,0,1
"RCP_MFM_AF0","AA0104",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.17738730983767,0.82261269016233,0,1,0,1
"RCP_MFM_AF0","AA0105",0,0,0,0,1,1,1,1,0,0,0,0,0.174484346594764,1,0,0,0,0,0,1,1,0,0,0.743451237629021,0.0820644157762145,0,0.347816584056816,0.652183415943184,0,1,0,1
"RCP_MFM_AF0","AA0106",0,0,0,0,1,1,1,1,0,0,0,0,0.636144553501188,1,0,0,0,0,0,1,1,0,0,0.363855446498812,0,0,0.0939069645273466,0.906093035472653,0,1,0,1
"RCP_MFM_AF0","AA0107",0,0,0,0,1,1,1,0,0,0,0,0,0.00258179085718998,1,0,0,0,0,0,1,1,0,0,0.99741820914281,0,0,0.845778275649961,0.154221724350039,0,1,0,1
"RCP_MFM_AF0","AA0108",0,0,0,0,1,1,1,1,0,0,0,0,0.356288167322152,1,0,0,0,0,0,1,1,0,0,0.181550157297532,0.462161675380316,0,0.138250161570308,0.861749838429692,0,1,0,1
"RCP_MFM_AF0","AA0110",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0111",0,0,0,0,1,1,1,1,0,0,0,0,0.0725160650984398,1,0,0,0,0,0,1,1,0,0,0.92748393490156,0,0,0.388606717851942,0.611393282148058,0,1,0,1
"RCP_MFM_AF0","AA0112",0,0,0,0,1,1,1,0,0,0,0,0,0.013673916783189,1,0,0,0,0,0,1,1,0,0,0.986326083216811,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0113",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0115",0,0,0,0,1,1,1,1,0,0,0,0,0.23057293986924,1,0,0,0,0,0,1,1,0,0,0.711151160730643,0.058275899400117,0,0.277390195764243,0.722609804235757,0,1,0,1
"RCP_MFM_AF0","AA0116",0,0,0,0,1,1,1,1,0,0,0,0,0.376541143580014,1,0,0,0,0,0,1,1,0,0,0.560988854927034,0.062470001492952,0,0.21825670853589,0.78174329146411,0,1,0,1
"RCP_MFM_AF0","AA0117",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.999955048998789,4.49510012113541e-05,0,0.054538159989279,0.945461840010721,0,1,0,1
"RCP_MFM_AF0","AA0118",0,0,0,0,1,1,1,1,0,0,0,0,0.872097901890991,1,0,0,0,0,0,1,1,0,0,0.126464236412131,0.001437861696878,0,0.117158166760647,0.882841833239353,0,1,0,1
"RCP_MFM_AF0","AA0119",0,0,0,0,1,1,1,1,0,0,0,0,0.0119868840810088,1,0,0,0,0,0,1,1,0,0,0.988013115918991,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0120",0,0,0,0,1,1,1,1,0,0,0,0,0.00092778424638897,1,0,0,0,0,0,1,1,0,0,0.999072215753611,0,0,0.436169454859207,0.563830545140792,0,1,0,1
"RCP_MFM_AF0","AA0121",0,0,0,0,1,1,1,1,0,0,0,0,0.161949319812642,1,0,0,0,0,0,1,1,0,0,0.816670295218182,0.0213803849691756,0,0.198322415533297,0.801677584466703,0,1,0,1
"RCP_MFM_AF0","AA0122",0,0,0,0,1,1,1,1,0,0,0,0,0.243493682025734,1,0,0,0,0,0,1,1,0,0,0.68893416280936,0.0675721551649056,0,0.254868650279878,0.745131349720122,0,1,0,1
"RCP_MFM_AF0","AA0123",0,0,0,0,1,1,1,1,0,0,0,0,0.0112550848629477,1,0,0,0,0,0,1,1,0,0,0.987167869044429,0.00157704609262366,0,0.157721188426048,0.842278811573952,0,1,0,1
"RCP_MFM_AF0","AA0124",0,0,0,0,1,1,1,1,0,0,0,0,0.00228710141160292,1,0,0,0,0,0,1,1,0,0,0.995507144081951,0.00220575450644626,0,0.14148120617593,0.85851879382407,0,1,0,1
"RCP_MFM_AF0","AA0125",0,0,0,0,1,1,1,1,0,0,0,0,0.283548596297946,1,0,0,0,0,0,1,1,0,0,0.716451403702054,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0126",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.863631546225395,0.136368453774605,0,1,0,1
"RCP_MFM_AF0","AA0127",0,0,0,0,1,1,1,1,0,0,0,0,0.328628953466401,1,0,0,0,0,0,1,1,0,0,0.562903377896047,0.108467668637551,0,0.151022254884645,0.848977745115355,0,1,0,1
"RCP_MFM_AF0","AA0128",0,0,0,0,1,1,1,1,0,0,0,0,0.269580977033108,1,0,0,0,0,0,1,1,0,0,0.667464152375367,0.0629548705915255,0,0.273200772073663,0.726799227926337,0,1,0,1
"RCP_MFM_AF0","AA0201",0,0,0,0,1,1,1,1,0,0,0,0,0.00328689642626296,1,0,0,0,0,0,1,1,0,0,0.956994957839084,0.0397181457346532,0,0.216591772592901,0.783408227407099,0,1,0,1
"RCP_MFM_AF0","AA0202",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
"RCP_MFM_AF0","AA0203",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.918653663287775,0.0813463367122247,0,0.463940861294699,0.536059138705301,0,1,0,1
"RCP_MFM_AF0","AA0204",0,0,0,0,1,1,1,1,0,0,0,0,0.00817232489645359,1,0,0,0,0,0,1,1,0,0,0.98951067630357,0.00231699879997632,0,0.686576742307335,0.313423257692665,0,1,0,1
