Ecoregion,Global_Mammals_Annual,Global_Mammals_Permanent,Global_Mammals_Pasture,Global_Mammals_Urban,Global_Mammals_Extensive,Global_Mammals_Intensive,Global_Birds_Annual,Global_Birds_Permanent,Global_Birds_Pasture,Global_Birds_Urban,Global_Birds_Extensive,Global_Birds_Intensive,Global_Plants_Annual,Global_Plants_Permanent,Global_Plants_Pasture,Global_Plants_Urban,Global_Plants_Extensive,Global_Plants_Intensive,Regional_Mammals_Annual,Regional_Mammals_Permanent,Regional_Mammals_Pasture,Regional_Mammals_Urban,Regional_Mammals_Extensive,Regional_Mammals_Intensive,Regional_Birds_Annual,Regional_Birds_Permanent,Regional_Birds_Pasture,Regional_Birds_Urban,Regional_Birds_Extensive,Regional_Birds_Intensive,Regional_Plants_Annual,Regional_Plants_Permanent,Regional_Plants_Pasture,Regional_Plants_Urban,Regional_Plants_Extensive,Regional_Plants_Intensive
AA0101,9.80E-11,6.38E-12,2.27E-11,NaN,5.20E-11,4.35E-11,2.77E-10,2.79E-10,8.48E-11,NaN,4.86E-11,2.16E-10,9.82E-09,6.55E-09,7.41E-09,NaN,2.94E-09,7.44E-09,2.33E-09,0.00E+00,6.96E-10,NaN,1.37E-09,5.77E-10,1.03E-08,1.11E-08,4.86E-09,NaN,1.78E-09,8.36E-09,4.30E-07,2.73E-07,3.11E-07,NaN,1.15E-07,3.16E-07
AA0102,9.91E-11,2.99E-11,2.66E-11,1.50E-10,3.47E-11,3.92E-11,2.73E-10,2.64E-10,9.18E-11,4.15E-10,4.22E-11,2.08E-10,3.18E-09,2.28E-09,2.32E-09,3.13E-09,8.28E-10,2.28E-09,6.38E-10,1.70E-10,1.44E-10,8.81E-10,2.54E-10,1.65E-10,1.22E-08,1.25E-08,5.44E-09,1.85E-08,1.86E-09,9.52E-09,9.07E-08,6.40E-08,6.40E-08,8.68E-08,2.12E-08,6.84E-08
AA0103,2.37E-10,2.15E-11,5.21E-11,3.46E-10,1.10E-10,1.02E-10,4.84E-10,4.83E-10,1.21E-10,7.80E-10,8.70E-11,3.85E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.61E-09,3.90E-11,8.24E-10,3.98E-09,1.58E-09,9.44E-10,1.38E-08,1.44E-08,4.84E-09,2.22E-08,2.33E-09,1.14E-08,2.19E-07,1.45E-07,1.58E-07,2.26E-07,5.98E-08,1.69E-07
AA0104,4.03E-11,3.54E-12,8.68E-12,6.21E-11,2.07E-11,1.73E-11,2.10E-10,2.09E-10,5.48E-11,3.48E-10,3.59E-11,1.64E-10,3.45E-09,2.27E-09,2.53E-09,3.60E-09,1.01E-09,2.53E-09,6.85E-10,0.00E+00,2.01E-10,1.04E-09,4.08E-10,2.26E-10,6.91E-09,7.15E-09,2.70E-09,1.13E-08,1.16E-09,5.62E-09,7.26E-08,4.57E-08,5.04E-08,7.36E-08,1.88E-08,5.45E-08
AA0105,3.18E-11,0.00E+00,1.31E-11,5.47E-11,1.55E-11,9.95E-12,4.29E-11,4.41E-11,1.87E-11,8.05E-11,6.86E-12,3.19E-11,6.34E-09,4.29E-09,4.90E-09,6.64E-09,1.90E-09,4.67E-09,1.57E-10,0.00E+00,7.30E-11,2.47E-10,8.88E-11,4.10E-11,5.29E-10,5.46E-10,3.09E-10,9.75E-10,7.36E-11,4.32E-10,1.56E-08,1.04E-08,1.16E-08,1.59E-08,4.15E-09,1.16E-08
AA0106,2.79E-11,2.22E-12,5.56E-12,4.35E-11,1.44E-11,1.30E-11,1.30E-10,1.30E-10,3.08E-11,2.11E-10,2.36E-11,1.03E-10,3.20E-09,2.04E-09,2.37E-09,3.40E-09,9.75E-10,2.39E-09,4.85E-10,0.00E+00,1.39E-10,7.56E-10,3.09E-10,1.68E-10,3.14E-09,3.14E-09,1.06E-09,5.03E-09,5.32E-10,2.46E-09,2.98E-08,1.88E-08,2.04E-08,3.11E-08,8.18E-09,2.21E-08
AA0107,2.01E-11,0.00E+00,6.89E-12,3.53E-11,9.86E-12,5.56E-12,5.66E-11,5.64E-11,2.46E-11,1.02E-10,8.50E-12,4.17E-11,6.27E-09,4.40E-09,4.81E-09,6.49E-09,1.86E-09,4.70E-09,8.62E-10,0,3.52E-10,1.34E-09,4.67E-10,1.90E-10,6.01E-09,6.48E-09,3.37E-09,1.10E-08,9.36E-10,5.07E-09,1.26E-07,8.59E-08,9.14E-08,1.26E-07,3.18E-08,9.18E-08
AA0108,2.55E-11,7.74E-13,2.05E-11,3.92E-11,4.74E-12,9.97E-12,6.29E-12,6.43E-12,4.39E-12,1.32E-11,6.48E-13,4.46E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-09,0.00E+00,1.35E-09,2.41E-09,4.80E-10,5.35E-10,6.28E-09,6.85E-09,5.29E-09,1.22E-08,6.42E-10,5.29E-09,1.13E-07,7.75E-08,8.09E-08,1.05E-07,2.50E-08,8.31E-08
AA0109,NaN,NaN,0.00E+00,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN,NaN,NaN,NaN,1.64E-09,NaN,NaN,NaN,NaN,NaN,1.95E-08,NaN,NaN,NaN,NaN,NaN,2.87E-07,NaN,NaN,NaN
AA0110,1.42E-10,0.00E+00,6.63E-11,NaN,6.34E-11,3.98E-11,4.89E-10,5.25E-10,2.24E-10,NaN,7.94E-11,3.52E-10,0.00E+00,0.00E+00,0.00E+00,NaN,0.00E+00,0.00E+00,6.31E-09,0.00E+00,3.05E-09,NaN,3.38E-09,1.85E-09,2.82E-08,3.08E-08,1.76E-08,NaN,4.30E-09,2.37E-08,1.46E-06,9.16E-07,1.06E-06,NaN,3.67E-07,1.05E-06
