Eco_code,Annual,Permanent,Pasture,Urban,ForExtensive,ForIntensive
AA0101,0.022811038,0.023967331,0.023837871,#VALUE!,0.025572939,0.023498025
AA0102,0.035010072,0.035567142,0.036312727,0.036117919,0.039029909,0.033378585
AA0103,0,0,0,0,0,0
AA0104,0.047512294,0.049542275,0.050202472,0.048967899,0.053605274,0.046520528
AA0105,0.407072146,0.413671897,0.422387247,0.417025489,0.458015639,0.401015228
AA0106,0.107476398,0.108683242,0.116423963,  ,0.119216375,0.108511721
AA0107,0.049869954,0.051266046,0.052655582,0.051589932,0.058337298,0.051223607
AA0108,0,0,0,0,0,0
AA0109,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!
AA0110,0,0,0,#VALUE!,0,0
AA0111,0.310017564,0.32770128,0.337694373,0.3188852,0.350248895,0.323964499
AA0112,0.144203264,0.145442189,0.14628754,#VALUE!,0.163337646,0.140238926
AA0113,0.599839548,0.569059703,0.618586606,0.600834892,0.634243946,0.558558188
AA0114,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!
AA0115,0.547355687,0.564940122,0.590461536,0.580262996,0.648632975,0.569963675
AA0116,0.123115343,0.12635458,0.131404933,0.129702364,0.145791969,0.124542207
AA0117,0.215901539,0.216200972,0.231982937,0.227997619,0.246627982,0.224062756
AA0118,0.076009119,0.07494153,0.077314607,0.076169468,0.084898354,0.071746927
AA0119,0.197052724,0.206118125,0.22064448,0.207699141,0.226463669,0.203403208
AA0120,0.229505695,0.25515674,0.246572021,0.244417764,0.269147274,0.243127459
AA0121,0.840593035,0.862494807,0.86076007,0.865979888,0.959091044,0.822594791
AA0122,0.542890338,0.555571054,0.580224433,0.555850299,0.631970264,0.56760379
AA0123,0.259206922,0.267231154,0.266428314,0.261828434,0.282760268,0.243225935
AA0124,0.273734737,0.278846488,0.291050324,0.281902693,0.305559556,0.275468607
AA0125,0,0,0,0,0,0
AA0126,0.338601523,0.341513935,0.352095409,0.335908495,0.356187416,0.327974582
AA0127,0.069779672,0.069673011,0.071470973,0.070026206,0.07741596,0.070740242
AA0128,0.285628997,0.292071018,0.30659291,0.289108641,0.321596266,0.281567635
AA0201,0.13280503,0.139172843,0.139673181,0.136675953,0.156393398,0.148339966
AA0202,1.288355306,1.226223623,1.273014318,1.307584996,2.255363127,1.243766576
AA0203,0.092928446,0.101702461,0.101986418,#VALUE!,0.146266582,0.098659729
AA0204,0.171532144,0.177950548,0.188137693,0.17799371,0.240640744,0.177643011
AA0401,#VALUE!,#VALUE!,0.010722794,#VALUE!,#VALUE!,#VALUE!
AA0402,0.362309911,0.354842698,0.33268671,0.317081522,#DIV/0!,#DIV/0!
AA0403,0.091543974,0.106407761,0.113667657,#VALUE!,#DIV/0!,#DIV/0!
AA0404,0.079128802,0.081431967,0.080422192,0.077168621,#DIV/0!,#DIV/0!
AA0405,0.491565535,0.492176074,0.450006227,0.474429925,#DIV/0!,#DIV/0!
AA0406,0.223136176,0.251975374,0.215133749,0.227382969,#DIV/0!,#DIV/0!
