Eco_code,VS_plants,Sorg_plants,,
AA0101,0.01196872,2000,321212,
AA0102,0.017951363,1200,,0.516849914
AA0103,0,1500,,
AA0104,0.024695895,1700,,
AA0105,0.209932304,7500,,
AA0106,0.05603117,2000,,
AA0107,0.026245202,5500,,
AA0108,0,1500,,
AA0109,0,210,,
AA0110,0,3200,,
AA0111,0.164042651,2700,,
AA0112,0.073950957,2500,,
AA0113,0.298426907,3000,,
AA0114,0,165,,
AA0115,0.291801416,4400,,
AA0116,0.06507595,3000,,
AA0117,0.113564484,4800,,
AA0118,0.038423334,2100,,
AA0119,0.105115112,4800,,
AA0120,0.123993913,5500,,
AA0121,0.434292803,2100,,
AA0122,0.286175848,4000,,
AA0123,0.131723419,3900,,
AA0124,0.142213534,2200,,
AA0125,0,2800,,
AA0126,0.171023447,950,,
AA0127,0.035758839,5500,,
AA0128,0.148047122,3500,,
AA0201,0.071088364,2500,,
AA0202,0.716192329,430,,
AA0203,0.054154364,900,,
AA0204,0.094491488,1600,,
AA0401,0.005361397,315,,
AA0402,0.170865105,3700,,
AA0403,0.051936565,750,,
AA0404,0.039768948,1300,,
AA0405,0.23852222,1200,,
AA0406,0.114703534,850,,
AA0407,0.007650838,570,,
AA0408,0.041513264,1000,,
AA0409,0.366027732,2400,,
AA0410,0.140228843,650,,
AA0411,0.091605313,700,,
AA0412,0.100273074,600,,
AA0413,0.140990938,800,,
AA0414,0.025484816,700,,
AA0701,0.057959069,2500,,
AA0702,0.221721978,1600,,
AA0703,0.02952329,3100,,
AA0704,0.266768344,1600,,
AA0705,0.090333948,1600,,
AA0706,0.178937756,2000,,
AA0707,0.559838085,900,,
AA0708,0.120119177,2200,,
AA0709,0.150205417,1200,,
AA0801,0.27487645,800,,
AA0802,0.148867586,800,,
AA0803,0.238298414,900,,
AA1001,0.036602093,1000,,
AA1002,0.07904487,1800,,
AA1003,0.179783795,850,,
AA1101,0.004433102,240,,
AA1201,0.045948393,1800,,
AA1202,0.310178653,2900,,
AA1203,0.014183868,2000,,
AA1204,0.039720367,2200,,
AA1205,0.054470515,2300,,
AA1206,0.005562582,2000,,
AA1207,0.092499263,1100,,
AA1208,0.009169954,1500,,
AA1209,0.591365375,1900,,
AA1210,0.19862212,2000,,
AA1301,0.044288579,700,,
AA1302,0.064304269,1400,,
AA1303,0.131001754,400,,
AA1304,0.540496606,500,,
AA1305,0.362560352,400,,
AA1306,0.310773285,200,,
AA1307,0.070596393,800,,
AA1308,0.242122301,800,,
AA1309,0.155472787,800,,
AA1310,0.172745331,900,,
AA1401,1,250,,
AT0101,0.069307492,3500,,
AT0102,0.05224315,6000,,
AT0103,0.015211111,3300,,
AT0104,0.191358601,3600,,
AT0105,0.011624703,1500,,
AT0106,0.016564918,2100,,
AT0107,0.034398211,4000,,
AT0108,0.033797455,4000,,
AT0109,0.014926546,3200,,
AT0110,0.080828287,2000,,
AT0111,0.089384072,3200,,
AT0112,0.173787843,4000,,
AT0113,0.003204141,280,,
AT0114,0.008729674,2700,,
AT0115,0.02202642,1000,,
AT0116,0.030013514,2000,,
AT0117,0.194964686,6000,,
AT0118,0.645048921,3200,,
AT0119,0.046950362,2700,,
AT0120,0.042484655,950,,
AT0121,0.001984661,3300,,
AT0122,0.01679397,1500,,
AT0123,0.038082844,3000,,
AT0124,0.238937799,3600,,
AT0125,0.042298587,3300,,
AT0126,0.174451044,4100,,
AT0127,0.026489409,950,,
AT0128,0.066350215,2800,,
AT0129,0.107704851,2100,,
AT0130,0.10454939,3300,,
AT0201,0.461982799,257,,
AT0202,0.937971189,2100,,
AT0203,0.027754548,1300,,
AT0701,0.243947067,2400,,
AT0702,0.148971557,1100,,
AT0703,0.087126218,25,,
AT0704,0.269475413,3800,,
AT0705,0.08002059,2300,,
AT0706,0.175461611,2800,,
AT0707,0.18775431,2500,,
AT0708,0.008918314,1000,,
AT0709,0.163298742,1400,,
AT0710,0.002389932,600,,
AT0711,0.248884009,1300,,
AT0712,0.196310475,2500,,
AT0713,0.379848247,1300,,
AT0714,0.013671689,1000,,
AT0715,0.334474455,2600,,
AT0716,0.075187027,2300,,
AT0717,0.166092851,1500,,
AT0718,0.177403214,3000,,
AT0719,0.176737635,2200,,
AT0721,0.090771882,2500,,
AT0722,0.157453106,2100,,
AT0723,0.210423748,3300,,
AT0724,0.031749864,800,,
AT0725,0.210333464,2500,,
AT0726,0.138494842,1300,,
AT0801,0.029059642,700,,
AT0802,0,60,,
AT0803,0.038623449,90,,
AT0901,0.017172087,80,,
AT0902,0.071423043,80,,
AT0903,0.011760403,500,,
AT0904,0.003091832,600,,
AT0905,0.029783646,1300,,
AT0906,0.026973848,1100,,
AT0907,0.103540507,1400,,
AT0908,0.271176641,80,,
AT1001,0.011410297,2000,,
AT1002,0.033104751,1500,,
AT1003,0.056272053,800,,
AT1004,0.155631788,3700,,
AT1005,0.023782168,400,,
AT1006,0.011689224,1700,,
AT1007,0.399809309,2000,,
AT1008,0.118987281,700,,
AT1009,0.086585259,1900,,
AT1010,0.003777034,1300,,
AT1011,0.015016914,1000,,
AT1012,0.042152317,2100,,
AT1013,0.020699379,400,,
AT1014,0.006309354,1900,,
AT1015,0.051095261,1900,,
AT1201,0.117701596,1200,,
AT1202,0.318998656,3000,,
AT1203,0.174390672,6300,,
AT1302,0.307329011,1000,,
AT1303,0.009712286,700,,
AT1304,0.024111693,100,,
AT1305,0.114237761,850,,
AT1306,0.143673109,300,,
AT1307,0.018769194,800,,
AT1308,0,80,,
AT1309,0.619124275,700,,
AT1310,0.302289312,500,,
AT1311,0.420036233,1100,,
AT1312,0.634595316,1400,,
AT1313,0.068524886,900,,
AT1314,1,1100,,
AT1315,0.258866408,1000,,
AT1316,0.488893329,1100,,
AT1318,0.048412808,750,,
AT1319,0.027291645,1500,,
AT1320,0.525787703,400,,
AT1321,0.035831704,2000,,
AT1322,0.127069324,4850,,
AT1401,0.279704321,200,,
AT1402,0.119587332,200,,
AT1403,0.116076972,200,,
AT1404,0.297804297,200,,
AT1405,0.020000781,200,,
IM0101,0.016593731,1827,,
IM0102,0.262442528,10000,,
IM0103,0.188287625,4000,,
IM0104,0.180997352,2500,,
IM0105,0.071413867,2500,,
IM0106,0.031317295,3000,,
IM0107,0.072681328,1100,,
IM0108,0.020145098,2000,,
IM0109,0.023828474,2600,,
IM0110,0,220,,
IM0111,0.162504578,1600,,
IM0112,0.069275515,1500,,
IM0113,0.118775398,2900,,
IM0114,0.133587641,3000,,
IM0115,0.061251931,1800,,
IM0116,0.027218325,1000,,
IM0117,0.149113359,1800,,
IM0118,0.072875166,5500,,
IM0119,0.061561789,4000,,
IM0120,0.057229029,3500,,
IM0121,0.041621425,3800,,
IM0122,0.061041034,1500,,
IM0123,0.221450873,5000,,
IM0124,0.022635127,1500,,
IM0125,0.004708219,380,,
IM0126,0.031283777,3000,,
IM0127,0.023977662,1500,,
IM0128,0.115775358,2000,,
IM0129,0.281601898,4300,,
IM0130,0.047105472,2500,,
IM0131,0.080747796,3800,,
IM0132,0.057859796,2200,,
IM0133,0.005579275,1379,,
IM0134,0.198869931,2300,,
IM0135,0.10534125,2800,,
IM0136,0.032731786,3000,,
IM0137,0.135554216,7000,,
IM0138,0.021189392,1500,,
IM0139,0.039027667,2300,,
IM0140,0.03475512,3500,,
IM0141,0.015961422,2800,,
IM0142,0.01153594,1400,,
IM0143,0.055717864,2700,,
IM0144,0.032506376,3200,,
IM0145,0.019765071,1100,,
IM0146,0.113519374,7000,,
IM0147,0.026755799,800,,
IM0148,0,400,,
IM0149,0.068907453,6500,,
IM0150,0.098573575,2300,,
IM0151,0.067411324,3300,,
IM0152,0.025091576,4000,,
IM0153,0.176991035,1400,,
IM0154,0.05792916,2000,,
IM0155,0.013528355,2200,,
IM0156,0.013292703,1400,,
IM0157,0.075943311,1600,,
IM0158,0.232103802,7500,,
IM0159,0.133986585,3500,,
IM0160,0.329822379,2000,,
IM0161,0.309712969,1600,,
IM0162,0.011780091,800,,
IM0163,0.047975615,4000,,
IM0164,0.06871206,800,,
IM0165,0.088115535,700,,
IM0166,0.100894758,2100,,
IM0167,0.089503447,2000,,
IM0168,0.076651336,3500,,
IM0169,0.011536688,3000,,
IM0170,0.003999776,2000,,
IM0171,0.015133587,2700,,
IM0172,0.174373285,3000,,
IM0201,0.10592909,1800,,
IM0202,0.246911995,3000,,
IM0203,0.069434849,1200,,
IM0204,0.014637461,1200,,
IM0205,0.073648177,1000,,
IM0206,0.148391222,1400,,
IM0207,0.135957174,1000,,
IM0208,0.04001312,1000,,
IM0209,0.036177052,2000,,
IM0210,0.064952803,4000,,
IM0211,0.039372344,1700,,
IM0212,0.389908989,1200,,
IM0301,0.208304608,1000,,
IM0302,0.062158791,1300,,
IM0303,0.020037858,1000,,
IM0304,0.019123949,1000,,
IM0401,0.052192037,4500,,
IM0402,0.014504281,2500,,
IM0403,0.124530745,1200,,
IM0501,0.038138216,2000,,
IM0502,0.102153109,1000,,
IM0701,0.116537512,1000,,
IM0901,0.004985627,800,,
IM1001,0.007466625,3800,,
IM1301,0.219489682,1300,,
IM1302,0.005427036,400,,
IM1303,0.059160048,1000,,
IM1304,0.040118973,650,,
IM1401,0.029370582,200,,
IM1402,0.302510514,200,,
IM1403,0.004000509,200,,
IM1404,0.21622096,200,,
IM1405,1,250,,
IM1406,0.034942847,350,,
NA0201,0.02625782,1700,,
NA0302,0.250655761,4400,,
NA0303,0.06799642,3300,,
NA0401,0.014886448,1883,,
NA0402,0.024762448,2487,,
NA0403,0.020513907,2398,,
NA0404,0.038158435,2332,,
NA0405,0.010053642,1553,,
NA0406,0.093869779,1228,,
NA0407,0.027307103,1381,,
NA0408,0.011036465,1033,,
NA0409,0.023170875,1468,,
NA0410,0.055236598,1496,,
NA0411,0.016924505,1695,,
NA0412,0.00871846,1743,,
NA0413,0.032629159,3363,,
NA0414,0.03310804,2243,,
NA0415,0.03578802,1420,,
NA0416,0.059051291,1459,,
NA0417,0.008340058,1067,,
NA0501,0.033968294,660,,
NA0502,0.095137901,740,,
NA0503,0.023660389,2204,,
NA0504,0.0037901,632,,
NA0505,0.028344145,1134,,
NA0506,0.056333532,1325,,
NA0507,0.019873805,1328,,
NA0508,0.021061483,1296,,
NA0509,0.042206671,909,,
NA0510,0.038435726,1109,,
NA0511,0.046450857,1626,,
NA0512,0.024785266,1224,,
NA0513,0.002803782,951,,
NA0514,0.079961129,1012,,
NA0515,0.004071883,1043,,
NA0516,0.016824791,1859,,
NA0517,0.026663823,1488,,
NA0518,0.081611075,1695,,
NA0519,0.01291534,1212,,
NA0520,0.031468486,615,,
NA0521,0.015462862,876,,
NA0522,0.02312065,1355,,
NA0523,0.024608483,1729,,
NA0524,0.011001592,1100,,
NA0525,0.008916422,459,,
NA0526,0.00208499,1200,,
NA0527,0.015433113,2373,,
NA0528,0.040838818,1933,,
NA0529,0.02366798,3095,,
NA0530,0.019980457,1109,,
NA0601,0.009335058,510,,
NA0602,0.041508782,1246,,
NA0603,0.007451581,738,,
NA0604,0.004746934,407,,
NA0605,0.046347543,1140,,
NA0606,0.094557973,925,,
NA0607,0.063203356,810,,
NA0608,0.084320372,613,,
NA0609,0.083977799,797,,
NA0610,0.047477148,722,,
NA0611,0.003949543,473,,
NA0612,0.091316688,720,,
NA0613,0.049524717,823,,
NA0614,0.0836358,576,,
NA0615,0.000569918,258,,
NA0616,0.042509558,1178,,
NA0617,0.008642192,692,,
NA0701,0.013013517,2180,,
NA0801,0.19377679,1682,,
NA0802,0.105449405,1464,,
NA0803,0.048067,2081,,
NA0804,0.061811896,2124,,
NA0805,0.04548284,1779,,
NA0806,0.009348092,2361,,
NA0807,0.008801511,1174,,
NA0808,0.043651105,1197,,
NA0809,0.017470026,1185,,
NA0810,0.044917142,1595,,
NA0811,0.121622015,1867,,
NA0812,0.023150472,1055,,
NA0813,0.025766034,1290,,
NA0814,0.010926846,1531,,
NA0815,0.063470967,2359,,
NA1101,0.020839023,747,,
NA1102,0,388,,
NA1103,0.009446756,539,,
NA1104,0.011823327,580,,
NA1105,0.003269403,135,,
NA1106,0.291012278,553,,
NA1107,0.018604296,538,,
NA1108,0.020660023,593,,
NA1109,0.020075484,216,,
NA1110,0.090476901,245,,
NA1111,0.038059575,617,,
NA1112,0.08077855,200,,
NA1113,0.016603811,480,,
NA1114,0.083262538,497,,
NA1115,0.137796093,371,,
NA1116,0.037628431,589,,
NA1117,0.046564608,792,,
NA1118,0.005772014,286,,
NA1201,0.106293097,1650,,
NA1202,0.153560276,2105,,
NA1203,0.049500569,2075,,
NA1301,0.032787572,1900,,
NA1302,0.096101061,3200,,
NA1303,0.126132731,3500,,
NA1304,0.704257432,2556,,
NA1305,0.102139199,2519,,
NA1306,0.013468371,1300,,
NA1307,0.200715533,3500,,
NA1308,0.040888148,2490,,
NA1309,0.078839573,2169,,
NA1310,0.090720013,2700,,
NA1311,0.011349115,1900,,
NA1312,0.061817868,1900,,
NA1313,0.067115493,1557,,
NT0101,0.05485317,4500,,
NT0102,0.039059355,1500,,
NT0103,0.321811933,5000,,
NT0104,0.057155204,6000,,
NT0105,0.095522937,6000,,
NT0106,0.00397447,1500,,
NT0107,0.071837399,9000,,
NT0108,0.021806727,1900,,
NT0109,0.094470052,4500,,
NT0111,0.115232571,4100,,
NT0112,0.019157707,3500,,
NT0113,0.007996092,3800,,
NT0114,0.004176546,2500,,
NT0115,0.096700104,9000,,
NT0116,0,320,,
NT0117,0.00666567,3700,,
NT0118,0.130632874,5500,,
NT0119,0.016192239,3300,,
NT0120,0.122577622,3500,,
NT0121,0.183743843,6500,,
NT0122,0.010039372,3300,,
NT0124,0.064400229,8000,,
NT0125,0.179350937,8000,,
NT0126,0.008798571,2500,,
NT0127,0.224361021,3800,,
NT0128,0.101457212,3200,,
NT0129,0.039036105,8000,,
NT0130,0.02190864,6500,,
NT0131,0.056324056,2800,,
NT0132,0.085011703,8000,,
NT0133,0.112826982,5000,,
NT0134,0.008149111,1500,,
NT0135,0.295178952,6000,,
NT0136,0.218283979,5500,,
NT0137,0.029460201,4500,,
NT0138,0.060410413,3500,,
NT0139,0.057058648,3200,,
NT0140,0.102176475,4000,,
NT0141,0.038546612,4500,,
NT0142,0.116609364,7000,,
NT0143,0.072973814,6500,,
NT0144,0.012913515,1000,,
NT0145,0.175679204,6500,,
NT0146,0.012407405,3200,,
NT0147,0.048335111,1700,,
NT0148,0.041054807,1900,,
NT0149,0.033021501,700,,
NT0150,0.08653242,6500,,
NT0151,0.084107823,3000,,
NT0152,0.014767039,2500,,
NT0153,0.288670507,6500,,
NT0154,0.11972239,6500,,
NT0155,0.07324436,1800,,
NT0156,0.092947178,5000,,
NT0157,0.08525769,5000,,
NT0158,0.070043129,3000,,
NT0159,0.041968748,1600,,
NT0160,0.173605521,9000,,
NT0161,0.006966001,2750,,
NT0162,0.01408451,4100,,
NT0163,0.052953538,7000,,
NT0164,0.011112298,1034,,
NT0165,0.053747907,3500,,
NT0166,0.289353289,8500,,
NT0167,0.010525366,8500,,
NT0168,0.162321923,5000,,
NT0169,0.061010087,2900,,
NT0170,0.10895914,4500,,
NT0171,0.035717376,2100,,
NT0173,0.171024366,6500,,
NT0174,0.085486519,4050,,
NT0175,0.06590737,4500,,
NT0176,0.061430912,6000,,
NT0177,0.008576972,2700,,
NT0178,0.068660002,5300,,
NT0179,0.022741141,1600,,
NT0180,0.125690598,5000,,
NT0181,0.224349767,1600,,
NT0182,0.183243615,5000,,
NT0201,0.075386581,1800,,
NT0202,0.077382687,2000,,
NT0204,0.049410742,4200,,
NT0205,0.085346526,4300,,
NT0206,0.107688091,900,,
NT0207,0.049105365,1000,,
NT0209,0.108940511,3300,,
NT0210,0.473575702,990,,
NT0211,0.033055785,2100,,
NT0212,0.189614744,1200,,
NT0213,0.504684462,2500,,
NT0214,0.051521076,1250,,
NT0215,0.207694796,1500,,
NT0216,0.038122568,110,,
NT0217,0.087246617,1500,,
NT0218,0.035246888,1100,,
NT0219,0.030081041,900,,
NT0220,0.037434168,200,,
NT0221,0.048623801,1300,,
NT0222,0.04331489,1500,,
NT0223,0.021337938,1400,,
NT0224,0.014670104,1900,,
NT0225,0.03080373,900,,
NT0226,0.012142464,900,,
NT0227,0.004450093,550,,
NT0228,0.18686859,2100,,
NT0229,0.04980996,1100,,
NT0230,0.059484474,4000,,
NT0232,0.153395723,800,,
NT0233,0.027150732,1100,,
NT0235,0.230937686,1150,,
NT0301,0.141603307,750,,
NT0302,0.009679788,1500,,
NT0303,0.119937286,4900,,
NT0304,0.089361785,1500,,
NT0305,0.11126497,2200,,
NT0306,0.052586368,1800,,
NT0307,0.001073569,800,,
NT0308,0.023876831,3100,,
NT0309,0.077074477,4200,,
NT0310,0.096479696,4900,,
NT0401,0.004685844,225,,
NT0402,0.141416979,450,,
NT0404,0.337864032,800,,
NT0702,0.053799488,1500,,
NT0703,0.037468942,1500,,
NT0704,0.39505513,6500,,
NT0705,0,30,,
NT0707,0.213037775,1200,,
NT0708,0.322700281,1100,,
NT0709,0.297305927,2600,,
NT0710,0.117285896,2500,,
NT0801,0.16861947,700,,
NT0802,0.119498988,700,,
NT0803,0.115722485,1750,,
NT0805,0.259128436,1200,,
NT0902,0.119237241,900,,
NT0903,0.035241989,400,,
NT0904,0.12350082,1362,,
NT0905,0.032958345,1050,,
NT0906,0.016883815,1100,,
NT0907,0.073683219,1700,,
NT0908,0.022318095,1400,,
NT0909,0.012697053,1400,,
NT1001,0.122544808,1100,,
NT1002,0.201687766,1200,,
NT1003,0.158583228,1300,,
NT1004,0.033785312,1500,,
NT1005,0.059862423,700,,
NT1006,0.182824307,2500,,
NT1007,0.028062624,800,,
NT1008,0.089717315,800,,
NT1010,0.184943551,200,,
NT1201,0.24960428,2600,,
NT1301,0.005508037,1400,,
NT1303,0.072285457,800,,
NT1304,0.664429748,1500,,
NT1305,0.148227342,320,,
NT1306,0.046647517,900,,
NT1307,0.40920981,541,,
NT1308,0.063290753,900,,
NT1309,0.078438001,1700,,
NT1312,0.011474984,1400,,
NT1313,0.027463839,1200,,
NT1314,0.006114953,550,,
NT1315,0.102348213,1050,,
NT1316,0.019535282,2700,,
NT1318,NA,0,,
NT1401,0.599419745,200,,
NT1402,1,200,,
NT1403,0.745526525,200,,
NT1404,0.146702091,200,,
NT1405,0.604862636,200,,
NT1406,0.588117623,200,,
NT1407,0.169672209,200,,
OC0103,0.011755292,130,,
OC0105,0.220170414,1450,,
OC0106,0.240810895,935,,
OC0108,0.041836063,318,,
OC0109,0,500,,
OC0110,0.059919759,175,,
OC0112,0.10158568,775,,
OC0114,0.014975499,480,,
OC0115,0.028512224,140,,
OC0117,0,50,,
OC0201,0.427222353,500,,
OC0202,0.314775537,659,,
OC0203,0.057705793,400,,
OC0701,0.452918294,124,,
OC0702,0.094327105,384,,
PA0101,0.047526778,3500,,
PA0102,0.025550371,6000,,
PA0401,0.004922006,2500,,
PA0402,0.051871948,1900,,
PA0403,0.127430505,510,,
PA0404,0.018730703,3500,,
PA0405,0.01677731,1700,,
PA0406,0.020161535,2000,,
PA0407,0.070580603,2000,,
PA0408,0.081052502,5000,,
PA0409,0.031299841,1600,,
PA0410,0.109286349,2000,,
PA0411,0.072030006,3100,,
PA0412,0.084571523,2300,,
PA0413,0.029996665,2000,,
PA0414,0.024797024,2500,,
PA0415,0.085049923,3000,,
PA0416,0.023296303,2600,,
PA0417,0.01922158,4500,,
PA0418,0.006685915,3700,,
PA0419,0.098587877,1900,,
PA0420,0.336807485,2800,,
PA0421,0.008835785,1300,,
PA0422,0.020499807,3200,,
PA0423,0.058558386,1200,,
PA0424,0.092234496,2800,,
PA0425,0.02690745,760,,
PA0426,0.136511215,2200,,
PA0427,0.038037363,1700,,
