,Plants,Birds,Mammals
ClearCut,0.925925926,0.609090909,1
Retention,0.983788396,1,1
SelectionSystem,1,0.928205128,1
SelectiveLogging,0.875103392,0.88,0.851351351
ReducedImpactLogging,0.981818182,0.925816024,1
PlantationNonTimber,0.574775113,0.414198721,0.291666667
PlantationFuel,0.482352941,0.499165217,0.879249707
SlashAndBurn,0.479166667,0.566265061,0.75
Agroforestry,0.639638822,0.764702913,1
Plantation,0.617449664,0.839869281,0.879249707
Afforested,0.957,0.957,0.957
ForExtensive,0.99157028,0.928205128,1
ForIntensive,0.704470855,0.575935829,0.879249707
