Realm,z,Method,Organism_group
aqu,0.27,ind,zoobenthos
aqu,0.36,ind,zoobenthos
,,,
ter,0.6,ind,birds
ter,0.66,ind,plants
ter,0.57,ind,birds
ter,0.33,ind,plants
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
aqu,,ind,zoobenthos
ter,0.18,ind,arthropods
ter,1.86,ind,birds
aqu,0.21,ind,fish
aqu,0.14,ind,fish
aqu,0.21,ind,fish
aqu,0.24,ind,fish
aqu,0.4,ind,fish
aqu,0.26,ind,fish
aqu,0.15,ind,birds
ter,0.33,ind,plants
aqu,0.08,nes,plants
aqu,0.03,nes,plants
ter,0.25,nes,plants
ter,0.09,nes,plants
ter,0.12,nes,plants
ter,0.11,nes,plants
ter,0.11,nes,plants
ter,0.11,nes,plants
ter,0.1,nes,plants
ter,0.15,nes,plants
ter,-0.17,ind,insects
ter,0.2,ind,insects
aqu,0.14,both,zoobenthos
aqu,0.07,both,nonv plants
aqu,0.13,both,helminths
aqu,0.08,both,zooplankton
aqu,0.19,both,zoobenthos
ter,0.15,ind,insects
aqu,0.14,ind,fish
ter,0.18,ind,plants
ter,0.39,ind,birds
ter,0.02,ind,insects
ter,-0.09,ind,insects
ter,0.11,ind,insects
ter,0.05,ind,insects
ter,0.31,,plants
ter,-0.93,ind,insects
ter,0.34,,mammals
aqu,0.39,ind,helminths
ter,0.28,ind,birds
ter,0.25,ind,insects
ter,0.22,both,plants
ter,0.1,ind,nonv plants
ter,0.16,ind,plants
ter,0.2,ind,plants
ter,0.2,ind,nonv plants
ter,0.29,ind,fungi
ter,0.41,ind,fungi
ter,0.44,ind,redlist spec
ter,0.56,ind,rare species
ter,0.22,ind,birds
ter,0.23,nes,plants
ter,0.2,nes,plants
ter,0.36,nes,plants
ter,0.34,nes,fungi
ter,0.43,nes,fungi
ter,0.06,ind,birds
ter,0.19,ind,birds
ter,0.19,ind,birds
ter,0.23,ind,birds
ter,0.19,ind,birds
ter,0.49,ind,birds
ter,0.36,ind,birds
ter,0.13,ind,birds
ter,0.42,ind,plants
ter,0.17,ind,mammals
ter,1.46,,arthropods
ter,1.9,,arthropods
ter,0.07,ind,mammals
ter,0.29,ind,mammals
ter,-0.08,ind,insects
aqu,0.59,ind,zoobenthos
aqu,0.18,ind,zoobenthos
ter,0.42,ind,birds
ter,0.67,ind,mammals
ter,0.23,ind,birds
ter,0.09,ind,insects
ter,0.31,ind,mammals
aqu,1.04,ind,birds
ter,0.56,,fungi
ter,0.67,,arthropods
aqu,0.25,nes,zoobenthos
aqu,0.35,nes,zoobenthos
aqu,0.43,nes,zoobenthos
aqu,0.33,nes,zoobenthos
aqu,0.5,nes,zoobenthos
aqu,0.25,nes,zoobenthos
aqu,0.25,nes,zoobenthos
aqu,0.44,nes,zoobenthos
aqu,0.45,nes,zoobenthos
aqu,0.17,nes,zoobenthos
aqu,0.3,nes,zoobenthos
aqu,0.4,nes,zoobenthos
ter,0.14,ind,insects
ter,0.04,ind,insects
ter,1.6,ind,birds
ter,0.1,ind,plants
ter,0.15,ind,mammals
ter,0.21,ind,vertebrates
aqu,-0.17,ind,zoobenthos
aqu,0.21,ind,fish
ter,0.18,ind,plants
ter,0.18,ind,mammals
ter,0.19,ind,mammals
aqu,0.42,ind,fish
aqu,0.43,ind,fish
aqu,0.47,ind,fish
aqu,0.24,ind,fish
aqu,0.38,ind,fish
aqu,0.39,ind,fish
aqu,0.45,ind,fish
aqu,0.42,ind,fish
aqu,0.43,ind,fish
aqu,0.45,ind,fish
aqu,0.48,ind,fish
aqu,0.48,ind,fish
aqu,0.49,ind,fish
aqu,0.52,ind,fish
ter,0.22,ind,insects
ter,0.15,ind,insects
ter,0.3,ind,insects
ter,-0.38,ind,birds
ter,0.54,ind,birds
,,,
ter,0.39,ind,birds
ter,0.22,ind,plants
ter,0.22,ind,insects
ter,0.03,ind,birds
aqu,0.25,ind,zoobenthos
aqu,0.36,ind,zoobenthos
aqu,0.24,,zoobenthos
aqu,0.25,,zoobenthos
aqu,0.26,,zoobenthos
ter,0.39,ind,plants
ter,0.3,ind,birds
