"habitat","group","method","z"
"islands","animal_taxa","ind",0.39
"islands","animal_taxa","ind",0.339
"islands","plants","ind",0.223
"islands","animal_taxa","ind",0.025
"islands","plants","ind",0.389
"islands","animal_taxa","ind",0.302
"islands","animal_taxa","ind",0.602
"islands","plants","ind",0.657
"islands","animal_taxa","ind",0.57
"islands","plants","ind",0.328
"islands","animal_taxa","",0.782
"islands","plants","",0.661
"forest","plants","ind",0.33
"non-forest","plants","nes",0.109
"non-forest","plants","nes",0.087
"non-forest","plants","nes",0.106
"non-forest","plants","nes",0.1
"non-forest","plants","nes",0.105
"non-forest","plants","nes",0.151
"non-forest","plants","nes",0.116
"non-forest","plants","nes",0.246
"islands","animal_taxa","ind",0.204
"islands","plants","ind",0.179
"islands","plants","ind",0.309
"non-forest","animal_taxa","ind",0.394
"islands","plants","ind",0.159
"islands","animal_taxa","ind",0.19
"islands","animal_taxa","",0.3388
"islands","animal_taxa","ind",0.281
"forest","plants","ind",0.16
"forest","plants","ind",0.2
"forest","plants","nes",0.23
"forest","plants","nes",0.197
"forest","plants","nes",0.361
"forest","animal_taxa","ind",0.059
"forest","animal_taxa","ind",0.187
"forest","animal_taxa","ind",0.187
"forest","animal_taxa","ind",0.23
"forest","animal_taxa","ind",0.189
"forest","animal_taxa","ind",0.486
"forest","animal_taxa","ind",0.361
"forest","animal_taxa","ind",0.134
"forest","plants","ind",0.422
"islands","animal_taxa","ind",0.165
"islands","animal_taxa","ind",0.415
"islands","animal_taxa","ind",0.67
"non-forest","animal_taxa","ind",0.23
"non-forest","animal_taxa","ind",0.429
"islands","plants","ind",0.584
"islands","animal_taxa","ind",0.127
"non-forest","plants","ind",0.096
"non-forest","animal_taxa","ind",0.154
"islands","plants","ind",0.265
"forest","animal_taxa","ind",0.176
"islands","animal_taxa","ind",0.186
"forest","plants","nes",0.26
"forest","plants","nes",0.262
"forest","plants","nes",0.274
"forest","plants","nes",0.3
"forest","plants","nes",0.303
"forest","plants","nes",0.303
"islands","animal_taxa","ind",0.272
"islands","animal_taxa","ind",0.21
"islands","animal_taxa","ind",0.541
"forest","plants","ind",0.233
"forest","plants","ind",0.259
"forest","plants","ind",0.327
"islands","plants","ind",0.957
"non-forest","animal_taxa","ind",0.052
"forest","animal_taxa","ind",0.16
"forest","plants","nes",0.447
"forest","plants","nes",0.502
"forest","plants","ind",0.161
"forest","plants","ind",0.177
"forest","plants","nes",0.444
"forest","plants","nes",0.467
"islands","animal_taxa","ind",0.353
"islands","animal_taxa","ind",0.166
"non-forest","plants","ind",0.225
